KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002941321","T10S R20W, Sec. 22,     SW SW SW","DERBY OIL CO.","Coastal Oil & Gas Corporation","ROGERS 'A' 1","15-163-00299","2106 KB","Strip/Sample Logs","Kansas Sample Log Service","3200","3724","","Scanned","06/152/1951"
"1002941427","T9S R20W, Sec. 36,     SW SW NE","BARNETT DRILLING CO.","","STEEPLES 1","15-163-00403","2245 KB","Strip/Sample Logs","Kansas Sample Log Service","3100","3915","","Scanned","08/241/1951"
"1036041707","T10S R19W, Sec. 18,       N2 NE","Lario Oil and Gas Co.","Lario Oil & Gas Company","Anderson 14","15-163-23557","2217 KB","IPS","Compensated Neutron/SSD Micro Log","2800","4284","130","Scanned","11/322/2006"
"1036041707","T10S R19W, Sec. 18,       N2 NE","Lario Oil and Gas Co.","Lario Oil & Gas Company","Anderson 14","15-163-23557","2217 KB","IPS","Dual Induction Log","250","4305","130","Scanned","11/322/2006"
"1043740852","T10S R20W, Sec. 13,   NW SE SW SW","Raney Oil Co., LLC","Bach Oil Production","Sutor 'C' 1","15-163-23954","2162 KB","Perforators LLC","Radiation Guard","200","3727","113","Scanned","06/155/2011"
"1043740852","T10S R20W, Sec. 13,   NW SE SW SW","Raney Oil Co., LLC","Bach Oil Production","Sutor 'C' 1","15-163-23954","2162 KB","Perforators LLC","Radiation Guard","200","3727","113","Scanned","06/155/2011"
"1044065206","T10S R19W, Sec. 18,   SE SE NW NW","Raney Oil Company, LLC","Bach Oil Production","Gunn/Gibson 3","15-163-24007","2234 KB","Perforators LLC","Radiation Guard","200","3843","114","Scanned","03/68/2012"
"1044065207","T10S R20W, Sec. 14,   S2 SE SW SE","Raney Oil Company, LLC","Bach Oil Production","Miller-Sutor Unit 1-A","15-163-24008","2236 KB","Perforators LLC","Radiation Guard","200","3838","114","Scanned","03/76/2012"
"1044162564","T10S R20W, Sec. 13,   S2 NE NW NE","Raney Oil Company, LLC","Bach Oil Production","Sutor 'B' 5","15-163-24070","2209 KB","Perforators LLC","Microresistivity","3150","3834","111","Scanned","10/285/2012"
"1044162564","T10S R20W, Sec. 13,   S2 NE NW NE","Raney Oil Company, LLC","Bach Oil Production","Sutor 'B' 5","15-163-24070","2209 KB","Perforators LLC","Microresistivity","3150","3834","111","Scanned","10/285/2012"
"1044162564","T10S R20W, Sec. 13,   S2 NE NW NE","Raney Oil Company, LLC","Bach Oil Production","Sutor 'B' 5","15-163-24070","2209 KB","Perforators LLC","Dual Induction","210","3834","111","Scanned","10/285/2012"
"1044162564","T10S R20W, Sec. 13,   S2 NE NW NE","Raney Oil Company, LLC","Bach Oil Production","Sutor 'B' 5","15-163-24070","2209 KB","Perforators LLC","Dual Induction","210","3834","111","Scanned","10/285/2012"
"1044162564","T10S R20W, Sec. 13,   S2 NE NW NE","Raney Oil Company, LLC","Bach Oil Production","Sutor 'B' 5","15-163-24070","2209 KB","Perforators LLC","Compensated Density Neutron","3150","3813","111","Scanned","10/285/2012"
"1044162564","T10S R20W, Sec. 13,   S2 NE NW NE","Raney Oil Company, LLC","Bach Oil Production","Sutor 'B' 5","15-163-24070","2209 KB","Perforators LLC","Compensated Density Neutron","3150","3813","111","Scanned","10/285/2012"
"1006128907","T10S R20W, Sec. 15,   W2 NE NW SE","Sohio Petroleum","Vess Oil Corporation","Marcotte 11","15-163-23030","2200 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Gamma Ray                        ","3060","3971","112","Unscanned","01/02/1989"
"1006128852","T10S R19W, Sec. 19,   N2 NE SE SE","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","HENRY BERLAND 3-19","15-163-23002","2197 KB","Atlas Wireline Services       ","Compensated Densilog Linear Porosity Neutron Gamma Ray               ","3100","3848","113","Unscanned","06/170/1988"
"1006128852","T10S R19W, Sec. 19,   N2 NE SE SE","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","HENRY BERLAND 3-19","15-163-23002","2197 KB","Atlas Wireline Services       ","Laterolog Gamma Ray Neutron                                          ","180","3848","113","Unscanned","06/170/1988"
"1006128907","T10S R20W, Sec. 15,   W2 NE NW SE","Sohio Petroleum","Vess Oil Corporation","Marcotte 11","15-163-23030","2200 KB","Atlas Wireline Services       ","Prolog Field Analysis                                                ","3100","3940","","Unscanned","01/02/1989"
"1006128907","T10S R20W, Sec. 15,   W2 NE NW SE","Sohio Petroleum","Vess Oil Corporation","Marcotte 11","15-163-23030","2200 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1303","3972","112","Unscanned","01/02/1989"
"1006128907","T10S R20W, Sec. 15,   W2 NE NW SE","Sohio Petroleum","Vess Oil Corporation","Marcotte 11","15-163-23030","2200 KB","Atlas Wireline Services       ","BHC Acoustilog Gamma Ray                                             ","3100","3962","112","Unscanned","01/02/1989"
"1006124956","T10S R19W, Sec. 31,     NW NE NW","R.P. NIXON OPERATIONS","R. P. Nixon Operations, Inc","Keller 1","15-163-20904","2208 KB","Digital Logging               ","Radiation Guard Log                                                  ","3100","3764","110","Scanned","04/102/1979"
"1006128385","T10S R19W, Sec. 19,   SE SW NE SE","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","HENRY BERLAND 1-19","15-163-22748","2215 KB","Dresser Atlas                 ","BHC Acoustilog Gamma Ray Neutron                                     ","2990","3869","113","Unscanned","08/242/1985"
"1006125076","T10S R20W, Sec. 1,     NE SE NE","CHAMPLIN PETROLEUM CO","RME Petroleum Company","GRAHAM 6","15-163-20967","2238 KB","Dresser Atlas                 ","BHC Acoustilog                                                       ","3000","3910","110","Unscanned","09/267/1979"
"1006124948","T10S R20W, Sec. 15,     NW SW SE","CHAMPLIN PETROLEUM CO","Vess Oil Corporation","Marcotte 10","15-163-20900","2170 KB","Dresser Atlas                 ","BHC Acoustilog                                                       ","3000","3693","115","Unscanned","03/81/1979"
"1006128708","T10S R20W, Sec. 1,     NW SW SE","CHAMPLIN PETROLEUM CO.","Murfin Drilling Co., Inc.","SUTOR 'A' 23","15-163-22928","2231 KB","Dresser Atlas                 ","Dual Induction Focused Log Gamma Ray                                 ","240","3828","113","Unscanned","07/185/1987"
"1006124948","T10S R20W, Sec. 15,     NW SW SE","CHAMPLIN PETROLEUM CO","Vess Oil Corporation","Marcotte 10","15-163-20900","2170 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","3699","115","Unscanned","03/82/1979"
"1006128525","T10S R19W, Sec. 19,   NE NE SW SE","MURFIN DRILLING CO","Murfin Drilling Co.","HENRY BERLAND 2-19","15-163-22826","2223 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","60","3870","112","Unscanned","12/341/1985"
"1006125076","T10S R20W, Sec. 1,     NE SE NE","CHAMPLIN PETROLEUM CO","RME Petroleum Company","GRAHAM 6","15-163-20967","2238 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","3915","110","Unscanned","09/267/1979"
"1006128385","T10S R19W, Sec. 19,   SE SW NE SE","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","HENRY BERLAND 1-19","15-163-22748","2215 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","32","3868","113","Unscanned","08/241/1985"
"1006127942","T10S R19W, Sec. 17,     SE NW SE","MURFIN DRILLING CO.","Murfin Drilling Co., Inc.","DENNIS KELLER 1-17","15-163-22501","2185 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","210","3809","112","Scanned","10/291/1984"
"1006126760","T10S R19W, Sec. 17,     NE SW SW","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","BERLAND 'B' 1-17","15-163-21865","2198 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","3853","113","Scanned","11/321/1982"
"1001290234","T10S R20W, Sec. 13,     SE NE NW","Petroleum, Inc.","Petroleum Inc","Sutor 2","15-163-02098","2232 KB","Dresser Atlas                 ","Neutron Lifetime Log                                                 ","3000","3740","","Scanned","04/119/1969"
"1001290201","T10S R20W, Sec. 12,     SE SE NE","SOHIO PETROLEUM CORP.","BP Exploration, Inc.","DESBIEN 5","15-163-03295","2236 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","3400","3819","","Unscanned","11/313/1983"
"1002941312","T10S R20W, Sec. 2,     SE SE SE","THE GENE BROWN CO","","Coddington 1","15-163-00290","2217 DF","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","3150","3807","","Unscanned","07/206/1972"
"1001290205","T10S R20W, Sec. 12,     NW NE NW","Continental Oil Co.","Mai Oil Operations, Inc.","C. A. DESBIEN 5","15-163-03293","2235 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","3000","3770","","Scanned","02/40/1973"
"1006128525","T10S R19W, Sec. 19,   NE NE SW SE","MURFIN DRILLING CO","Murfin Drilling Co.","HENRY BERLAND 2-19","15-163-22826","2223 KB","Dresser Atlas                 ","Compensated Densilog Linear Porosity Neutron Gamma Ray               ","2200","3870","112","Unscanned","12/341/1985"
"1006128385","T10S R19W, Sec. 19,   SE SW NE SE","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","HENRY BERLAND 1-19","15-163-22748","2215 KB","Dresser Atlas                 ","Minilog Gamma Ray                                                    ","2990","3866","113","Unscanned","08/242/1985"
"1006123741","T10S R20W, Sec. 36,     SW NW SE","PETROLEUM INC","","KELLER 'L' 1","15-163-20290","2125 KB","Dresser Atlas                 ","Gamma Ray                                                            ","0","3730","","Unscanned","02/33/1970"
"1001285682","T10S R20W, Sec. 25, C   SW NE NE","Petroleum, Inc.","","Sutor 'L' 1","15-163-20137","2193 KB","Dresser Atlas                 ","Acoustilog                                                           ","3100","3763","117","Scanned","10/294/1968"
"1006128710","T10S R20W, Sec. 1,     NW SE SE","Champlin Petroleum","RME Petroleum Company","SUTOR 'A' 22","15-163-22929","2238 KB","Dresser Atlas                 ","Compensated Densilog GR Compensated Neutron Minilog                  ","1890","3894","114","Unscanned","06/174/1987"
"1001285682","T10S R20W, Sec. 25, C   SW NE NE","Petroleum, Inc.","","Sutor 'L' 1","15-163-20137","2193 KB","Dresser Atlas                 ","Gamma Ray Neutron Laterolog                                          ","0","3768","117","Scanned","10/294/1968"
"1001285688","T10S R19W, Sec. 30,     NW SW NE","PETROLEUM INC","","H. KELLER 1","15-163-20143","2237 KB","Dresser Atlas                 ","Gamma Ray Neutron Laterolog                                          ","0","3842","118","Unscanned","10/302/1968"
"1006126760","T10S R19W, Sec. 17,     NE SW SW","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","BERLAND 'B' 1-17","15-163-21865","2198 KB","Dresser Atlas                 ","BHC Acoustilog Gamma Ray                                             ","0","3842","113","Scanned","11/321/1982"
"1006127942","T10S R19W, Sec. 17,     SE NW SE","MURFIN DRILLING CO.","Murfin Drilling Co., Inc.","DENNIS KELLER 1-17","15-163-22501","2185 KB","Dresser Atlas                 ","Compensated Densilog Neutron Gamma Ray                               ","3000","3808","112","Scanned","10/291/1984"
"1006128385","T10S R19W, Sec. 19,   SE SW NE SE","MURFIN DRILLING CO","Murfin Drilling Co., Inc.","HENRY BERLAND 1-19","15-163-22748","2215 KB","Dresser Atlas                 ","Densilog Neutron Gamma Ray                                           ","2990","3868","113","Unscanned","08/241/1985"
"1006125076","T10S R20W, Sec. 1,     NE SE NE","CHAMPLIN PETROLEUM CO","RME Petroleum Company","GRAHAM 6","15-163-20967","2238 KB","Dresser Atlas                 ","Formation Factor                                                     ","3000","3910","110","Unscanned","09/267/1979"
"1001290427","T10S R20W, Sec. 26, C   SW SE SW","El Dorado Refining Co.","Fina Oil and Chemical Company","Armbrister 'B' 1","15-163-02195","2169 KB","Dresser Atlas                 ","PFC Gamma Ray                                                        ","2970","3741","","Scanned","03/69/1982"
"1001290201","T10S R20W, Sec. 12,     SE SE NE","SOHIO PETROLEUM CORP.","BP Exploration, Inc.","DESBIEN 5","15-163-03295","2236 KB","Dresser Atlas                 ","Dual Detector Neutron Lifetime Log                                   ","3748","3818","105","Unscanned","11/313/1983"
"1006125076","T10S R20W, Sec. 1,     NE SE NE","CHAMPLIN PETROLEUM CO","RME Petroleum Company","GRAHAM 6","15-163-20967","2238 KB","Dresser Atlas                 ","Complex Resevoir Analysis                                            ","3000","3916","","Unscanned","10/281/1979"
"1006124948","T10S R20W, Sec. 15,     NW SW SE","CHAMPLIN PETROLEUM CO","Vess Oil Corporation","Marcotte 10","15-163-20900","2170 KB","Dresser Atlas                 ","Complex Resevoir Analysis                                            ","3200","3690","","Unscanned","03/86/1979"
"1001290205","T10S R20W, Sec. 12,     NW NE NW","Continental Oil Co.","Mai Oil Operations, Inc.","C. A. DESBIEN 5","15-163-03293","2235 KB","Dresser Atlas                 ","Nuclear Cement Log","2600","3770","","Scanned","02/38/1973"
"1006129292","T10S R19W, Sec. 30,     SE NE NW","NORWOOD OIL CO.","Bowman Oil Company, a General Partnership","KELLER 'B' 2","15-163-23225","2238 KB","Drill Stem Test               ","Drill Stem Tests                                                     ","3662","3807","108","Unscanned",""
"1006129367","T9S R20W, Sec. 25,     NW NW SW","VENTURE RESOURCES, INC.","Venture Resources, Inc.","STEEPLES 1","15-163-23266","2198 KB","Drill Stem Test               ","Drill Stem Tests                                                     ","3494","3728","","Unscanned",""
"1006126744","T10S R20W, Sec. 2,     SE NE SW","HIGH PLAINS OIL EXPLORATIONS, INC","High Plains Oil Exploration, Inc.","Sutor 1","15-163-21855","2245 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","3200","3890","114","Unscanned","01/25/1983"
"1006126746","T10S R20W, Sec. 9,     NW NW NE","High Plains Oil Explorations, Inc.","High Plains Oil Exploration, Inc.","Veatch 1","15-163-21858","2213 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","0","3865","114","Scanned","12/337/1982"
"1006127932","T10S R20W, Sec. 8,     NE NW SW","Mid-Continent Energy Corp","Meltzer Oil Company","Wanker 1","15-163-22495","2263 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","3300","3897","115","Unscanned","10/286/1984"
"1006125934","T10S R19W, Sec. 30,     SW SW NW","ISERN-SCHULTZ OIL & GAS, INC.","","KELLER 1","15-163-21404","2225 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","3150","3795","114","Unscanned","04/112/1982"
"1002942042","T10S R19W, Sec. 30,     NW NW SW","MARTIN OIL CO.","","W. D. SCHONTHALER 1","15-163-00984","2210 KB","Electra Log Inc.              ","Correlation Log                                                      ","920","1665","","Unscanned","04/112/1980"
"1006124411","T10S R19W, Sec. 6,     S2 NW NW","F & M Oil Co. Inc.","","Childs 1","15-163-20631","2233 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3835","108","Scanned","10/284/1976"
"1001289832","T10S R19W, Sec. 18,     NE NE SE","Petroleum, Inc.","","Scoggins 1","15-163-02619","2214 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3801","107","Scanned","05/150/1964"
"1006129676","T9S R20W, Sec. 33,     SW SE SW","PETROLEUM INC","","MARCOTTE 'B' 1","15-163-30187","2242 KB","Electra Log Inc.              ","Radiation Log                                                        ","0","3834","","Unscanned","05/129/1966"
"1006129292","T10S R19W, Sec. 30,     SE NE NW","NORWOOD OIL CO.","Bowman Oil Company, a General Partnership","KELLER 'B' 2","15-163-23225","2238 KB","Eli Wireline Services         ","Compensated Density Log                                              ","2700","3866","119","Unscanned","06/158/1993"
"1006129292","T10S R19W, Sec. 30,     SE NE NW","NORWOOD OIL CO.","Bowman Oil Company, a General Partnership","KELLER 'B' 2","15-163-23225","2238 KB","Eli Wireline Services         ","Gamma Ray Cement Bond Log                                            ","3000","3868","","Unscanned","06/158/1993"
"1028016339","T9S R20W, Sec. 33,   NE SE NW SW","Mai Oil Operations, Inc.","Trans Pacific Oil Corporation","HINKHOUSE 1-33","15-163-23372","2257 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3865","115","Scanned","04/98/2003"
"1031997373","T10S R19W, Sec. 17,   NE NE SW NW","Tengasco, Inc.","Trans Pacific Oil Corporation","DICK 'A' 8","15-163-23442","2200 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3835","115","Scanned","03/69/2005"
"1034870620","T10S R20W, Sec. 3,   E2 SE SW SE","Trans Pacific Oil Corp.","Trans Pacific Oil Corporation","Buss 'A' 1-3","15-163-23530","2253 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3804","114","Scanned","05/147/2006"
"1030571722","T10S R20W, Sec. 16,   N2 NE SE SW","Mai Oil Operations, Inc.","Pickrell Drilling Company, Inc.","TOWNS 1","15-163-23397","2224 KB","Eli Wireline Services         ","Sonic Log                                                            ","218","3832","113","Scanned","04/111/2004"
"1033973974","T10S R20W, Sec. 10,     NE NE SW","Black Diamond Oil, Inc.","Mustang Energy Corporation","Couture 1","15-163-23518","2237 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3868","115","Scanned","04/93/2006"
"1031536486","T10S R20W, Sec. 21,       E2 NE","Mai Oil Operations, Inc.","Pickrell Drilling Company, Inc.","Towns 2","15-163-23422","2187 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3806","114","Scanned","08/241/2004"
"1033973970","T10S R20W, Sec. 11,   E2 SE NW NE","Tengasco, Inc.","Trans Pacific Oil Corporation","Croffoot 'A' 9","15-163-23516","2222 KB","Eli Wireline Services         ","Sonic Log                                                            ","200","3824","115","Scanned","04/106/2006"
"1031997373","T10S R19W, Sec. 17,   NE NE SW NW","Tengasco, Inc.","Trans Pacific Oil Corporation","DICK 'A' 8","15-163-23442","2200 KB","Eli Wireline Services         ","Micro Log                                                            ","3000","3825","115","Scanned","03/69/2005"
"1022167911","T10S R19W, Sec. 17,     SE SW NW","Tengasco, Inc.","Tengasco, Inc.","Dick 7","15-163-23321","2212 KB","Eli Wireline Services         ","Micro Log                                                            ","3100","3869","115","Scanned","08/227/2001"
"1034969808","T10S R20W, Sec. 11,   SE NW SW NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Croffoot 'C' 6","15-163-23544","2246 KB","Eli Wireline Services         ","Micro Log                                                            ","3200","3856","113","Scanned","07/193/2006"
"1033973970","T10S R20W, Sec. 11,   E2 SE NW NE","Tengasco, Inc.","Trans Pacific Oil Corporation","Croffoot 'A' 9","15-163-23516","2222 KB","Eli Wireline Services         ","Micro Log                                                            ","3000","3814","115","Scanned","04/106/2006"
"1035942315","T10S R20W, Sec. 11,   NE NW SE NE","Tengasco, Inc.","Trans Pacific Oil Corporation","CROFFOOT 'A' 10","15-163-23554","2218 KB","Eli Wireline Services         ","Micro Log                                                            ","3000","3816","114","Scanned","09/256/2006"
"1036126911","T10S R19W, Sec. 6,   S2 N2 SE NW","Black Diamond Oil, Inc.","Mustang Energy Corporation","Childs 'A' 4","15-163-23568","2236 KB","Eli Wireline Services         ","Micro Log                                                            ","3200","3796","114","Scanned","12/340/2006"
"1052834320","T10S R20W, Sec. 9,   E2 SE SW SW","BEREXCO LLC","BEREXCO LLC","COUTURE 1","15-163-24467","2247 KB","Eli Wireline Services         ","Micro Log                                                            ","3200","3900","115","Scanned","11/305/2022"
"1033440058","T10S R20W, Sec. 9,   NW SW SW NE","Noah, Calvin","Calvin Noah, LLC","THEREAN TOWNS 2","15-163-23476","2183 KB","Eli Wireline Services         ","Gamma Ray Correlation Log                                            ","3100","3753","","Scanned","09/259/2005"
"1013335362","T9S R20W, Sec. 36,     SE SW SW","Raney Oil Company, LLC","Raney Oil Company, LLC","Keas 'A' 1","15-163-23309","2252 KB","Eli Wireline Services         ","Dual Receiver Cement Bond Log                                        ","2900","3818","115","Scanned","06/181/2000"
"1031997373","T10S R19W, Sec. 17,   NE NE SW NW","Tengasco, Inc.","Trans Pacific Oil Corporation","DICK 'A' 8","15-163-23442","2200 KB","Eli Wireline Services         ","Dual Receiver Cement Bond Log                                        ","2700","3800","","Scanned","04/91/2005"
"1035942315","T10S R20W, Sec. 11,   NE NW SE NE","Tengasco, Inc.","Trans Pacific Oil Corporation","CROFFOOT 'A' 10","15-163-23554","2218 KB","Eli Wireline Services         ","Dual Receiver Cement Bond Log                                        ","2200","3785","","Scanned","09/262/2006"
"1033432155","T10S R20W, Sec. 16,     SW NE SW","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.","Towns Cowgill 1","15-163-00920-0001","2228 KB","Eli Wireline Services         ","Dual Receiver Cement Bond Log                                        ","0","1652","","Scanned","08/235/2005"
"1006129391","T10S R20W, Sec. 11,   SE SE NW SW","A F G ENERGY, INC.","Trans Pacific Oil Corporation","CROFFOOT 12","15-163-23279","2246 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3255","3841","108","Unscanned","07/188/1996"
"1028016339","T9S R20W, Sec. 33,   NE SE NW SW","Mai Oil Operations, Inc.","Trans Pacific Oil Corporation","HINKHOUSE 1-33","15-163-23372","2257 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3200","3854","115","Scanned","04/98/2003"
"1034870620","T10S R20W, Sec. 3,   E2 SE SW SE","Trans Pacific Oil Corp.","Trans Pacific Oil Corporation","Buss 'A' 1-3","15-163-23530","2253 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3100","3793","114","Scanned","05/147/2006"
"1031536486","T10S R20W, Sec. 21,       E2 NE","Mai Oil Operations, Inc.","Pickrell Drilling Company, Inc.","Towns 2","15-163-23422","2187 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3100","3788","114","Scanned","08/241/2004"
"1022167911","T10S R19W, Sec. 17,     SE SW NW","Tengasco, Inc.","Tengasco, Inc.","Dick 7","15-163-23321","2212 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","2600","3847","115","Scanned","08/227/2001"
"1030571722","T10S R20W, Sec. 16,   N2 NE SE SW","Mai Oil Operations, Inc.","Pickrell Drilling Company, Inc.","TOWNS 1","15-163-23397","2224 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3100","3816","113","Scanned","04/111/2004"
"1033973974","T10S R20W, Sec. 10,     NE NE SW","Black Diamond Oil, Inc.","Mustang Energy Corporation","Couture 1","15-163-23518","2237 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3000","3852","115","Scanned","04/93/2006"
"1052834320","T10S R20W, Sec. 9,   E2 SE SW SW","BEREXCO LLC","BEREXCO LLC","COUTURE 1","15-163-24467","2247 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","3200","3878","115","Scanned","11/305/2022"
"1021019055","T10S R20W, Sec. 9,     SE SE NW","Calvin Noah","Noah, Calvin","Therean Towns 1","15-163-23313","2174 KB","Eli Wireline Services         ","Gamma Ray CCL Correlation Log                                        ","1630","1804","112","Scanned","01/29/2001"
"1021019055","T10S R20W, Sec. 9,     SE SE NW","Calvin Noah","Noah, Calvin","Therean Towns 1","15-163-23313","2174 KB","Eli Wireline Services         ","Gamma Ray CCL Correlation Log                                        ","3100","3738","112","Scanned","01/26/2001"
"1034969808","T10S R20W, Sec. 11,   SE NW SW NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Croffoot 'C' 6","15-163-23544","2246 KB","Eli Wireline Services         ","Compensated Density/Neutron PE Log                                   ","3200","3835","113","Scanned","07/193/2006"
