KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Lansing Group","3493","","ACO-1","04/15/1999"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Stone Corral Formation","1655","","Drillers log","09/22/2005"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Heebner Shale Member","3453","","Drillers log","09/22/2005"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Toronto Limestone Member","3476","","Drillers log","09/22/2005"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Kansas City Group","","3726","Drillers log","09/22/2005"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Conglomerate Chert","3758","","Drillers log","09/22/2005"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Stone Corral Formation","1634","","ACO-1","04/15/1999"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Topeka Limestone Formation","3240","","Drillers log","09/22/2005"
"1001285627","15-163-20081","-99.4968832","39.2223337","2237","KB","Lansing Group","3493","","Drillers log","09/22/2005"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Arbuckle Group","3772","","ACO-1","04/15/1999"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Heebner Shale Member","3424","","ACO-1","04/15/1999"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Simpson Group","3759","","ACO-1","04/15/1999"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Topeka Limestone Formation","3215","","ACO-1","04/15/1999"
"1001285682","15-163-20137","-99.4967614","39.158829","2193","KB","Stone Corral Formation","1596","1631","ACO-1/Driller's Log","02/10/2006"
"1001285682","15-163-20137","-99.4967614","39.158829","2193","KB","Chat Conglomerate","3690","","ACO-1/Driller's Log","02/10/2006"
"1001286092","15-163-20554","-99.5689446","39.1680896","2238","KB","Heebner Shale Member","3490","","ACO-1","04/15/1999"
"1001287613","15-163-22098","-99.4768672","39.1752048","2214","KB","Toronto Limestone Member","3449","","ACO-1","04/15/1999"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Toronto Limestone Member","3443","","ACO-1","04/15/1999"
"1001285688","15-163-20143","-99.4826792","39.1571056","2237","KB","Lansing Group","3486","","ACO-1","04/15/1999"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Lansing Group","3461","","ACO-1","04/15/1999"
"1001285682","15-163-20137","-99.4967614","39.158829","2193","KB","Topeka Limestone Formation","3194","","ACO-1","04/15/1999"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Brown Lime","3689","","Drillers log","01/06/2006"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Base Morrowan Member","","3698","Drillers log","01/06/2006"
"1001285650","15-163-20105","-99.4802244","39.1897156","2222","KB","Spergen Sand","3759","","Drillers log","01/06/2006"
"1001285682","15-163-20137","-99.4967614","39.158829","2193","KB","Arbuckle Group","3758","","ACO-1","04/15/1999"
