KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001289870","15-163-01963","H. BERLAND 'A'","8","TEXAS COMPANY THE","","Marcotte","10","S","19","W","19"," "," ","NE","SW","NW","3630","-4290","SE","-99.4897397","39.1714333","Rooks","","11/07/1948","12/05/1948","02/03/1970","OIL-P&A","Plugged and Abandoned","3791","2227","KB"," "
"1001289915","15-163-03377","H. BERLAND 'B'","1","THE TEXAS CO","","Marcotte","10","S","19","W","30"," "," ","NE","NE","NW","4950","-2970","SE","-99.4849844","39.1607121","Rooks","","07/27/1948","08/17/1948","03/26/1968","OIL-P&A","Plugged and Abandoned","3815","2241","KB"," "
"1001289855","15-163-01974","H. BERLAND 'A'","11","TEXAS COMPANY THE","","Marcotte","10","S","19","W","19"," "," ","SW","NW","NW","4290","-4950","SE","-99.4920868","39.1732194","Rooks","","","02/05/1949","11/16/1971","OIL-P&A","Plugged and Abandoned","3776","2222","KB"," "
"1044582214","15-163-24134","Tomcat 'B'","3","Vess Oil Corporation","Vess Oil Corporation","Marcotte","10","S","20","W","24"," ","NE","NW","SE","NW","-1535","1760","NW","-99.5057827","39.1719167","Rooks","07/12/2013","08/22/2013","09/17/2013","","OIL","Producing","3727","2160","KB","Arbuckle"
"1006128321","15-163-22712","DESBIEN","10","SOHIO PETROLEUM CO","BP Exploration, Inc.","Marcotte","10","S","20","W","12"," "," ","SE","SW","NE","2970","-1650","SE","-99.4991028","39.1986699","Rooks","06/21/1985","09/01/1985","10/11/1985","","OIL","Recompleted","3774","2240","KB"," "
"1001289824","15-163-01951","Lillian Scoggins","2","Skelly Oil Co.","Bowman Oil Company, a General Partnership","Marcotte","10","S","19","W","18"," "," ","SW","SW","SW","330","-4950","SE","-99.4921264","39.1768706","Rooks","","04/24/1949","05/13/1949","","OIL","Producing","3767","2220","DF"," "
"1002941712","15-163-00670","Keller","3","Birmingham-Bartlett Drilling Co.","","Marcotte","10","S","19","W","30"," ","W2","NE","SE","NE","3937","-416","SE","-99.4759932","39.1580038","Rooks","","05/05/1954","05/16/1954","05/16/1954","D&A","Plugged and Abandoned","3795","2190","KB"," "
"1051175502","15-163-24401","BRUEGGEMAN","1-15","Patterson Energy LLC","Patterson Energy LLC","Marcotte","10","S","20","W","15"," ","NE","NW","SE","NW","-1605","1800","NW","-99.5429111","39.1862749","Rooks","09/27/2019","10/09/2019","10/23/2019","","OIL","Producing","3805","2185","KB","Arbuckle"
"1044866288","15-163-23321-0001","DICK","7","Tengasco, Inc.","Trans Pacific Oil Corporation","Marcotte","10","S","19","W","17"," "," ","SE","SW","NW","2970","-4290","SE","-99.4712612","39.1844","Rooks","","05/28/2014","07/02/2014","","SWD","Authorized Injection Well","3917","2212","KB","Arbuckle"
"1002941972","15-163-00915","D. STEEPLES 'A'","1","K & E DRILLING CO","","Marcotte","9","S","20","W","25"," "," ","NW","SW","SW","990","330","SW","-99.5109103","39.2372075","Rooks","05/01/1959","05/31/1959","06/08/1959","06/08/1959","D&A","Plugged and Abandoned","3797","2229","KB"," "
"1006125310","15-163-21080","PYWELL 'B'","7","I.O. MILLER OIL CO., INC.","","Marcotte","9","S","20","W","35"," "," ","NW","NW","NE","5009","-2374","SE","-99.520454","39.2335186","Rooks","06/12/1980","05/12/1980","05/19/1980","","OIL","Converted to SWD Well","3890","2219","KB"," "
"1021019055","15-163-23313","Therean Towns","1","Calvin Noah","Noah, Calvin","Marcotte","10","S","20","W","9"," "," ","SE","SE","NW","2970","-2970","SE","-99.5598011","39.198946","Rooks","12/21/2000","01/07/2001","01/31/2001","","OIL","Recompleted","3740","2174","KB","Arbuckle"
"1030681394","15-163-21469-0001","SUTOR 'B'","1","ANDERSON THORNTON E","Anderson Energy, Inc.","Marcotte","10","S","20","W","26"," "," ","NE","SE","NE","3630","-330","SE","-99.5131569","39.1570155","Rooks","","07/07/1986","07/12/1986","","OIL","Producing","3729","2165","KB","Topeka"
"1002941600","15-163-00564","WILLIAMS","3","Dane G. Hansen Trust","DGH Oil, LLC","Marcotte","10","S","20","W","16"," "," ","SE","NW","NE","4290","-1650","SE","-99.5551253","39.1880612","Rooks","","06/20/1953","06/28/1953","","OIL","Producing","3758","2196","KB","Arbuckle Group"
"1002942212","15-163-01146","CODDINGTON","3","Barnett Oil","","Marcotte","10","S","20","W","2"," ","W2","NW","SE","SE","966","-1081","SE","-99.5157918","39.2078388","Rooks","","02/01/1952","02/13/1952","02/13/1952","D&A","Plugged and Abandoned","3860","2222","DF"," "
"1033830204","15-163-20967-0001","GRAHAM","6","CHAMPLIN PETROLEUM CO","Vess Oil Corporation","Marcotte","10","S","20","W","1"," "," ","NE","SE","NE","3630","-330","SE","-99.4945344","39.2149832","Rooks","","08/10/1983","08/24/1983","07/22/1994","OIL-P&A","Plugged and Abandoned","3920","2238","KB","Simpson, Lansing Kansas City"
"1006129525","15-163-30053","Atherton","1","Don E. Pratt","Ritchie Exploration, Inc.","Marcotte","10","S","19","W","7"," "," "," ","SE","SW","660","-3300","SE","-99.4864122","39.1923405","Rooks","08/13/1965","08/10/1965","08/17/1965","03/05/1991","OIL-P&A","Plugged and Abandoned","3810","2234","KB"," "
"1002941445","15-163-00418","KELLER 'B'","2","HIGH PLAINS PRODUCTION CO","","Marcotte","10","S","20","W","21"," "," ","NW","NW","SE","2310","-2260","SE","-99.5569806","39.168059","Rooks","","10/30/1951","12/01/1951","05/01/1987","OIL-P&A","Converted to SWD Well","3814","2166","KB","Arbuckle"
"1033829579","15-163-00670-0001","KELLER","3","HUTCHINSON OIL CO","Bowman Oil Company, a General Partnership","Marcotte","10","S","19","W","30"," ","W2","NE","SE","NE","3637","-416","SE","-99.4756739","39.1571797","Rooks","","08/06/1985","08/22/1985","","SWD","Authorized Injection Well","3975","2190","KB"," "
"1033829557","15-163-21404-0001","KELLER 'B'","1","BROUGHER OIL, INC","Bowman Oil Company, a General Partnership","Marcotte","10","S","19","W","30"," "," ","SW","SW","NW","2970","-4950","SE","-99.4920027","39.1552162","Rooks","03/23/1982","04/17/1982","04/23/1982","","OIL","Producing","3796","2230","KB","Arbuckle"
"1001290220","15-163-02093","EARL SUTOR","6","CHAMPLIN OIL & REFINING","","Marcotte","10","S","20","W","13"," "," ","NW","NE","NE","4950","-990","SE","-99.4967652","39.1895957","Rooks","","03/26/1950","04/06/1950","07/01/2003","OIL-P&A","KCC Fee Fund Plugging","3744","2206","KB"," "
"1044217045","15-163-24099","Sparks 'A'","5","Trans Pacific Oil Corp.","Trans Pacific Oil Corporation","Marcotte","10","S","20","W","10"," ","SW","NW","SE","NE","3330","-1055","SE","-99.534369","39.1997803","Rooks","01/14/2013","01/28/2013","03/15/2013","","OIL","Producing","3805","2247","KB","Arbuckle"
"1001290219","15-163-02092","EARL SUTOR","5","CHAMPLIN REFINING CO","","Marcotte","10","S","20","W","13"," "," ","NW","SE","NE","3630","-990","SE","-99.4967689","39.1859702","Rooks","","03/14/1950","03/23/1950","","OIL","Converted to SWD Well","3842","2218","KB"," "
"1041227544","15-163-19434","VEATCH 'A'","2","HEATHMAN DRILLING CO. INC","Okmar Oil Company","Marcotte","10","S","20","W","9"," "," ","SW","SE","NW","2970","-3630","SE","-99.5621303","39.1989614","Rooks","","02/03/1950","02/16/1950","07/19/1990","OIL-P&A","Plugged and Abandoned","3790","2216","KB"," "
"1044787338","15-163-24191","Rogers","4","Raney Oil Company, LLC","Bach Oil Production","Marcotte","10","S","20","W","23"," ","NE","SE","SW","NW","-2209","1312","NW","-99.5259657","39.1701222","Rooks","03/10/2014","04/02/2014","04/15/2014","","OIL","Producing","3803","2235","KB","Arbuckle"
"1038216378","15-163-23735","Rogers-Sutor","1","Raney Oil Co., LLC","Bach Oil Production","Marcotte","10","S","20","W","23"," "," ","SW","NE","NE","-990","-1140","NE","-99.5160156","39.1734949","Rooks","06/04/2008","10/09/2008","01/02/2009","","OIL","Producing","3790","2231","KB","Arbuckle"
"1044787643","15-163-24192","Sutor C","2","Raney Oil Company, LLC","Bach Oil Production","Marcotte","10","S","20","W","13"," ","E2","SE","SW","SW","330","1065","SW","-99.5082288","39.177075","Rooks","03/11/2014","04/21/2014","04/30/2014","","OIL","Producing","3727","2167","KB","Arbuckle"
"1044065206","15-163-24007","Gunn/Gibson","3","Raney Oil Company, LLC","Bach Oil Production","Marcotte","10","S","19","W","18"," ","SE","SE","NW","NW","-1280","1118","NW","-99.4893289","39.1869834","Rooks","02/14/2012","03/01/2012","03/26/2012","","OIL","Producing","3845","2234","KB","Arbuckle"
"1037037915","15-163-19260-0002","WILSON 'A'","3","American Warrior, Inc.","American Warrior, Inc.","Marcotte","10","S","20","W","2"," ","W2","SE","SW","NE","2979","-1751","SE","-99.5177798","39.2133098","Rooks","","","","","SWD","Authorized Injection Well","4322","2232","KB"," "
"1036550049","15-163-23600","Glick","10","Berexco, Inc.","BEREXCO LLC","Marcotte","10","S","20","W","4"," ","SW","NW","NE","SE","2173","-1121","SE","-99.5532806","39.2112686","Rooks","03/20/2007","04/29/2007","06/09/2007","","OIL","Producing","3819","2246","KB","Arbuckle, Lansing Kansas City"
"1036550052","15-163-02093-0001","SUTOR 'B'","2","Raney Oil Company, LLC","Raney Oil Company, LLC","Marcotte","10","S","20","W","13"," "," ","NW","NE","NE","4949","-1107","SE","-99.4967934","39.1895906","Rooks","03/20/2007","","","","OIL","Converted to SWD Well","","2206","KB","Arbuckle"
"1036556366","15-163-00232-0001","Nutsch","1","Berexco LLC","Manuel Corporation","Marcotte","10","S","20","W","3"," ","W2","SW","SW","SW","330","-5072","SE","-99.5485482","39.2062109","Rooks","","","","","SWD","UIC Application Dismissed","","2244","KB"," "
"1035119461","15-163-23473-0001","WANKER","1-8","American Warrior, Inc.","American Warrior, Inc.","Marcotte","10","S","20","W","8"," ","NE","SE","NW","NW","4461","-4109","SE","-99.5819777","39.2030899","Rooks","","03/15/2006","03/22/2006","","SWD","Authorized Injection Well","4079","2271","KB"," "
