KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1006014888","220965","Lawrence","C","B","3","4438","4444","CORE",""
"1006014888","220966","Lawrence","C","B","3","4444","4450","CORE",""
"1006014888","220967","Lawrence","C","B","3","4450","4456","CORE",""
"1006014888","220968","Lawrence","C","B","3","4456","4466","CORE",""
"1002885370","135544","North Lawrence","8","1","4","4520","4540","CORE",""
"1002885370","135545","North Lawrence","8","1","4","4520","4540","CORE",""
"1002885370","135546","North Lawrence","8","1","4","4540","4568","CORE",""
"1002885370","135547","North Lawrence","8","1","4","4540","4568","CORE",""
"1002885370","135548","North Lawrence","8","1","4","4540","4568","CORE",""
"1002885370","135543","North Lawrence","8","1","4","4510","4520","CORE",""
"1002885370","135549","North Lawrence","8","1","4","4568","4594","CORE",""
"1002885370","135550","North Lawrence","8","1","4","4568","4594","CORE",""
