KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002885667","T32S R12W, Sec. 29,     NE NW NE","Petroleum, Inc.","","Warwick 1","15-007-00607","1605 KB","Strip/Sample Logs","Kansas Sample Log Service","3300","4515","","Scanned","04/99/1958"
"1006013133","T32S R12W, Sec. 17,     NW SW SW","Pickrell Drilling Co., Inc.","Dixon Operating Company, LLC","Forsyth Unit 3-1","15-007-00153","1648 KB","Strip/Sample Logs","Kansas Sample Log Service","3200","4913","","Scanned","07/207/1955"
"1006013323","T32S R13W, Sec. 25,     NE NE NE","Fred B. Anschutz","","Lonker 1","15-007-00522","1655 KB","Strip/Sample Logs","Kansas Sample Log Service","3400","4971","","Scanned","12/351/1954"
"1006014023","T32S R12W, Sec. 28,     W2 SW NW","Petroleum, Inc.","Dixon Operating Company, LLC","Forsyth 2","15-007-20299","1578 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","4408","124","Scanned","01/18/1975"
"1006014368","T32S R12W, Sec. 29,       SW SE","Graves Drilling Co., Inc.","Woolsey Operating Company, LLC","Thomas-Forsyth 6","15-007-20479","1654 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","4519","114","Scanned","03/89/1977"
"1006017902","T32S R12W, Sec. 27,       SE NW","Coats and Malone, Inc.","Coats Energy, Inc.","Ash 1","15-007-22360","1599 KB","Drill Stem Test               ","Drill Stem Tests                                                     ","4447","4850","","Unscanned",""
"1001184201","T32S R12W, Sec. 28,       NE NW","Petroleum, Inc.","","Kirkbride 'B' 1","15-007-20008","1535 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","4465","114","Scanned","03/69/1967"
"1001184201","T32S R12W, Sec. 28,       NE NW","Petroleum, Inc.","","Kirkbride 'B' 1","15-007-20008","1535 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","3400","4457","114","Scanned","03/69/1967"
"1006014334","T32S R12W, Sec. 28,     W2 SW NE","E. K. Edmiston","","Ash 2","15-007-20462","1614 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","3600","4528","115","Scanned","12/352/1976"
"1006014620","T32S R12W, Sec. 27,     SW NW SW","American Petroleum Co.","Lotus Operating Company, L.L.C.","Ash 'B' 2","15-007-20609","1545 KB","Electra Log Inc.              ","Radiation Log                                                        ","3600","4410","","Unscanned","06/153/1978"
"1027703230","T32S R12W, Sec. 29,     NE SW NW","Woolsey Operating Company, LLC","Woolsey Operating Company, LLC","Warwick 5","15-007-22679","1698 KB","Eli Wireline Services         ","Sonic Log                                                            ","2000","5043","126","Scanned","10/284/2001"
"1046795196","T32S R12W, Sec. 20,   N2 S2 SE SE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","KIRKBRIDE OWWO 6","15-007-20571-0001","1614 KB","Eli Wireline Services         ","Micro Log                                                            ","3600","4800","123","Scanned","04/112/2018"
"1046936237","T32S R12W, Sec. 29,     N2 NE NE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","THOMAS - FORSYTH  18","15-007-24343","1613 KB","Eli Wireline Services         ","Micro Log                                                            ","3400","4822","123","Scanned","01/16/2019"
"1001187211","T32S R12W, Sec. 18,     NE SE SE","NEWMAN, O. C.","Dixon Energy, Inc.","Forsyth Unit 2-1","15-007-10086","1606 KB","Eli Wireline Services         ","Gamma Ray Correlation Log                                            ","3600","4416","","Scanned","12/341/2005"
"1046795196","T32S R12W, Sec. 20,   N2 S2 SE SE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","KIRKBRIDE OWWO 6","15-007-20571-0001","1614 KB","Eli Wireline Services         ","Dual Receiver Cement Bond Log                                        ","3000","4757","","Scanned","06/162/2018"
"1023732216","T32S R12W, Sec. 28,     SW SW SE","Woolsey Petroleum Corp.","Dixon Operating Company, LLC","Tedrow 6","15-007-22671","1658 KB","Eli Wireline Services         ","Compensated Neutron Density PE Log                                   ","1900","4986","125","Scanned","08/233/2001"
"1046795196","T32S R12W, Sec. 20,   N2 S2 SE SE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","KIRKBRIDE OWWO 6","15-007-20571-0001","1614 KB","Eli Wireline Services         ","Compensated Density/Neutron PE Log                                   ","3600","4794","123","Scanned","04/112/2018"
"1046936237","T32S R12W, Sec. 29,     N2 NE NE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","THOMAS - FORSYTH  18","15-007-24343","1613 KB","Eli Wireline Services         ","Compensated Density/Neutron PE Log                                   ","3400","4800","123","Scanned","01/16/2019"
"1027703230","T32S R12W, Sec. 29,     NE SW NW","Woolsey Operating Company, LLC","Woolsey Operating Company, LLC","Warwick 5","15-007-22679","1698 KB","Eli Wireline Services         ","Compensated Density/Neutron PE Log                                   ","2000","5032","126","Scanned","10/284/2001"
"1046795196","T32S R12W, Sec. 20,   N2 S2 SE SE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","KIRKBRIDE OWWO 6","15-007-20571-0001","1614 KB","Eli Wireline Services         ","Dual Induction Log                                                   ","0","4816","123","Scanned","04/112/2018"
"1046936237","T32S R12W, Sec. 29,     N2 NE NE","Dixon Operating Company, LLC","Dixon Operating Company, LLC","THOMAS - FORSYTH  18","15-007-24343","1613 KB","Eli Wireline Services         ","Dual Induction Log                                                   ","0","4822","123","Scanned","01/16/2019"
