KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001187202","15-007-10082","Forsyth Unit","3-2","Pickrell Drilling Co., Inc.","Dixon Energy, Inc.","Medicine Lodge North","32","S","12","W","17"," "," ","SE","SE","SW","296","-2987","SE","-98.65101","37.25481","Barber","10/04/1957","10/03/1957","10/16/1957","03/05/2009","OIL-P&A","Plugged and Abandoned","4510","1644","KB"," "
"1044862356","15-007-24192","Fee, Warren ","13","Woolsey Operating Company, LLC","BCE-Mach III LLC","Medicine Lodge North","32","S","12","W","19"," ","SE","SE","NW","SW","1398","-4156","SE","-98.673352","37.2431841","Barber","06/25/2014","07/28/2014","09/09/2014","","GAS","Inactive Well","4910","1649","KB","Mississippian"
"1044862355","15-007-24191","Fee, Warren ","12","Woolsey Operating Company, LLC","BCE-Mach III LLC","Medicine Lodge North","32","S","12","W","19"," ","NE","NE","NW","SW","2485","-4022","SE","-98.672841","37.2461742","Barber","06/25/2014","07/05/2014","08/13/2014","","O&G","Producing","4925","1658","KB","Mississippian"
"1001187211","15-007-10086","Forsyth Unit","2-1","NEWMAN, O. C.","Dixon Energy, Inc.","Medicine Lodge North","32","S","12","W","18"," "," ","NE","SE","SE","990","-330","SE","-98.66001","37.25649","Barber","","12/17/1955","01/25/1956","03/13/2009","OIL-P&A","Plugged and Abandoned","4441","1606","KB"," "
"1006015415","15-007-21017","Gibson","1","Graves Drilling Co., Inc.","Dixon Operating Company, LLC","Medicine Lodge North","32","S","12","W","30"," "," ","S2","NE","SE","1650","-660","SE","-98.6614222","37.2294459","Barber","10/07/1980","10/21/1980","10/29/1980","","OIL","Producing","4690","1801","KB","Mississippian"
"1006014548","15-007-20571","Kirkbride","5","Robert R. Price","","Medicine Lodge North","32","S","12","W","20"," "," "," ","SE","SE","500","-660","SE","-98.6431536","37.2409085","Barber","","12/03/1977","12/12/1977","12/12/1977","D&A","Plugged and Abandoned","4430","1616","KB"," "
"1006017843","15-007-22330","Thomas-Forsyth","16","Graves Drilling Co., Inc.","Dixon Operating Company, LLC","Medicine Lodge North","32","S","12","W","29"," "," ","SW","SE","SE","330","-990","SE","-98.6443436","37.2259481","Barber","08/30/1990","09/20/1990","10/10/1990","","OIL","Producing","4560","1649","KB","Mississippian"
"1001187216","15-007-10093","Fee, Warren ","6","Skelly Oil Co.","","Medicine Lodge North","32","S","12","W","19"," "," ","NE","NE","NW","4950","-2970","SE","-98.6691109","37.2529725","Barber","","08/18/1958","09/29/1958","10/05/1960","OIL-P&A","Plugged and Abandoned","4555","1672","KB","Mississippian"
"1037893314","15-007-10089-0002","Forsyth Unit","2-3","Dixon Operating Company, LLC","Dixon Operating Company, LLC","Medicine Lodge North","32","S","12","W","19"," "," ","NE","NW","NE","4960","-1440","SE","-98.6638522","37.2530362","Barber","","","","","OIL","Producing","4550","",""," "
"1006015616","15-007-21123","Riding Thunder","1","Wild Boys Land and Cattle Co.","Mid-Continent Energy Operating Co.","Medicine Lodge North","32","S","12","W","19"," ","NE","SE","SE","SE","537","-98","SE","-98.6594424","37.2409143","Barber","","03/24/1981","07/21/1981","","OIL","Producing","5140","1812","KB","Mississippian"
