"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001184201","40829","3200","4160"
"1001184201","40830","4160","4470"
"1001187200","27241","375","2475"
"1001187200","27251","2475","4500"
"1001187202","15193","3500","4495"
"1001187203","17510","3400","4418"
"1001187204","15489","3600","4550"
"1001187216","65966","3700","4550"
"1001187206","18300","3590","4470"
"1001187210","17178","3600","4535"
"1001187211","11572","3500","4436"
"1001187214","12449","900","3900"
"1001187214","12450","3900","4445"
"1001187218","66540","3650","4477"
"1001187220","66510","3500","4497"
"1001187222","65966","3700","4648"
"1001187223","45463","3500","3900"
"1001187223","45464","3900","4520"
"1001187225","45459","4000","4435"
"1001187227","61490","3300","4240"
"1001187227","61491","4240","4530"
"1001187229","43969","3210","3900"
"1001187229","43970","3900","4457"
"1001187307","11955","3500","4210"
"1001187217","C5303","0","1820"
"1001187249","23554","3700","4535"
"1001187246","66482","3400","4476"
"1001187247","11945","3000","3995"
"1001187247","11946","3995","4520"
"1001187307","11956","4210","4525"
"1002885369","C4531","3200","3950"
"1002885369","C4536","3950","4480"
"1002885370","27240","3000","3880"
"1002885370","27680","3880","4664"
"1002885511","12699","3500","4525"
"1002885511","12696","4525","4630"
"1002885666","17951","3500","4150"
"1002885666","17952","4150","4470"
"1002886181","43890","200","2390"
"1002886181","43891","2390","4400"
"1002886181","43892","4400","4575"
"1005811392","16744","3500","4550"
"1006013133","43319","3200","4938"
"1006013296","F1509","3470","4270"
"1006013296","18717","4270","4751"
"1006013323","31452","4300","4971"
"1006013408","17416","310","1810"
"1006013408","17418","1810","4050"
"1006013408","17419","4050","4920"
"1006013412","25033","3500","4470"
"1006013414","15071","3400","4480"
"1006013655","34255","3700","4470"
"1006013659","34166","3500","4530"
"1006013661","34354","3500","4510"
"1006013687","34635","3700","4550"
"1006013825","67152","2400","4416"
"1006013999","71439","3600","4400"
"1006013999","71440","4400","4488"
"1006014007","70989","1900","4398"
"1006014023","71414","3400","4401"
"1006014087","A0542","3400","4433"
"1006014127","A0784","3400","4506"
"1006014127","16615","3300","4515"
"1006014129","A0857","3400","3900"
"1006014129","A0858","3900","4474"
"1006014191","A1470","3200","3590"
"1006014191","A1471","3590","4390"
"1006014244","A2464","3300","4470"
"1006014246","A2068","3300","4455"
"1006014296","A2597","1100","4472"
"1006014298","A3287","3300","4225"
"1006014368","A3804","3400","4515"
"1006014392","A3959","4250","4500"
"1006014424","A5475","4300","4356"
"1006014436","A4426","3300","4505"
"1006014454","A4659","2600","3710"
"1006014454","A4660","3720","4500"
"1006014510","A5020","3200","4040"
"1006014510","A5021","4040","4590"
"1006014538","A4945","3200","4410"
"1006014620","A5996","1700","4190"
"1006014620","A5997","4190","4415"
"1006014628","A5826","3200","4477"
"1006014642","A5889","3400","4645"
"1006014642","A5878","4645","5150"
"1006014810","A6572","3400","4530"
"1006014888","J8333","3400","4500"
"1006015186","J8694","340","1300"
"1006015186","J8695","1300","2880"
"1006015186","J8696","2880","4120"
"1006015381","J9846","3500","4690"
"1006015413","F6935","3500","4593"
"1006015415","F6376","3600","4690"
"1006015636","F8573","3200","4560"
"1006015881","G1844","3500","4630"
"1006016246","36258","3200","4500"
"1006017038","B8097","2380","4575"
"1006017174","36753","3200","4554"
"1006017286","37459","3500","4600"
"1006017526","C3780","3300","4530"
"1006017526","C3781","4530","4950"
"1006017843","C8686","3300","4550"
"1006017902","C9311","3000","4720"
"1006017902","C9312","4720","4925"
"1031314759","D6520","3500","4140"
"1031314759","D6521","4140","5145"
"1038844444","E0133","3700","4910"
"1043128395","E2495","3500","4380"
"1043128395","E2505","4380","4925"
"1043986305","E4708","3380","4470"
"1043986305","E4709","4470","4900"
"1044125398","E4545","3500","4620"
"1044125398","E4547","4620","4950"
"1044137673","E4862","3700","4700"
"1044137673","E4865","4700","4865"
"1044195860","12823","3600","3710"
"1044195860","12824","3710","4475"
"1044862354","E8304","4190","4905"
"1044862355","E8276","4190","4925"
"1045088204","E9897","3380","4820"
"1046924174","12499","3500","4530"
"1046936237","F4175","4500","4820"
"1006013133","26424","4310","4938"
"1006013394","20779","3400","4440"
"1006015763","G0992","3400","4515"
"1006015893","F7466","1900","4476"
"1006015915","B2145","1900","4430"
"1006016220","B2161","3200","4450"
"1006016234","A9798","1900","4530"
"1006013825","25443","4200","4457"
"1006014368","31371","2800","4090"
"1006014368","30519","4090","4507"
"1006015616","F8999","2000","5140"
"1006016107","B1781","2500","4400"
"1034468742","D9165","3200","4550"
"1038844444","E0131","3200","3700"
"1044006789","F5042","3500","4580"
"1044006789","F5043","4580","4880"
"1044013854","F4948","3500","3970"
"1044013854","F4926","3970","4925"
"1044171530","E5061","3500","4550"
"1044171530","E5062","4550","4895"
"1044182632","E5420","3400","4170"
"1044182632","E5419","4170","4600"
"1044182632","E5425","4600","4950"
"1044625824","E7085","3300","4220"
"1044625824","E7086","4220","4850"
"1044732254","E7406","3400","4690"
"1044732254","E7416","4690","4840"
"1044751238","E7424","3420","4890"
"1046795196","F3303","4430","4818"
"1046936237","F4176","3400","4500"
