KID,LASFILE
"1001184201","1030216596.las"
"1001184201","1029302856.las"
"1001184201","1030278542.las"
"1002885370","1029302896.las"
"1002886181","1029302894.las"
"1006013408","1029302895.las"
"1006013414","1029302893.las"
"1006013999","1029302857.las"
"1006014007","1029302858.las"
"1006014023","1030278545.las"
"1006013414","1030216624.las"
"1006013999","1030216627.las"
"1006014023","1030216630.las"
"1006013414","1030278576.las"
"1006013999","1030278543.las"
"1006014007","1030216631.las"
"1006014007","1030278544.las"
"1006014023","1029302859.las"
"1006014059","1030216629.las"
"1006014059","1030278546.las"
"1006014059","1029302860.las"
"1006014087","1030216628.las"
"1006014087","1029302861.las"
"1006014127","1030216632.las"
"1006014127","1029302862.las"
"1006014129","1030216597.las"
"1006014129","1029302863.las"
"1006014191","1030216598.las"
"1006014191","1030278550.las"
"1006014087","1030278547.las"
"1006014127","1030278548.las"
"1006014129","1030278549.las"
"1006014191","1029302864.las"
"1006014244","1030216599.las"
"1006014244","1030278551.las"
"1006014244","1029302865.las"
"1006014246","1030216600.las"
"1006014246","1030278552.las"
"1006014246","1029302866.las"
"1006014248","1030216601.las"
"1006014248","1030278553.las"
"1006014248","1029302867.las"
"1006014296","1030216602.las"
"1006014296","1030278554.las"
"1006014296","1029302868.las"
"1006014298","1030216603.las"
"1006014298","1030278555.las"
"1006014298","1029302869.las"
"1006014334","1030216604.las"
"1006014334","1030278556.las"
"1006014334","1029302870.las"
"1006014368","1030216605.las"
"1006014368","1029302871.las"
"1006014368","1030278557.las"
"1006014374","1030216606.las"
"1006014374","1030278558.las"
"1006014374","1029302872.las"
"1006014436","1029302873.las"
"1006014436","1030216607.las"
"1006014436","1030278559.las"
"1006014628","1030216609.las"
"1006014628","1030278561.las"
"1006014642","1030216610.las"
"1006014642","1030278562.las"
"1006014888","1029302879.las"
"1006014888","1030216613.las"
"1006014888","1030278565.las"
"1006015381","1029302882.las"
"1006015381","1030216616.las"
"1006015381","1030278573.las"
"1006015413","1029302883.las"
"1006015413","1030216617.las"
"1006015413","1030278568.las"
"1006015415","1029302884.las"
"1006015415","1030216618.las"
"1006015415","1030278569.las"
"1006015636","1029302886.las"
"1006015636","1030216619.las"
"1006015636","1030278570.las"
"1006017038","1029302888.las"
"1006017038","1030216621.las"
"1006017038","1030278572.las"
"1006017526","1029302890.las"
"1006017843","1029302891.las"
"1044862354","1052604237.las"
"1045088204","1046113711.las"
"1006014628","1029302875.las"
"1006014642","1029302876.las"
"1038844444","1043562998.las"
"1043128395","1044571593.las"
"1043986305","1044762095.las"
"1044006789","1044773311.las"
"1044006789","1044772965.las"
"1044013854","1044782100.las"
"1044013854","1044782555.las"
"1044125398","1044207851.las"
"1044137673","1044944851.las"
"1044171530","1044906847.las"
"1044171530","1044907194.las"
"1044625824","1045400175.las"
"1044732254","1045650029.las"
"1044751238","1045650093.las"
"1044862354","1052604385.las"
"1044862355","1044937123.las"
"1044862356","1046123463.las"
"1044994048","1046114767.las"
"1045052635","1045365042.las"
