KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Mississippian System","4356","","","04/15/1999"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Lansing Group","3798","","","04/15/1999"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Cowley Formation (Cherty Conglomerate)","4346","","STRATIGRAPHY.MEDICINE_LODGE_GERLACH","11/06/2003"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Cowley Formation (2nd Brecciated Chert)","4360","","STRATIGRAPHY.MEDICINE_LODGE_GERLACH","11/06/2003"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Simpson Group","4738","","","04/15/1999"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Cowley Formation (2nd Nodular Chert)","4360","","STRATIGRAPHY.MEDICINE_LODGE_GERLACH","11/06/2003"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Cowley Formation (1st Nodular Chert)","4360","","STRATIGRAPHY.MEDICINE_LODGE_GERLACH","11/06/2003"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Cowley Formation (1st Brecciated Chert)","4356","","STRATIGRAPHY.MEDICINE_LODGE_GERLACH","11/06/2003"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Heebner Shale Member","3615","","","04/15/1999"
"1001184201","15-007-20008","-98.6341308","37.2378121","1535","KB","Cowley Formation","4360","","STRATIGRAPHY.MEDICINE_LODGE_GERLACH","11/06/2003"
"1001187200","15-007-10083","-98.6577213","37.2602156","1650","DF","Mississippian System","4418","","","04/15/1999"
"1001187202","15-007-10082","-98.65101","37.25481","1644","KB","Mississippian System","4435","","","04/15/1999"
"1001187203","15-007-10084","-98.650916","37.260267","1573","KB","Lansing Group","3801","","","04/15/1999"
"1001187203","15-007-10084","-98.650916","37.260267","1573","KB","Mississippian System","4322","","","04/15/1999"
"1001187206","15-007-10088","-98.6691015","37.2556563","1640","DF","Heebner Shale Member","3691","","","04/15/1999"
"1001187206","15-007-10088","-98.6691015","37.2556563","1640","DF","Lansing Group","3867","","","04/15/1999"
"1001187206","15-007-10088","-98.6691015","37.2556563","1640","DF","Mississippian System","4418","","","04/15/1999"
"1001187206","15-007-10088","-98.6691015","37.2556563","1640","DF","Toronto Limestone Member","3712","","","04/15/1999"
"1001187207","15-007-10085","-98.6600338","37.2585288","1649","KB","Lansing Group","3885","","","04/15/1999"
"1001187202","15-007-10082","-98.65101","37.25481","1644","KB","Lansing Group","3887","","","04/15/1999"
"1001187203","15-007-10084","-98.650916","37.260267","1573","KB","Heebner Shale Member","3619","","","04/15/1999"
"1001187204","15-007-10081","-98.6483058","37.2555148","1656","KB","Kansas City Group","3890","","","04/15/1999"
"1001187210","15-007-10087","-98.6641024","37.2564861","1676","KB","Mississippian System","4447","","","04/15/1999"
"1001187204","15-007-10081","-98.6483058","37.2555148","1656","KB","Mississippian System","4431","","","04/15/1999"
"1001187204","15-007-10081","-98.6483058","37.2555148","1656","KB","Heebner Shale Member","3733","","","04/15/1999"
"1001187207","15-007-10085","-98.6600338","37.2585288","1649","KB","Mississippian System","4410","","","04/15/1999"
"1001187210","15-007-10087","-98.6641024","37.2564861","1676","KB","Heebner Shale Member","3723","","","04/15/1999"
"1001187210","15-007-10087","-98.6641024","37.2564861","1676","KB","Lansing Group","3895","","","04/15/1999"
"1001187210","15-007-10087","-98.6641024","37.2564861","1676","KB","Toronto Limestone Member","3746","","","04/15/1999"
"1001187211","15-007-10086","-98.66001","37.25649","1606","KB","Mississippian System","4376","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Arbuckle Group","4856","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Kinderhookian Stage","4546","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Lansing Group","3840","","","04/15/1999"
"1001187210","15-007-10087","-98.6641024","37.2564861","1676","KB","Kansas City Group","4334","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Toronto Limestone Member","3672","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Mississippian System","4404","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Viola Limestone Formation","4642","","","04/15/1999"
"1001187214","15-007-01759","-98.6713905","37.2656259","1602","KB","Heebner Shale Member","3639","","","04/15/1999"
"1001187214","15-007-01759","-98.6713905","37.2656259","1602","KB","Toronto Limestone Member","3655","","","04/15/1999"
"1001187217","15-007-10098","-98.641969","37.2456824","1608","DF","Heebner Shale Member","3749","","","04/15/1999"
"1001187217","15-007-10098","-98.641969","37.2456824","1608","DF","Mississippian System","4464","","","04/15/1999"
"1001187217","15-007-10098","-98.641969","37.2456824","1608","DF","Lansing Group","3923","","","04/15/1999"
"1001187218","15-007-10092","-98.6714423","37.2406943","1618","KB","Heebner Shale Member","3695","","","04/15/1999"
"1001187218","15-007-10092","-98.6714423","37.2406943","1618","KB","Lansing Group","3880","","","04/15/1999"
"1001187218","15-007-10092","-98.6714423","37.2406943","1618","KB","Marmaton Group","4314","","","04/15/1999"
"1001187218","15-007-10092","-98.6714423","37.2406943","1618","KB","Mississippian System","4396","","","04/15/1999"
"1001187220","15-007-10091","-98.6752344","37.2403852","1635","KB","Lansing Group","3895","","","04/15/1999"
"1001187220","15-007-10091","-98.6752344","37.2403852","1635","KB","Mississippian System","4425","","","04/15/1999"
"1001187220","15-007-10091","-98.6752344","37.2403852","1635","KB","Marmaton Group","4338","","","04/15/1999"
"1001187222","15-007-01760","-98.6646358","37.2493766","1676","KB","Kansas City Group","4362","","","04/15/1999"
"1001187223","15-007-10097","-98.6575714","37.2530064","1679","KB","Mississippian System","4462","","","04/15/1999"
"1001187226","15-007-10095","-98.6509651","37.2530891","1635","KB","Mississippian System","4406","","","04/15/1999"
"1001187226","15-007-10095","-98.6509651","37.2530891","1635","KB","Lansing Group","3861","","","04/15/1999"
"1001187229","15-007-01761","-98.6396603","37.249535","1572","KB","Lansing Group","3825","","","04/15/1999"
"1001187212","15-007-19111","-98.6705642","37.2649679","1621","KB","Heebner Shale Member","3662","","","04/15/1999"
"1001187214","15-007-01759","-98.6713905","37.2656259","1602","KB","Lansing Group","3824","","","04/15/1999"
"1001187214","15-007-01759","-98.6713905","37.2656259","1602","KB","Mississippian System","4335","","","04/15/1999"
"1001187222","15-007-01760","-98.6646358","37.2493766","1676","KB","Lansing Group","3930","","","04/15/1999"
"1001187222","15-007-01760","-98.6646358","37.2493766","1676","KB","Mississippian System","4364","","","04/15/1999"
