"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001230544","48520","3000","3300"
"1044019775","F4904","3280","3700"
"1001230539","11462","3100","3735"
"1002914338","10270","3050","3798"
"1002914063","99999","3000","3823"
"1002914805","12515","3300","3811"
"1001230447","09486","3200","3827"
"1001230444","07540","2940","3840"
"1001230449","45095","3200","3816"
"1002914702","11714","3300","3858"
"1002914902","61348","3200","3705"
"1001230453","12646","3300","3807"
"1002914000","50483","3300","3813"
"1001230456","48157","3200","3875"
"1001230457","09760","3200","3805"
"1001230459","10060","3200","3885"
"1006058797","67180","3200","3865"
"1002914216","52436","3200","3775"
"1001230470","08483","3100","3702"
"1001230471","12635","3200","3700"
"1001230467","06141","3200","3400"
"1002914922","52733","3400","3785"
"1001230475","52623","3300","3672"
"1002913999","06157","3600","3925"
"1006059049","69964","2930","3722"
"1006058322","34394","2900","3693"
"1006346820","03854","3490","3710"
"1006058912","68716","3000","3770"
"1006059264","A0597","2090","3725"
"1001230491","30210","3000","3740"
"1006058971","69088","3000","3485"
"1006058973","69172","3050","3595"
"1006062376","C7595","3300","3813"
"1006058973","69173","3595","3880"
"1006058984","69173","3000","3900"
"1002914219","08861","3200","3500"
"1002914219","08673","3500","3791"
"1006173111","B0826","3000","3690"
"1002914008","01217","3200","3775"
"1006062197","C4135","3100","3710"
"1006062260","C6729","3100","3698"
"1002914146","66022","3100","3675"
"1002914310","54736","3200","3670"
"1002914935","17988","3110","3754"
"1001230497","66025","3200","3765"
"1006059666","A5323","3100","3742"
"1036762802","40812","2510","4239"
"1001230501","00499","3200","3705"
"1006061506","B8033","3000","3697"
"1001230513","06148","3650","3765"
"1001230516","32073","3400","3775"
"1001230534","46132","2500","3850"
"1001230530","46694","2100","3360"
"1030571030","27597","3465","3701"
"1001230531","04777","3300","3703"
"1006062905","64879","3400","3706"
"1001230537","B4034","370","770"
"1001230515","71339","3150","3390"
"1002915129","54233","3260","3500"
"1001230522","32712","3680","3742"
"1001230519","04779","3150","3820"
"1001230524","06150","3150","3839"
"1001230537","C3607","370","3455"
"1006060002","J6845","1700","3600"
"1001230532","25285","3100","3500"
"1001230533","28235","3350","3840"
"1001230508","04769","3300","3732"
"1001230559","02095","3350","3740"
"1001230547","27247","3650","3759"
"1001230551","03418","3400","3773"
"1001230542","01403","300","2000"
"1001230558","10040","3100","3710"
"1001230557","06151","3450","3775"
"1001230701","06158","3650","3790"
