KID,LASFILE
"1030455809","1037040252.las"
"1030455809","1043562772.las"
"1040608533","1044095171.las"
"1044084809","1044860096.las"
"1044201780","1045027342.las"
"1044236049","1045041812.las"
"1044820399","1045386564.las"
"1045643280","1046110405.las"
"1046461346","1051308716.las"
"1050804654","1052086403.las"
"1046798310","1046922361.las"
"1046441815","1046501724.las"
"1046547046","1051646784.las"
"1030455811","1043562773.las"
"1030455809","1043562774.las"
"1030455809","1037040251.las"
"1030455811","1037040253.las"
"1031639414","1037028825.las"
"1031639414","1043994807.las"
"1044067003","1044818637.las"
"1044040626","1044819348.las"
"1044080204","1044860183.las"
"1040613861","1044638474.las"
"1044236044","1045041782.las"
"1044261999","1045052339.las"
"1046813504","1046943605.las"
"1006173107","1028091073.las"
"1044034040","1044243452.las"
"1044100321","1044907858.las"
"1044005925","1044773056.las"
"1044262296","1045063425.las"
"1046463410","1046523573.las"
"1046813504","1046943627.las"
