KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1036145314","T9S R21W, Sec. 15,       N2 NE","Noble Energy, Inc.","Citation Oil & Gas Corp.","Morel 'A' 10","15-065-23248","2241 KB","Elysium Energy, LLC","Dual Induction Log","0","3820","","Scanned","05/133/2008"
"1002914640","T9S R21W, Sec. 7,     NW NW NW","Natl. Coop. Refinery Assoc.","","Shaw 1","15-065-00690","2259 KB","Strip/Sample Logs","Kansas Sample Log Service","3200","3817","","Scanned","08/237/1955"
"1042763696","T9S R21W, Sec. 15,   NW SW NE SW","Berexco, LLC","BEREXCO LLC","Benson 9","15-065-23669","2247 KB","Perforators LLC","Radiation Guard","250","3851","102","Scanned","09/253/2010"
"1042763696","T9S R21W, Sec. 15,   NW SW NE SW","Berexco, LLC","BEREXCO LLC","Benson 9","15-065-23669","2247 KB","Perforators LLC","Microresistivity","2700","3851","","Scanned","09/253/2010"
"1042763696","T9S R21W, Sec. 15,   NW SW NE SW","Berexco, LLC","BEREXCO LLC","Benson 9","15-065-23669","2247 KB","Perforators LLC","Compensated Density","2700","3851","102","Scanned","09/253/2010"
"1001230622","T9S R21W, Sec. 17,     NE SW NE","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Cooley 'B' 10","15-065-02916","2232 KB","Atlas Wireline Services       ","Vertilog                                                             ","0","3688","","Scanned","09/254/1991"
"1001230632","T9S R21W, Sec. 17,     NE SE NW","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Cooley 'B' 6","15-065-02913","2258 KB","Atlas Wireline Services       ","Vertilog                                                             ","0","3670","","Scanned","09/257/1991"
"1032576810","T9S R21W, Sec. 17,     W2 SE NE","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Cooley 'B' 11","15-065-03472","2239 KB","Atlas Wireline Services       ","Vertilog                                                             ","0","3689","","Scanned","09/255/1991"
"1032576810","T9S R21W, Sec. 17,     W2 SE NE","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Cooley 'B' 11","15-065-03472","2239 KB","Atlas Wireline Services       ","Linear Neutron Porosity Gamma Ray                                    ","3000","3726","","Scanned","09/255/1991"
"1001230622","T9S R21W, Sec. 17,     NE SW NE","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Cooley 'B' 10","15-065-02916","2232 KB","Atlas Wireline Services       ","Linear Porosity Neutron Gamma Ray                                    ","2950","3700","","Scanned","09/253/1991"
