KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001230442","15-065-03362","-99.6994265","39.2861081","2251","KB","Heebner Shale Member","3426","","ACO-1","04/15/1999"
"1001230442","15-065-03362","-99.6994265","39.2861081","2251","KB","Kansas City Group","","3680","ACO-1","09/21/2005"
"1001230442","15-065-03362","-99.6994265","39.2861081","2251","KB","Stone Corral Formation","1738","","ACO-1","04/15/1999"
"1001230442","15-065-03362","-99.6994265","39.2861081","2251","KB","Arbuckle Group","3783","","ACO-1","04/15/1999"
"1001230442","15-065-03362","-99.6994265","39.2861081","2251","KB","Lansing Group","3468","","ACO-1","04/15/1999"
"1001230443","15-065-02314","-99.7111159","39.2806398","2303","KB","Arbuckle Group","3836","","ACO-1","04/15/1999"
"1001230443","15-065-02314","-99.7111159","39.2806398","2303","KB","Toronto Limestone Member","3491","","ACO-1","04/15/1999"
"1001230443","15-065-02314","-99.7111159","39.2806398","2303","KB","Kansas City Group","","3724","ACO-1","09/20/2005"
"1001230443","15-065-02314","-99.7111159","39.2806398","2303","KB","Heebner Shale Member","3468","","ACO-1","04/15/1999"
"1001230443","15-065-02314","-99.7111159","39.2806398","2303","KB","Stone Corral Formation","1790","","ACO-1","04/15/1999"
"1001230444","15-065-03360","-99.7041287","39.2788452","2261","KB","Arbuckle Group","3812","","ACO-1","04/15/1999"
"1001230444","15-065-03360","-99.7041287","39.2788452","2261","KB","Heebner Shale Member","3440","","ACO-1","04/15/1999"
"1001230444","15-065-03360","-99.7041287","39.2788452","2261","KB","Kansas City Group","","3698","ACO-1","12/02/2021"
"1001230444","15-065-03360","-99.7041287","39.2788452","2261","KB","Lansing Group","3478","","ACO-1","04/15/1999"
"1001230445","15-065-02542","-99.7087837","39.2806458","2291","KB","Arbuckle Group","3873","","ACO-1","04/15/1999"
"1001230445","15-065-02542","-99.7087837","39.2806458","2291","KB","Heebner Shale Member","3471","","ACO-1","04/15/1999"
"1001230445","15-065-02542","-99.7087837","39.2806458","2291","KB","Kansas City Group","3512","3727","ACO-1","09/06/2005"
"1001230445","15-065-02542","-99.7087837","39.2806458","2291","KB","Toronto Limestone Member","3497","","ACO-1","04/15/1999"
"1001230447","15-065-01354","-99.7111253","39.2788271","2317","KB","Arbuckle Group","3824","","ACO-1","04/15/1999"
"1001230447","15-065-01354","-99.7111253","39.2788271","2317","KB","Heebner Shale Member","3480","","ACO-1","04/15/1999"
"1001230447","15-065-01354","-99.7111253","39.2788271","2317","KB","Kansas City Group","","3736","ACO-1","12/02/2021"
"1001230447","15-065-01354","-99.7111253","39.2788271","2317","KB","Lansing Group","3520","","ACO-1","04/15/1999"
"1001230447","15-065-01354","-99.7111253","39.2788271","2317","KB","Toronto Limestone Member","3505","","ACO-1","04/15/1999"
"1001230448","15-065-01355","-99.7134575","39.278821","2302","KB","Heebner Shale Member","3466","","ACO-1","04/15/1999"
"1001230448","15-065-01355","-99.7134575","39.278821","2302","KB","Lansing Group","3504","","ACO-1","04/15/1999"
"1001230448","15-065-01355","-99.7134575","39.278821","2302","KB","Toronto Limestone Member","3491","","ACO-1","04/15/1999"
"1001230449","15-065-03107","-99.7141066","39.28242","2298","KB","Arbuckle Group","3814","","ACO-1","04/15/1999"
"1001230449","15-065-03107","-99.7141066","39.28242","2298","KB","Kansas City Group","3506","","ACO-1","04/15/1999"
