KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1006061078","15-065-21786","Buss","1","Raymond Oil Co., Inc.","MEM Partnership LP, a General Partnership","Morel","9","S","22","W","12"," "," ","SW","NE","NE","-990","-990","NE","-99.7195601","39.2896566","Graham","03/29/1983","04/14/1983","04/24/1983","02/27/2012","OIL-P&A","Plugged and Abandoned","3786","2218","KB","Arbuckle"
"1001227245","15-065-20663","A. DESBIAN","1","CONTINENTAL OIL CO","","Morel","9","S","21","W","3"," "," ","SE","NE","SW","1650","-2970","SE","-99.6524429","39.2971006","Graham","03/15/1974","","","","LOC","Expired Intent to Drill (C-1)","","",""," "
"1001229236","15-065-22666","BRAULT","1","CASTLE RESOURCES","N-B Company, Inc.","Morel","9","S","21","W","13"," "," ","NE","NW","SW","2210","-4490","SE","-99.6207808","39.2697508","Graham","02/26/1992","","08/10/1992","","LOC","Expired Intent to Drill (C-1)","","2175","GL"," "
"1001230994","15-065-01535","MILLS","5","C-G DRILLING CO. & R.A. COOK","Vess Oil Corporation","Morel","9","S","22","W","24"," "," ","NW","SW","NE","3630","-2310","SE","-99.7243054","39.2587898","Graham","01/10/1959","01/12/1959","01/22/1959","","OIL","Converted to EOR Well","3892","2351","KB"," "
"1001230520","15-065-01368","ROSA BALTHAZOR","1","Gulf Oil Corp.","Lloyd Drilling Company","Morel","9","S","21","W","14"," "," ","SE","SW","NE","2970","-1650","SE","-99.6295867","39.2717801","Graham","","07/27/1944","08/19/1944","01/03/1994","OIL-P&A","Plugged and Abandoned","3740","2208","DF"," "
"1031002648","15-065-19016-0001","DAVIGNON","2","F & J OIL CO.","Meridian Energy Inc.","Morel","9","S","21","W","20"," "," ","NW","NE","NW","4950","-3630","SE","-99.6924647","39.2624247","Graham","04/04/1977","05/01/1977","05/02/1977","","SWD","Recompleted","4200","2316","KB"," "
"1001230758","15-065-02558","Putnam Investment Co. 'A'","7","Continental Oil Co.","","Morel","9","S","21","W","23"," "," ","NE","NW","NW","4950","-4620","SE","-99.6400887","39.2626372","Graham","","07/28/1948","08/08/1948","08/11/1948","D&A","Plugged and Abandoned","3847","2281","DF"," "
"1006059416","15-065-20857","VESPER","1","BARNETT OIL, INC.","","Morel","9","S","22","W","12"," "," ","NE","NE","NW","-330","-2970","NE","-99.7265598","39.2914123","Graham","08/17/1976","09/02/1976","09/07/1976","09/07/1976","D&A","Plugged and Abandoned","3545","2222","KB"," "
"1006059666","15-065-20994","BALTHAZOR","6","COLLINS JOHN B","","Morel","9","S","21","W","13"," "," ","NE","NW","SE","2310","-1650","SE","-99.6107436","39.2701067","Graham","01/13/1978","01/12/1978","01/19/1978","01/19/1978","D&A","Plugged and Abandoned","3742","2208","KB"," "
"1006061734","15-065-22159","Cooley 'B'","16","American Petrofina Co. of Texas","National Cooperative Refinery Assoc.","Morel","9","S","21","W","17"," "," ","SE","NW","NE","4290","-1650","SE","-99.6853262","39.2751399","Graham","03/14/1985","03/25/1985","04/27/1985","","OIL","Recompleted","3742","2254","KB","Arbuckle"
"1001230507","15-065-01384","M. KNIPP","9","SHELL OIL CO.","Benchmark Oil & Gas Corporation","Morel","9","S","21","W","14"," ","E2","SW","SW","SE","330","-2254","SE","-99.631713","39.264517","Graham","09/16/1963","09/16/1963","10/16/1963","","OIL","Converted to EOR Well","3777","2266","KB"," "
"1001230530","15-065-01374","Hinkhouse","1","Bridgeport Oil Co.","Pacific Enterprises Oil Co., USA","Morel","9","S","21","W","14"," "," ","SE","SE","NW","2970","2310","SW","-99.6339147","39.2717549","Graham","","07/03/1944","08/04/1944","06/28/1982","OIL-P&A","Plugged and Abandoned","3709","2229","KB"," "
"1001230548","15-065-03378","Trexler, O. E.","1","Continental Oil Co.","Phillips Petroleum Co.","Morel","9","S","21","W","15"," "," ","E2","W2","NE","3960","-1650","SE","-99.6478854","39.2744076","Graham","","03/18/1939","04/17/1939","12/05/1991","OIL-P&A","Plugged and Abandoned","3721","2230","DF"," "
"1001230590","15-065-01394","Andreson 'A'","8","Barnett Drilling Co.","FourWinds Oil Corporation","Morel","9","S","21","W","16"," "," ","SE","SW","SW","330","660","SW","-99.6773128","39.2642888","Graham","","05/02/1949","05/17/1949","","OIL","Producing","3803","2291","DF"," "
"1001230646","15-065-01436","SUTOR 'B'","3","Peel-Hardman Oil Producers","Okmar Oil Company","Morel","9","S","21","W","18"," "," ","SE","NE","SE","1650","-330","SE","-99.6994792","39.2678707","Graham","","03/18/1950","03/28/1950","05/09/1990","OIL-P&A","Plugged and Abandoned","3800","2284","KB"," "
"1032576810","15-065-03472","Cooley 'B'","11","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Morel","9","S","21","W","17"," "," ","W2","SE","NE","3300","-990","SE","-99.6830315","39.2724247","Graham","","11/26/1951","12/17/1951","","OIL","Recompleted","3742","2239","KB"," "
"1044194701","15-065-02931-0001","Lewis 'B'","2","Meridian Energy Inc.","Thunder Oil & Gas, LLC","Morel","9","S","21","W","23"," "," ","SE","SW","SW","330","990","SW","-99.6386101","39.2499396","Graham","11/14/2012","11/27/2012","01/25/2013","","OIL","Producing","3825","2305","KB","Arbuckle"
"1037024664","15-065-19133","Cooley 'B'","2","Petro-Atlas Corp.","BEREXCO LLC","Morel","9","S","21","W","17"," "," ","SW","NE","NW","4090","-3630","SE","-99.6923289","39.274579","Graham","02/05/1958","02/03/1958","02/18/1958","","SWD","Recompleted","4287","2302","KB"," "
"1036916914","15-065-19131","J. Morel","1","Continental Oil Co.","","Morel","9","S","21","W","15"," "," ","NW","NE","SE","2310","-990","SE","-99.6455869","39.2698833","Graham","","09/11/1942","10/02/1942","11/11/1976","OIL-P&A","Plugged and Abandoned","3756","2253","DF"," "
"1036916917","15-065-02892-0001","J. Morel","6","Continental Oil Co.","Noble Energy, Inc.","Morel","9","S","21","W","15"," "," ","SE","NW","SE","1650","-1650","SE","-99.647932","39.2680631","Graham","","","04/13/1962","07/28/2010","OIL-P&A","Plugged and Abandoned","3722","2249","KB"," "
"1044019775","15-065-23786","EICHMAN","16","Dane G. Hansen Trust","Hansen, Dane G. - Trust","Morel","9","S","21","W","13"," ","N2","SW","NW","NE","-929","-2205","NE","-99.6126471","39.2757477","Graham","11/08/2011","11/12/2011","11/17/2011","11/17/2011","D&A","Plugged and Abandoned","3700","2156","KB"," "
"1033763821","15-065-23116","CLACK","5","Elysium Energy, L.L.C.","Citation Oil & Gas Corp.","Morel","9","S","21","W","10"," ","NW","SW","SE","SW","383","1630","SW","-99.6551364","39.2791748","Graham","11/29/2005","","","","OIL","Producing","3748","2160","GL","Arbuckle, Lansing Kansas City"
"1036120248","15-065-01534","MILLS","4","C-G DRILLING CO. & R.A. COOK","Vess Oil Corporation","Morel","9","S","22","W","24"," "," ","NE","SW","NE","3630","-1650","SE","-99.7219742","39.2587955","Graham","10/04/1958","10/06/1958","11/18/1958","","OIL","Recompleted","3881","2345","KB"," "
"1033973045","15-065-23144","Trexler","19","Elysium Energy, LLC","Citation Oil & Gas Corp.","Morel","9","S","21","W","15"," ","NE","SE","NW","NE","-980","-1636","NE","-99.6478285","39.2754103","Graham","02/10/2006","02/23/2006","03/20/2006","","OIL","Producing","3770","2220","KB","Arbuckle, Lansing Kansas City"
"1036040715","15-065-23227","Balthazor","1-14","Downing-Nelson Oil Co. Inc.","Downing-Nelson Oil Co Inc","Morel","9","S","21","W","14"," ","NE","NW","SE","NE","-1402","-664","NE","-99.6261063","39.2743206","Graham","09/18/2006","09/30/2006","10/07/2006","","OIL","Producing","3744","2207","KB","Kansas City"
"1025813754","15-065-22844","TREXLER, O. E.","18","Elysium Energy, L.L.C.","Noble Energy, Inc.","Morel","9","S","21","W","15"," "," ","SW","NW","NE","4290","-2310","SE","-99.6502104","39.2753065","Graham","06/24/2002","07/31/2002","08/21/2002","","OIL","Recompleted","3717","2221","KB","Arbuckle, Lansing Kansas City"
"1002915142","15-065-01534-0001","MILLS","4","Vess Oil Corporation","Vess Oil Corporation","Morel","9","S","22","W","24"," "," ","NE","SW","NE","3630","-1650","SE","-99.7219742","39.2587955","Graham","","09/19/1997","09/20/1997","","OIL","Producing","3881","2345","KB","Lansing Kansas City"
"1037987590","15-065-01428-0001","SEEFELD","2","MERIDAN ENERGY","Meridian Energy Inc.","Morel","9","S","21","W","18"," "," ","NW","SE","NE","3630","-990","SE","-99.7018053","39.2733147","Graham","04/03/2008","06/06/2008","07/14/2008","","OIL","Producing","3809","2277","GL","Arbuckle"
"1040658731","15-065-01449-0001","Davignon","4","Meridian Energy Inc.","Gore Oil Company","Morel","9","S","21","W","20"," ","SE","SE","NE","NW","4290","-2970","SE","-99.6901069","39.2606139","Graham","","09/16/2008","09/19/2008","","OIL","Producing","3829","2294","KB","Arbuckle"
"1036040711","15-065-23225","BUSS 'C'","7","Bowman Oil Company, a General Partnership","Paul Bowman Oil Trust","Morel","9","S","22","W","13"," "," ","SW","SE","NE","2970","-990","SE","-99.7195935","39.2715249","Graham","09/11/2006","","09/25/2006","","OIL","Producing","3776","2400","GL","Arbuckle"
"1036875643","15-065-23269-0001","Thompson","1","Spiral Energy Corp.","Gore Oil Company","Morel","9","S","21","W","7"," "," ","NE","NE","NE","4963","-309","SE","-99.6993165","39.291593","Graham","","","","","SWD","Authorized Injection Well","3900","2266","KB"," "
"1036879358","15-065-20994-0001","BALTHAZOR","6","MONSANTO","","Morel","9","S","21","W","13"," "," ","NE","NW","SE","2310","-1650","SE","-99.6107436","39.2701067","Graham","07/31/1984","01/12/1978","12/20/1984","","LOC","Expired Intent to Drill (C-1)","3742","2208","KB"," "
"1036879366","15-065-19127","BRAULT","2","HARBAR DRILLING CO.","","Morel","9","S","21","W","13"," "," ","W2","SW","SW","330","-4620","SE","-99.621294","39.2645832","Graham","","09/09/1948","09/23/1948","10/23/1948","D&A","Plugged and Abandoned","3775","2204","KB"," "
"1036916518","15-065-03377-0001","Trexler, O. E.","3","Conoco, Inc.","Citation Oil & Gas Corp.","Morel","9","S","21","W","15"," ","NE","NW","SE","NW","3657","-3739","SE","-99.6549747","39.2736021","Graham","","09/08/1981","01/04/1982","","SWD","Authorized Injection Well","4154","2202","DF"," "
"1036916505","15-065-02899-0001","BOLAND","3","FourWinds Oil Corporation","FourWinds Oil Corporation","Morel","9","S","21","W","16"," "," ","NE","SW","NE","3726","-1731","SE","-99.6668558","39.2737424","Graham","","","04/23/1974","","SWD","Authorized Injection Well","4190","2181","DF"," "
"1001230933","15-065-01520","BUSS 'D'","1","Anderson Prichard Oil Corp.","Paul Bowman Oil","Morel","9","S","22","W","13"," "," ","NE","NE","SE","2310","-330","SE","-99.7172751","39.2697217","Graham","","08/01/1951","08/12/1951","02/22/2001","OIL-P&A","Plugged and Abandoned","3797","2284","KB","Arbuckle Group"
"1036762802","15-065-20035","BRAULT","3","SINCLAIR OIL & GAS CO.","BEREXCO LLC","Morel","9","S","21","W","13"," ","NW","NW","SW","SW","1030","-5167","SE","-99.6232063","39.2665123","Graham","04/24/1967","04/28/1967","05/09/1967","","SWD","Authorized Injection Well","4240","2208","KB"," "
"1037027245","15-065-19139","COX 'C'","5","B & R DRILLING COMPANY INC","","Morel","9","S","21","W","26"," "," ","SE","SE","NW","2970","-2970","SE","-99.634402","39.2425844","Graham","","05/14/1950","05/26/1950","","OIL","Converted to SWD Well","3828","2292","KB"," "
"1037649314","15-065-23398","Buss 'C'","8","Paul Bowman Oil Trust","Paul Bowman Oil Trust","Morel","9","S","22","W","13"," "," ","NE","NW","NE","-525","-1640","NE","-99.7218552","39.2763995","Graham","01/08/2008","01/28/2008","02/12/2008","","OIL","Producing","3780","2241","KB","Arbuckle"
"1037034753","15-065-01535-0001","MILLS","5","Vess Oil Corporation","Vess Oil Corporation","Morel","9","S","22","W","24"," "," ","NW","SW","NE","3587","-2282","SE","-99.7237612","39.2587005","Graham","","","12/23/1997","","EOR","Authorized Injection Well","3892","",""," "
"1037041345","15-065-01427-0001","SEEFELD","1","MERIDIAN OIL CO","Meridian Energy Inc.","Morel","9","S","21","W","18"," "," ","SE","SE","NE","2970","-330","SE","-99.6994755","39.271496","Graham","08/10/2007","11/26/2007","01/02/2008","","OIL","Producing","4200","2296","KB","Arbuckle"
"1036876404","15-065-00944-0001","Shaw","2","Natl. Coop. Refinery Assoc.","Wildhorse Oil","Morel","9","S","21","W","7"," "," ","E2","NW","NW","4620","-4290","SE","-99.713396","39.2906035","Graham","","","04/24/1969","12/20/1994","EOR-P&A","Plugged and Abandoned","3856","2276","KB"," "
"1037031185","15-065-23316","Balthazor","2-14","Downing-Nelson Oil Co. Inc.","Downing-Nelson Oil Co Inc","Morel","9","S","21","W","14"," ","E2","SW","SW","NE","-2310","-2259","NE","-99.6317399","39.2717984","Graham","07/06/2007","07/07/2007","07/13/2007","","OIL","Producing","3778","2199","KB","Arbuckle, Kansas City"
"1028139999","15-065-22262-0002","Cooley 'A'","13","Berexco LLC","BEREXCO LLC","Morel","9","S","21","W","17"," "," ","NW","SE","SW","990","-3630","SE","-99.692394","39.2661527","Graham","","","02/02/1994","","EOR","Converted to Producing Well","3805","2300","KB"," "
"1028140002","15-065-03473-0001","Cooley 'B'","12","Palmer Oil Corp. and Natl. Coop. Refinery Assoc.","Manuel Corporation","Morel","9","S","21","W","17"," "," ","NE","NW","NE","4950","-1650","SE","-99.6853016","39.2769526","Graham","","","12/28/1957","10/20/1999","SWD-P&A","Plugged and Abandoned","4180","2245","KB"," "
"1028140011","15-065-21987-0001","Cooley 'B'","14","Natl. Coop. Refinery Assoc.","National Cooperative Refinery Assoc.","Morel","9","S","21","W","17"," "," ","SE","SE","NW","2864","-3076","SE","-99.6904174","39.271215","Graham","","04/24/1990","05/01/1990","","OIL","Recompleted","3764","2272","KB","Lansing-Kansas City"
"1027629609","15-065-01409-0001","Trexler, O. E.","7","Elysium Energy, LLC","Noble Energy, Inc.","Morel","9","S","21","W","15"," "," ","SE","SE","NW","2970","-2970","SE","-99.6525689","39.2716736","Graham","","09/25/2002","10/14/2002","01/30/2009","OIL-P&A","Plugged and Abandoned","3703","2223","DF","Arbuckle, Lansing-Kansas City"
"1028139987","15-065-22161-0001","Cooley 'A'","12","Natl. Coop. Refinery Assoc.","BEREXCO LLC","Morel","9","S","21","W","17"," "," ","NW","NE","SW","2310","-3630","SE","-99.6923953","39.2696902","Graham","","03/14/1990","03/21/1990","","OIL","Producing","3787","2298","KB","Lansing-Kansas City"
"1037027247","15-065-01481-0002","Balthazor","3","Mobil Oil Corp.","","Morel","9","S","21","W","23"," "," ","NW","SE","NE","3630","-990","SE","-99.6273437","39.2589363","Graham","","07/20/1963","07/20/1963","","OIL","Converted to EOR Well","3628","2257","KB"," "
"1001230665","15-065-03393","PRICER","1","PEEL-HARDMAN OIL PRODUCERS & R.W. SHIELDS","","Morel","9","S","21","W","19"," "," ","NE","NW","NW","4950","-4290","SE","-99.7134651","39.2624328","Graham","","02/19/1951","03/01/1951","10/22/1956","OIL-P&A","Plugged and Abandoned","3857","2322","KB"," "
"1035940995","15-065-23211","TREXLER","21","Elysium Energy, L.L.C.","Citation Oil & Gas Corp.","Morel","9","S","21","W","15"," ","NW","SW","SE","NW","-2310","1433","NW","-99.6559491","39.2717781","Graham","08/01/2006","","","","OIL","Producing","3793","2225","GL"," "
"1028008104","15-065-02891-0001","A. Morel","1","Continental Oil Co.","","Morel","9","S","21","W","15"," "," ","W2","E2","NE","3960","-900","SE","-99.6452356","39.2744161","Graham","","","04/15/1962","","OTHER","Recompleted","","","","Arbuckle, Lansing-Kansas City"
"1027629607","15-065-01407-0001","Trexler, O. E.","4","Elysium Energy, LLC","Citation Oil & Gas Corp.","Morel","9","S","21","W","15"," ","SW","SE","NE","NW","-1004","-2970","NE","-99.6527785","39.2753587","Graham","","09/18/2002","09/23/2002","","OIL","Producing","3675","2190","DF","Arbuckle, Lansing-Kansas City"
"1002914088","15-065-00170","VAN LOENEN","1","PEEL-HARDMAN OIL PRODUCERS, R.W. SHIELDS, N. APPLEMAN","","Morel","9","S","21","W","19"," "," ","NE","NE","SW","2310","-2970","SE","-99.7087572","39.2551782","Graham","","04/23/1950","05/03/1950","05/03/1950","D&A","Plugged and Abandoned","3980","2360","KB"," "
"1001230675","15-065-02531","PRICER","4","CITIES SERVICE CO","","Morel","9","S","21","W","19"," "," ","NE","SW","NW","3630","-4290","SE","-99.7134424","39.2588074","Graham","08/24/1959","08/30/1959","09/13/1959","09/13/1959","D&A","Plugged and Abandoned","3965","2321","KB"," "
"1028444389","15-065-01411-0002","Trexler, O. E.","9","Elysium Energy, LLC","Citation Oil & Gas Corp.","Morel","9","S","21","W","15"," ","NW","SW","SW","NE","-2298","-2338","NE","-99.6503352","39.2717961","Graham","","01/06/2003","01/29/2003","09/03/2021","OIL-P&A","Plugged and Abandoned","3686","2209","DF","Lansing-Kansas City"
"1028444395","15-065-22845-0001","J. Morel","7","Elysium Energy, LLC","Elysium Energy, L.L.C.","Morel","9","S","21","W","15"," "," ","SW","NW","SE","1650","-2310","SE","-99.6502638","39.2680556","Graham","","01/24/2003","02/17/2003","","OIL","Recompleted","3748","2227","KB","Arbuckle"
"1001230635","15-065-01419","FORGY","6","BARNETT DRILLING INC","","Morel","9","S","21","W","18","C"," ","SW","NW","NW","4290","-4950","SE","-99.7157935","39.2751634","Graham","","10/20/1951","10/31/1951","03/01/1972","SWD-P&A","Converted to SWD Well","3821","2288","KB"," "
"1001230770","15-065-02383","LOE","1","GLICKMAN OIL CO","","Morel","9","S","21","W","24","C"," ","SE","SW","NE","2970","-1650","SE","-99.6109176","39.2572743","Graham","12/16/1963","12/18/1963","12/29/1963","12/29/1963","D&A","Plugged and Abandoned","3802","2251","KB"," "
"1001230759","15-065-02561","BALTHAZOR","2","BARNETT DRILLING, INC. ET AL","","Morel","9","S","21","W","24","C"," ","NW","NE","NW","4950","-3630","SE","-99.6178217","39.2626229","Graham","","08/19/1951","08/30/1951","08/30/1951","D&A","Plugged and Abandoned","3760","2174","KB"," "
"1001230700","15-065-01454","ANDRESON 'B'","3","BARNETT OIL CO., ET AL","FourWinds Oil Corporation","Morel","9","S","21","W","21"," "," ","NE","NW","NW","-330","990","NW","-99.6761465","39.2624838","Graham","","05/13/1948","06/11/1948","","OIL","Producing","3778","2268","DF"," "
"1050388113","15-065-01956-0003","COOLEY","3","Trans Pacific Oil Corporation","Trans Pacific Oil Corporation","Morel","9","S","21","W","17"," "," ","SW","NW","SE","1717","-2400","SE","-99.6877363","39.268072","Graham","","","","","SWD","Authorized Injection Well","4125","2288","DF"," "
"1028094932","15-065-20636-0001","BALTHAZOR","5","MONSANTO CO.","Mai Oil Operations, Inc.","Morel","9","S","21","W","13"," "," ","SW","NW","SE","1799","-2372","SE","-99.6129593","39.2687018","Graham","","","06/10/1983","","SWD","Authorized Injection Well","3799","2215","KB"," "
"1006173119","15-065-22216","KNIPP","1","Balthazor Oil Co.","Production Drilling, Inc.","Morel","9","S","21","W","12"," ","W2","SE","SE","SW","330","-3170","SE","-99.6160222","39.2791703","Graham","07/26/1985","08/26/1985","10/22/1985","","OIL","Recompleted","3740","2140","KB","Arbuckle"
"1036282375","15-065-01408-0001","Trexler, O. E.","5-W","Elysium Energy, LLC","Noble Energy, Inc.","Morel","9","S","21","W","15"," "," ","NW","NW","NE","4982","-2428","SE","-99.6503165","39.2772205","Graham","","","04/15/2003","01/23/2012","EOR-P&A","Plugged and Abandoned","3702","2211","GL"," "
"1036916510","15-065-01927-0001","Clack 'B'","1","Cities Service Oil Co.","Vess Oil Corporation","Morel","9","S","21","W","16"," "," ","S2","SW","NW","2970","-4620","SE","-99.677344","39.2715393","Graham","","","08/12/1999","08/18/1999","D&A","Plugged and Abandoned","3698","2204","KB"," "
