KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1006143333","107761","North Lawrence","29","3","4","6271","6276","",""
"1006143333","107762","North Lawrence","29","3","4","6276","6287","",""
"1006143503","106674","North Lawrence","3","1","3","6250","6256","",""
"1006143503","106675","North Lawrence","3","1","3","6256","6263","",""
"1006143483","106527","North Lawrence","3","1","3","6209.6","6215","",""
"1006143483","106528","North Lawrence","3","1","3","6215","6220","",""
"1006143483","106529","North Lawrence","3","1","3","6225.6","6231","",""
"1006143483","106530","North Lawrence","3","1","3","6220","6225.6","",""
"1006143687","146109","North Lawrence","7","3","7","2698","2700.9","",""
"1006143783","147301","North Lawrence","15","2","6","6122","6129","",""
"1006143783","147302","North Lawrence","15","2","6","6224","6230","",""
"1006144216","146689","North Lawrence","15","1","1","6206","6209","",""
"1006144216","146690","North Lawrence","15","1","1","6209","6212","",""
"1006143359","104694","North Lawrence","1","4","3","6273","6274","",""
"1006143397","147463","North Lawrence","20","1","4","6127","6137","",""
"1006143477","214965","North Lawrence","27","2","4","6070","6076","",""
"1006143477","214966","North Lawrence","27","2","4","6119","6126","",""
"1006143477","214967","North Lawrence","27","2","4","6126","6129","",""
"1006143477","214968","North Lawrence","27","2","4","6112","6119","",""
"1006144216","146683","North Lawrence","15","1","1","6191","6193","",""
"1006144216","146684","North Lawrence","15","1","1","6193","6195.5","",""
"1006144216","146685","North Lawrence","15","1","1","6195.5","6198","",""
"1006144216","146686","North Lawrence","15","1","1","6198","6200","",""
"1006144216","146687","North Lawrence","15","1","1","6200","6203","",""
"1006144216","146688","North Lawrence","15","1","1","6203","6206","",""
"1006144216","146678","North Lawrence","15","1","1","6178.5","6181","",""
"1006144216","146679","North Lawrence","15","1","1","6181","6183.5","",""
"1006144216","146680","North Lawrence","15","1","1","6183.5","6186","",""
"1006144216","146681","North Lawrence","15","1","1","6186","6188","",""
"1006144216","146682","North Lawrence","15","1","1","6188","6191","",""
"1006143397","107423","North Lawrence","31","2","5","6129","6134.5","",""
"1006143783","147299","North Lawrence","15","2","6","6200","6207","",""
"1006143783","147300","North Lawrence","15","2","6","6161","6168","",""
"1006145544","146670","North Lawrence","16","1","1","6278.1","6281.9","",""
"1006145544","146671","North Lawrence","16","1","1","6281.9","6283.1","",""
"1006145544","146672","North Lawrence","16","1","1","6283.1","6286.7","",""
"1006145544","146673","North Lawrence","16","1","1","6286.7","6209.6","",""
"1006145544","146674","North Lawrence","16","1","1","6289.6","6292.1","",""
"1006144216","146675","North Lawrence","15","1","1","6171","6173","",""
"1006144216","146676","North Lawrence","15","1","1","6173","6176","",""
"1006144216","146677","North Lawrence","15","1","1","6176","6178.5","",""
"1006143359","103717","North Lawrence","3","1","1","6266","6270","",""
"1006143359","103718","North Lawrence","3","1","1","6254","6258","",""
"1006143359","103719","North Lawrence","3","1","1","6251","6254","",""
"1006143359","103720","North Lawrence","3","1","1","6258","6261","",""
"1006143783","147309","North Lawrence","15","2","6","6176","6184","",""
"1006143783","147310","North Lawrence","15","2","6","6216","6224","",""
"1006143783","147311","North Lawrence","15","2","6","6129","6137","",""
"1006143783","147312","North Lawrence","15","2","6","6208","6215","",""
"1006143671","147313","North Lawrence","40","3","6","6160","6167","",""
"1006143671","147314","North Lawrence","40","3","6","6167","6175","",""
"1006143671","147315","North Lawrence","40","3","6","6175","6183","",""
"1006143671","147316","North Lawrence","40","3","6","6183","6190","",""
"1006143671","147317","North Lawrence","40","3","6","6190","6197","",""
"1006143671","147318","North Lawrence","40","3","6","6205","6211","",""
"1006143671","147319","North Lawrence","40","3","6","6211","6216","",""
"1006143671","147320","North Lawrence","40","3","6","6197","6205","",""
"1006143687","109660","North Lawrence","7","3","7","5021","5026.5","",""
"1006143687","109661","North Lawrence","7","3","7","5026.5","5032.3","",""
"1006143687","109662","North Lawrence","7","3","7","5068.6","5074.5","",""
"1006143687","109663","North Lawrence","7","3","7","5074.5","5082","",""
"1006143359","103721","North Lawrence","3","1","1","6246","6251","",""
"1006143477","132848","North Lawrence","27","2","4","6084","6091","",""
"1006143477","132849","North Lawrence","27","2","4","6091","6098","",""
"1006143477","132850","North Lawrence","27","2","4","6098","6105","",""
"1006143477","132851","North Lawrence","27","2","4","6105","6112","",""
