KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1006104424","132974","North Lawrence","D","B","5","4369","4375","SLAB",""
"1006104424","132975","North Lawrence","D","B","5","4362","4369","SLAB",""
"1006104472","132976","North Lawrence","9","2","7","4392","4393","",""
"1006104472","132977","North Lawrence","9","2","7","4385","4392","",""
"1006104438","132978","North Lawrence","9","2","7","4380","4385","",""
"1006104438","132979","North Lawrence","9","2","7","4373","4379","",""
"1006104424","120347","Lawrence","D","B","5","4368","4370.6","BUTT",""
"1006104424","120348","North Lawrence","35","1","1","4370.6","4373","BUTT",""
"1006104424","120349","Lawrence","D","B","5","4354","4356.9","BUTT",""
"1006104424","120350","Lawrence","D","B","5","4362.5","4365.3","BUTT",""
"1006104424","120351","Lawrence","D","B","5","4365.3","4368","BUTT",""
"1001262519","132971","CHECKOUT","XXX","XXX","XXX","4428","4435","SLAB",""
"1001262519","132972","CHECKOUT","XXX","XXX","XXX","4421","4428","SLAB",""
"1006104424","132973","North Lawrence","D","B","5","4354","4362","SLAB",""
"1006104282","146228","North Lawrence","31","3","5","4385","4387","BUTT",""
"1038704114","123944","Lawrence","N","C","2","4384","4399","",""
"1038704107","125651","North Lawrence","33","2","5","4365","4366","",""
"1006104282","120424","CHECKOUT","XXX","XXX","XXX","4382","4389","SLAB",""
"1006104282","120425","CHECKOUT","XXX","XXX","XXX","4448","4455","SLAB",""
"1006104282","120426","CHECKOUT","XXX","XXX","XXX","4455","4462","SLAB",""
"1006104282","120427","CHECKOUT","XXX","XXX","XXX","4431","4439","SLAB",""
"1006104282","215122","North Lawrence","31","3","5","4400.1","4402","BUTT",""
"1006104282","215123","North Lawrence","31","3","5","4405.1","4407.9","BUTT",""
"1006104282","215124","North Lawrence","31","3","5","4444.7","4447","BUTT",""
"1006104282","215125","North Lawrence","31","3","5","4554.5","4456.6","BUTT",""
"1006104282","215126","North Lawrence","31","3","5","4413","4414.5","BUTT",""
"1006104282","215127","North Lawrence","31","3","5","4409","4411.2","BUTT",""
"1006104282","215128","North Lawrence","31","3","5","4442.9","4426","BUTT",""
"1006104282","215129","North Lawrence","31","3","5","4411.2","4413","BUTT",""
"1006104282","215130","North Lawrence","31","3","5","4452.3","4454.5","BUTT",""
"1006104282","215131","North Lawrence","31","3","5","4418.1","4420.5","BUTT",""
"1006104282","215132","North Lawrence","31","3","5","4392.8","4395.1","BUTT",""
"1006104282","215133","North Lawrence","31","3","5","4407.9","4409","BUTT",""
