"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001262519","D4331","3750","4421"
"1001262523","D5542","3700","4370"
"1001263298","51640","500","1550"
"1001263298","51641","1550","4250"
"1001263298","51642","4250","4495"
"1001263301","53311","3650","4467"
"1001263316","60277","0","2900"
"1001263316","60278","2900","4405"
"1001263317","60279","1500","3600"
"1001263317","60280","3600","4409"
"1001263319","66252","3200","4150"
"1001263319","66253","4150","4346"
"1001263320","60835","3600","4385"
"1001263321","59168","3000","3400"
"1001263321","59169","3400","4475"
"1001263322","61896","3600","4431"
"1001263325","62805","3500","4394"
"1001263426","60267","3000","4385"
"1001263427","60646","1448","3350"
"1001263427","60647","3350","4368"
"1001263428","60266","3000","4343"
"1001263428","60268","4343","4367"
"1002936027","60828","3500","4379"
"1002936125","61885","3600","4365"
"1002936135","58838","3600","4413"
"1002936176","63012","3650","4415"
"1002936179","63942","3650","4405"
"1002936200","41166","3750","4400"
"1002936207","40710","3650","4460"
"1002936244","40328","3650","4459"
"1006097165","41802","3000","4401"
"1006097233","66844","2510","4402"
"1006097295","33552","3500","4406"
"1006097343","33846","3600","4438"
"1006097621","01058","3600","4410"
"1006098611","70425","3400","4010"
"1006098611","70426","4010","4411"
"1006098817","A0279","4200","4496"
"1006098819","A0286","4200","4490"
"1006098821","A0280","4200","4900"
"1006098821","A0281","4900","5100"
"1006099113","A1789","3600","4160"
"1006099113","A1790","4160","4359"
"1006099351","A3963","3600","4397"
"1006099423","A4125","3600","4100"
"1006099423","A4126","4100","4412"
"1006099443","A4157","3500","3900"
"1006099443","A3963","3900","4385"
"1006099491","A4640","3740","4520"
"1006099550","A5203","2390","3860"
"1006099550","A5204","3860","4450"
"1006099639","A5358","3700","4388"
"1006099697","G3929","3600","4417"
"1006099910","30360","3600","4472"
"1006099936","J7521","1450","4380"
"1006100080","J8448","3500","4450"
"1006100180","J7260","2400","4160"
"1006100180","J7261","4160","4434"
"1006100224","J7262","3500","4430"
"1006100408","J9138","4100","4400"
"1006100562","F5175","3500","4478"
"1006100700","F9083","3700","4445"
"1006100802","G1238","3600","4452"
"1006100890","F7298","2500","4450"
"1006100930","A7012","3600","4535"
"1006100968","B1822","3600","4450"
"1006101908","60660","3000","4380"
"1006102368","B9557","3700","4388"
"1006102598","C1303","1474","4500"
"1006102910","C4308","3600","4496"
"1006103032","C6706","3700","4430"
"1006103034","C6705","3700","4462"
"1006103779","D0241","400","4395"
"1006104196","25649","3410","4385"
"1006104232","D3143","3600","4445"
"1006104282","D3405","3700","4500"
"1006104296","D3540","3590","4400"
"1006104368","D3962","3600","4393"
"1006104370","D4108","3700","4384"
"1006104408","D4219","3500","4349"
"1006104424","D4146","3700","4376"
"1006104432","D4226","3510","4375"
"1006104438","D4264","3700","4373"
"1006104472","D4326","3700","4385"
"1006104492","D4563","3380","4450"
"1006104496","D4563","3500","4372"
"1006104507","66238","3200","3800"
"1006104507","66239","3800","4358"
"1006104513","62574","3500","4385"
"1006104515","62387","3400","4410"
