KID,LASFILE
"1001263298","1001178692.las"
"1001263298","1006347263.las"
"1001263301","1001178853.las"
"1001263301","1001178896.las"
"1001263316","1006347221.las"
"1001263317","1006347220.las"
"1001263319","1006347595.las"
"1001263321","1006347223.las"
"1001263322","1006347219.las"
"1001263325","1001178734.las"
"1001263325","1006347211.las"
"1001263423","1006347249.las"
"1001263426","1006347260.las"
"1001263427","1006347259.las"
"1001263428","1006347261.las"
"1002936013","1001178708.las"
"1002936125","1001178700.las"
"1002936164","1001178750.las"
"1002936176","1001178702.las"
"1002936179","1001178909.las"
"1002936179","1006347155.las"
"1002936200","1006347149.las"
"1002936207","1001178696.las"
"1005450040","1000080196.las"
"1006097233","1001178810.las"
"1006097295","1001178751.las"
"1006097343","1001178812.las"
"1006098611","1001178724.las"
"1006098817","1001178907.las"
"1006098817","1001178686.las"
"1006098819","1001178699.las"
"1006098821","1001178733.las"
"1006099351","1001178726.las"
"1006099423","1000080199.las"
"1006099423","1006347264.las"
"1006099443","1006347268.las"
"1006099491","1006347269.las"
"1006099550","1006347271.las"
"1006099639","1006347272.las"
"1006100080","1006347278.las"
"1006100180","1001178691.las"
"1006100224","1006347280.las"
"1006100562","1006347287.las"
"1006100700","1001178681.las"
"1006100802","1006347293.las"
"1006100890","1001178728.las"
"1006100890","1006347295.las"
"1006100930","1006347296.las"
"1006100968","1006347297.las"
"1006101170","1006347300.las"
"1006101908","1001178804.las"
"1006102270","1001178805.las"
"1006102368","1000080270.las"
"1006102368","1001178811.las"
"1006102910","1006347306.las"
"1006103297","1006347482.las"
"1006103297","1006347308.las"
"1006103299","1006347309.las"
"1006103527","1001178663.las"
"1006103527","1006347130.las"
"1006103561","1006347131.las"
"1006104167","1006347514.las"
"1006104167","1006347515.las"
"1006104232","1006347137.las"
"1006104496","1001178735.las"
"1006104515","1001178706.las"
"1006104523","1001178863.las"
"1006104523","1006347257.las"
"1006104525","1001178774.las"
"1006104527","1006347161.las"
"1006104531","1006347159.las"
"1006104535","1006347240.las"
"1006104543","1006347151.las"
"1006104546","1001178705.las"
"1006104548","1006347224.las"
"1006104556","1001178682.las"
"1006104558","1001178664.las"
"1006104560","1001178688.las"
"1006104562","1001178848.las"
"1006104562","1001178901.las"
"1006104570","1001179076.las"
"1006104572","1006347154.las"
"1006104576","1006347248.las"
"1006104580","1001178666.las"
"1006104582","1006347158.las"
"1006104588","1001178683.las"
"1006104600","1001178862.las"
"1006104600","1006347256.las"
"1006104614","1001178876.las"
"1006104614","1001178667.las"
"1006104674","1006347194.las"
"1006104688","1001178826.las"
"1006104688","1001178761.las"
"1006104693","1006347226.las"
"1006104760","1001178821.las"
"1006104760","1001178729.las"
"1006104785","1001178825.las"
"1006104785","1001178758.las"
"1006104843","1006347148.las"
"1006104853","1006347150.las"
"1006104903","1001178756.las"
"1006173265","1001178860.las"
"1006173265","1001178905.las"
"1006348057","1006347157.las"
"1027709246","1001178749.las"
"1034470446","1006347262.las"
"1037337001","1001178895.las"
"1037337001","1001178685.las"
"1038699992","1044095902.las"
"1038704062","1006347232.las"
"1038704074","1006347255.las"
"1038704076","1006347231.las"
"1038704090","1006347235.las"
"1038704094","1006347230.las"
"1038704097","1006347241.las"
"1038704101","1006347234.las"
"1038704107","1006347239.las"
"1038704114","1001178776.las"
"1038704114","1006347233.las"
"1038704668","1001178775.las"
"1039255432","1043562832.las"
"1039255432","1043562824.las"
"1039255432","1043562827.las"
"1040856016","1044094879.las"
"1044009352","1044819491.las"
"1044009352","1044817505.las"
"1044052654","1044819104.las"
"1044108318","1044816771.las"
"1044108318","1044815725.las"
"1044108318","1044816376.las"
"1044108321","1044816388.las"
"1044108321","1044815704.las"
"1044138636","1006347163.las"
"1044138950","1001178707.las"
"1044140810","1006347153.las"
"1044172062","1044966906.las"
"1044230916","1045052572.las"
"1044246659","1044977551.las"
"1044652477","1045387234.las"
"1045102630","1046766977.las"
"1046101525","1046410251.las"
"1046290341","1046501744.las"
"1046467982","1046530852.las"
"1046529387","1051582079.las"
"1046591794","1051608019.las"
"1046797238","1051704939.las"
"1052121391","1053377769.las"
