KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001263298","T19S R21W, Sec. 30, C     SE SE","Cities Service Co.","","Moore 'B' 1","15-135-29344","2288 KB","Strip/Sample Logs","Kansas Sample Log Service","3500","4495","","Scanned","10/288/1963"
"1001263321","T19S R22W, Sec. 25,       NW SE","Pickrell Drilling Co.","Pickrell Drilling Company, Inc.","Humburg 1","15-135-19013","2283 KB","Strip/Sample Logs","Kansas Sample Log Service","3000","4473","","Scanned","02/43/1964"
"1006104515","T19S R21W, Sec. 31, C     NE SW","Pickrell Drilling Co.","","Foos 1","15-135-30009","2283 KB","Strip/Sample Logs","Kansas Sample Log Service","3400","4410","","Scanned","01/17/1965"
"1006104560","T19S R21W, Sec. 29,       NW NE","Pickrell Drilling Co.","","Rein 'C' 1","15-135-30033","2269 KB","Strip/Sample Logs","Kansas Sample Log Service","3600","4466","","Scanned","05/140/1965"
"1006104674","T19S R22W, Sec. 23,       NE SE","Pickrell Drilling Co.","","Gillig 1","15-135-30150","2259 KB","Strip/Sample Logs","Kansas Sample Log Service","3500","4410","","Scanned","11/330/1965"
"1027709246","T19S R22W, Sec. 26,       NE NW","HELLAR DRILLING CO., INC.","Hellar Drilling Company, Inc.","FORD 1","15-135-01007","2260 KB","Strip/Sample Logs","Kansas Sample Log Service","2100","4474","","Scanned","01/20/1962"
"1038704097","T20S R21W, Sec. 7,       NE NW","PICKRELL DRILLING","Pickrell Drilling Company, Inc.","MOORE 1","15-135-19047","2223 DF","Strip/Sample Logs","Kansas Sample Log Service","3000","4440","","Scanned","01/11/1964"
"1006104167","T19S R21W, Sec. 30,   SE NW NW NE","RITCHIE EXPLORATION, INC.","Ritchie Exploration, Inc.","Moore 'B-P' 4 Twin","15-135-23864","2300 KB","BPB Instruments               ","Compensated Neutron Spectral Gamma Ray Log Casing Collar Log         ","3506","4430","","Scanned","05/150/1995"
"1006104232","T19S R21W, Sec. 31,     NE SW SW","Ritchie Exploration","Schaben Oil LLC","Foos 'A-P' 1 Twin","15-135-23898","2269 KB","BPB Instruments               ","Borehole Compensated Sonic Integrated Transit Time Log               ","3600","4437","108","Scanned","08/224/1995"
"1006104282","T19S R21W, Sec. 31,   SW NE NE NE","Ritchie Exploration","Schaben Oil LLC","Schaben, Lyle 'P' 2","15-135-23925","2279 KB","BPB Instruments               ","Borehole Compensated Sonic Integrated Transit Time Log               ","3700","4456","105","Scanned","02/54/1996"
"1006104167","T19S R21W, Sec. 30,   SE NW NW NE","RITCHIE EXPLORATION, INC.","Ritchie Exploration, Inc.","Moore 'B-P' 4 Twin","15-135-23864","2300 KB","BPB Instruments               ","Compensated Sonic Log                                                ","3506","4430","","Scanned","05/150/1995"
"1006104232","T19S R21W, Sec. 31,     NE SW SW","Ritchie Exploration","Schaben Oil LLC","Foos 'A-P' 1 Twin","15-135-23898","2269 KB","BPB Instruments               ","Spectral Gamma Ray Log                                               ","3600","4432","108","Scanned","08/224/1995"
"1006104282","T19S R21W, Sec. 31,   SW NE NE NE","Ritchie Exploration","Schaben Oil LLC","Schaben, Lyle 'P' 2","15-135-23925","2279 KB","BPB Instruments               ","Spectral Gamma Ray Log                                               ","3700","4479","105","Scanned","02/54/1996"
"1006104232","T19S R21W, Sec. 31,     NE SW SW","Ritchie Exploration","Schaben Oil LLC","Foos 'A-P' 1 Twin","15-135-23898","2269 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","3600","4444","108","Scanned","08/224/1995"
"1006104282","T19S R21W, Sec. 31,   SW NE NE NE","Ritchie Exploration","Schaben Oil LLC","Schaben, Lyle 'P' 2","15-135-23925","2279 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","3700","4473","105","Scanned","02/54/1996"
"1006104232","T19S R21W, Sec. 31,     NE SW SW","Ritchie Exploration","Schaben Oil LLC","Foos 'A-P' 1 Twin","15-135-23898","2269 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","333","4444","108","Scanned","08/224/1995"
"1006104282","T19S R21W, Sec. 31,   SW NE NE NE","Ritchie Exploration","Schaben Oil LLC","Schaben, Lyle 'P' 2","15-135-23925","2279 KB","BPB Instruments               ","Array Induction Shallow Focused Log                                  ","324","4499","105","Scanned","02/54/1996"
"1006104232","T19S R21W, Sec. 31,     NE SW SW","Ritchie Exploration","Schaben Oil LLC","Foos 'A-P' 1 Twin","15-135-23898","2269 KB","BPB Instruments               ","Compensated Neutron Compensated Photo-Density Log                    ","3600","4444","108","Scanned","08/224/1995"
"1006104282","T19S R21W, Sec. 31,   SW NE NE NE","Ritchie Exploration","Schaben Oil LLC","Schaben, Lyle 'P' 2","15-135-23925","2279 KB","BPB Instruments               ","Compensated Neutron Compensated Photo-Density Log                    ","1450","4498","105","Scanned","02/54/1996"
"1006104167","T19S R21W, Sec. 30,   SE NW NW NE","RITCHIE EXPLORATION, INC.","Ritchie Exploration, Inc.","Moore 'B-P' 4 Twin","15-135-23864","2300 KB","BPB Instruments               ","Spectral Gamma Ray Casing Collar Log","3506","4430","","Scanned","05/150/1995"
"1001263316","T19S R22W, Sec. 25,       NW SW","Sinclair Oil & Gas Co.","","Wagner, Dora 2","15-135-19017","2270 KB","Digi-Rule                     ","Electric Log                                                         ","3700","4400","","Scanned","03/74/1964"
"1001263316","T19S R22W, Sec. 25,       NW SW","Sinclair Oil & Gas Co.","","Wagner, Dora 2","15-135-19017","2270 KB","Digi-Rule                     ","Electric Log                                                         ","3700","4400","","Scanned","03/74/1964"
"1006099491","T19S R21W, Sec. 29,       SE NE","MAURICE L. BROWN CO.","","F. REIN 1","15-135-21365","2288 KB","Dresser Atlas                 ","BHC Acoustilog                                                       ","555","4514","124","Unscanned","09/262/1977"
"1006100562","T20S R21W, Sec. 7,   SE NW NE SW","Cities Service Co.","OXY USA Inc.","O'Brien 'B' 4","15-135-21924","2224 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron                             ","3500","4455","118","Scanned","02/45/1981"
"1006099491","T19S R21W, Sec. 29,       SE NE","MAURICE L. BROWN CO.","","F. REIN 1","15-135-21365","2288 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","3700","4518","124","Unscanned","09/262/1977"
"1006099550","T20S R21W, Sec. 5,     N2 NW NW","Sohio Petroleum","","Herb Moore 1","15-135-21395","2257 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","4447","120","Scanned","12/364/1977"
"1006100562","T20S R21W, Sec. 7,   SE NW NE SW","Cities Service Co.","OXY USA Inc.","O'Brien 'B' 4","15-135-21924","2224 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","542","4457","118","Scanned","02/45/1981"
"1006100802","T19S R21W, Sec. 29,       NE SE","Woolsey Petroleum Corp.","Joe Gerstner Oil, LLC","Frank Rein 'B' 1","15-135-22058","2310 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","690","4450","119","Unscanned","08/217/1981"
"1006098821","T19S R22W, Sec. 25,     SW SW SE","CITIES SERVICE OIL CO.","Pickrell Drilling Company, Inc.","PICKRELL-HUMBURG 1","15-135-21025","2277 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","0","5096","110","Scanned","05/124/1975"
"1006098821","T19S R22W, Sec. 25,     SW SW SE","CITIES SERVICE OIL CO.","Pickrell Drilling Company, Inc.","PICKRELL-HUMBURG 1","15-135-21025","2277 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","0","5096","110","Scanned","05/124/1975"
"1006100562","T20S R21W, Sec. 7,   SE NW NE SW","Cities Service Co.","OXY USA Inc.","O'Brien 'B' 4","15-135-21924","2224 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","3700","4432","","Scanned","02/55/1981"
"1006100224","T19S R21W, Sec. 19, C     NE NW","Twin Western Resources","","Schaben 1","15-135-21749","2248 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","4434","114","Scanned","01/14/1980"
"1006104833","T19S R22W, Sec. 25,       NW NW","Holly Oil Co.","Kaiser-Francis Oil Company","Borger 4","15-135-30246","2290 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","4403","126","Scanned","07/199/1966"
"1038704668","T20S R21W, Sec. 6,       SW NE","PICKRELL DRILLING CO.","Pickrell Drilling Company, Inc.","PETERSILLIE 1","15-135-01009","2243 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","3400","3998","114","Unscanned","07/202/1964"
"1006104558","T19S R21W, Sec. 19, C     SW SE","Pickrell Drilling Co.","","Gneich 'P' 1","15-135-30032","2266 KB","Electra Log Inc.              ","Gamma Ray Neutron                                                    ","0","4390","110","Scanned","03/68/1965"
