KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1006102598","15-135-23036","ANTENEN","1","BARFIELD OIL","Evergreen Operating Corporation","Schaben","20","S","21","W","6"," "," "," ","NE","SE","1980","-660","SE","-99.6791866","38.3401937","Ness","","06/18/1986","06/27/1986","06/27/1986","D&A","Plugged and Abandoned","4500","2247","KB"," "
"1006102910","15-135-23200","Lapka 'A'","1","RAMCO DRILLING SERVICES, INC. & PENDLETON LAND & EXPLORATION, INC.","Ramco Energy Corporation","Schaben","19","S","21","W","28"," "," ","SW","SW","NW","2970","-4950","SE","-99.657488","38.3722173","Ness","12/07/1987","12/10/1987","12/19/1987","08/21/1992","OIL-P&A","Plugged and Abandoned","4496","2301","KB"," "
"1001263428","15-135-19002","MAY SCHNEIDER","3","Mobil Oil Co.","Manuel Corporation","Schaben","20","S","22","W","12"," "," ","NW","SE","NE","3463","-815","SE","-99.697769","38.329609","Ness","04/23/1964","04/22/1964","05/04/1964","11/26/2002","OIL-P&A","Plugged and Abandoned","4372","2217","KB","Mississippian"
"1002936164","15-135-24052","Gillig","1-26","AMERICAN WARRIOR, INC.","American Warrior, Inc.","Schaben","19","S","22","W","26"," "," ","NE","NE","SE","2308","-314","SE","-99.7150507","38.370103","Ness","03/26/1998","04/06/1998","07/10/1998","","OIL","Producing","4398","2272","KB","Osagean Stage"
"1044009352","15-135-25310","Adrienne","2-18","American Warrior, Inc.","American Warrior, Inc.","Schaben","19","S","21","W","18"," ","NE","SW","SW","SW","389","446","SW","-99.6941417","38.3940229","Ness","10/25/2011","11/24/2011","01/16/2012","","OIL","Producing","4350","2211","KB","Mississippian"
"1033707686","15-135-24409","Rohr","1-24","American Warrior, Inc.","American Warrior, Inc.","Schaben","19","S","22","W","24"," "," ","SW","SW","NW","-2310","330","NW","-99.7129415","38.3864134","Ness","10/20/2005","01/02/2006","03/01/2006","","OIL","Producing","4375","2253","KB","Cherokee"
"1033828254","15-135-24433","O'Brate","2","American Warrior, Inc.","American Warrior, Inc.","Schaben","19","S","22","W","23"," "," ","W2","E2","SW","1250","1600","SW","-99.7268036","38.381623","Ness","12/13/2005","01/23/2006","02/14/2006","","OIL","Producing","4390","2247","KB","Mississippian"
"1033828248","15-135-24430","Rein","2-23","American Warrior, Inc.","American Warrior, Inc.","Schaben","19","S","22","W","23"," "," ","S2","S2","NE","-2150","-1300","NE","-99.7186326","38.3868289","Ness","12/13/2005","02/13/2006","03/13/2006","","OIL","Producing","4394","2257","KB","Mississippian"
"1006104037","15-135-23799","Moore","1-30","American Warrior","American Warrior, Inc.","Schaben","19","S","21","W","30"," "," ","NW","SW","SW","959","331","SW","-99.6942986","38.366562","Ness","12/01/1993","12/17/1993","03/22/1994","","OIL","Recompleted","4421","2302","KB","Fort Scott"
"1037236561","15-135-24708","O'Brate","3","American Warrior, Inc.","American Warrior, Inc.","Schaben","19","S","22","W","23"," "," ","S2","SE","SW","330","2130","SW","-99.7249358","38.3791115","Ness","09/21/2007","","","","LOC","Expired Intent to Drill (C-1)","4371","2240","GL","Mississippian"
