"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1044580309","E6544","3480","4320"
"1044580309","E6546","4320","4475"
"1044584705","E6745","3400","4250"
"1044584705","E6746","4250","4420"
"1044591481","E6743","3440","4020"
"1044591481","E6744","4020","4458"
"1044594022","E6874","3510","3910"
"1044594022","E6875","3910","4520"
"1044598968","E6876","3430","3950"
"1044598968","E6879","3950","4432"
"1044630867","E7077","3690","4500"
"1044631665","E7231","4930","5270"
"1044634065","E7114","3540","4320"
"1044634065","E7129","4320","4560"
"1044643479","E7176","3450","4300"
"1044643479","E7172","4300","4440"
"1044643912","E7227","3580","4480"
"1044656072","E7230","3500","4520"
"1044661384","E7292","3970","4485"
"1044666103","E7306","3460","4480"
"1044685912","E7421","3500","4500"
"1044726366","E7384","3490","3950"
"1044726366","E7389","3950","4530"
"1044730919","E7365","3540","4220"
"1044730919","E7369","4220","4540"
"1044750213","E7580","4180","4980"
"1044750213","E7578","3440","4180"
"1044753906","E7423","3500","4625"
"1044759482","E7490","3460","4520"
"1044759483","E7557","3490","3700"
"1044759483","E7562","3700","4500"
"1044854456","57536","3510","4200"
"1044854456","57531","4200","4550"
"1044874684","E8781","3540","4535"
"1044914883","E8867","3510","4310"
"1044914883","E8868","4310","4540"
"1045015808","E9648","3500","4410"
"1045104928","E9926","3670","4050"
"1045104928","E9936","4050","4585"
