KID,LASFILE
"1044580309","1045113961.las"
"1044584705","1045117554.las"
"1044591481","1045139737.las"
"1044594022","1045139704.las"
"1044598968","1045400594.las"
"1044630867","1045387610.las"
"1044634065","1045387565.las"
"1044643479","1045098852.las"
"1044643912","1045628813.las"
"1044656072","1045628792.las"
"1044661384","1045628746.las"
"1044661385","1045628769.las"
"1044666103","1045638563.las"
"1044685912","1045650422.las"
"1044726366","1045650457.las"
"1044730919","1045638530.las"
"1044750213","1052604545.las"
"1044753906","1045638467.las"
"1044759482","1052604540.las"
"1044759483","1045663324.las"
"1044854456","1046103708.las"
"1044874684","1046111110.las"
"1044914883","1046411676.las"
"1045015808","1046473046.las"
"1045104928","1046766984.las"
