KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1044580309","T1S R36W, Sec. 1,   E2 NW NW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 1-1","15-153-20929","3181 KB","Pioneer Energy Services","Microresistivity","3500","4473","121","Scanned","07/205/2013"
"1044580309","T1S R36W, Sec. 1,   E2 NW NW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 1-1","15-153-20929","3181 KB","Pioneer Energy Services","Microresistivity","3500","4473","121","Scanned","07/205/2013"
"1044584705","T1S R36W, Sec. 1,   W2 NW NE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 2-1","15-153-20933","3095 KB","Pioneer Energy Services","Microresistivity","3400","4409","120","Scanned","08/220/2013"
"1044584705","T1S R36W, Sec. 1,   W2 NW NE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 2-1","15-153-20933","3095 KB","Pioneer Energy Services","Microresistivity","3400","4409","120","Scanned","08/220/2013"
"1044591481","T1S R36W, Sec. 1,   W2 NE NE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 3-1","15-153-20939","3133 KB","Pioneer Energy Services","Microresistivity","3400","4457","","Scanned","08/232/2013"
"1044591481","T1S R36W, Sec. 1,   W2 NE NE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 3-1","15-153-20939","3133 KB","Pioneer Energy Services","Microresistivity","3400","4457","","Scanned","08/232/2013"
"1044594022","T1S R36W, Sec. 1,   W2 NW NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 1-1","15-153-20941","3195 KB","Pioneer Energy Services","Microresistivity","3500","4517","121","Scanned","08/242/2013"
"1044594022","T1S R36W, Sec. 1,   W2 NW NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 1-1","15-153-20941","3195 KB","Pioneer Energy Services","Microresistivity","3500","4517","121","Scanned","08/242/2013"
"1044598968","T1S R36W, Sec. 1,   E2 NE NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 2-1","15-153-20944","3117 KB","Pioneer Energy Services","Microresistivity","3400","4429","122","Scanned","09/253/2013"
"1044598968","T1S R36W, Sec. 1,   E2 NE NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 2-1","15-153-20944","3117 KB","Pioneer Energy Services","Microresistivity","3400","4429","122","Scanned","09/253/2013"
"1044630867","T1S R36W, Sec. 1,     NE NE NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 3-1","15-153-20953","3229 KB","Pioneer Energy Services","Microresistivity","3600","4501","121","Scanned","10/290/2013"
"1044630867","T1S R36W, Sec. 1,     NE NE NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 3-1","15-153-20953","3229 KB","Pioneer Energy Services","Microresistivity","3600","4501","121","Scanned","10/290/2013"
"1044634065","T1S R35W, Sec. 6,   SE NW NW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter Bros. 1-6","15-153-20956","3229 KB","Pioneer Energy Services","Microresistivity","3500","4554","122","Scanned","11/305/2013"
"1044634065","T1S R35W, Sec. 6,   SE NW NW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter Bros. 1-6","15-153-20956","3229 KB","Pioneer Energy Services","Microresistivity","3500","4554","122","Scanned","11/305/2013"
"1044643479","T1S R36W, Sec. 1,   NW SE NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 4-1","15-153-20960","3136 KB","Pioneer Energy Services","Microresistivity","3400","4440","122","Scanned","11/317/2013"
"1044643479","T1S R36W, Sec. 1,   NW SE NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 4-1","15-153-20960","3136 KB","Pioneer Energy Services","Microresistivity","3400","4440","122","Scanned","11/317/2013"
"1044643912","T1S R36W, Sec. 1,   NE SW NE NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 5-1","15-153-20961","3142 KB","Pioneer Energy Services","Microresistivity","3450","4477","123","Scanned","11/323/2013"
"1044643912","T1S R36W, Sec. 1,   NE SW NE NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 5-1","15-153-20961","3142 KB","Pioneer Energy Services","Microresistivity","3450","4477","123","Scanned","11/323/2013"
"1044656072","T1S R36W, Sec. 1,   NW NE SE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 6-1","15-153-20964","3198 KB","Pioneer Energy Services","Microresistivity","3500","4509","121","Scanned","11/328/2013"
"1044656072","T1S R36W, Sec. 1,   NW NE SE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 6-1","15-153-20964","3198 KB","Pioneer Energy Services","Microresistivity","3500","4509","121","Scanned","11/328/2013"
"1044661384","T1S R36W, Sec. 1,   NE SW NE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 4-1","15-153-20965","3161 KB","Pioneer Energy Services","Microresistivity","3450","4488","123","Scanned","12/341/2013"
"1044661384","T1S R36W, Sec. 1,   NE SW NE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 4-1","15-153-20965","3161 KB","Pioneer Energy Services","Microresistivity","3450","4488","123","Scanned","12/341/2013"
"1044661385","T1S R36W, Sec. 1,   NE SE NW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 5-1","15-153-20966","3177 KB","Pioneer Energy Services","Microresistivity","3400","4513","121","Scanned","12/335/2013"
"1044661385","T1S R36W, Sec. 1,   NE SE NW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 5-1","15-153-20966","3177 KB","Pioneer Energy Services","Microresistivity","3400","4513","121","Scanned","12/335/2013"
"1044666103","T1S R36W, Sec. 1,   E2 W2 W2 NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 6-1","15-153-20967","3163 KB","Pioneer Energy Services","Microresistivity","3500","4435","123","Scanned","12/347/2013"
"1044666103","T1S R36W, Sec. 1,   E2 W2 W2 NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 6-1","15-153-20967","3163 KB","Pioneer Energy Services","Microresistivity","3500","4435","123","Scanned","12/347/2013"
"1044685912","T1S R36W, Sec. 1,         NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 7-1","15-153-20968","3191 KB","Pioneer Energy Services","Microresistivity","3500","4501","123","Scanned","01/16/2014"
"1044685912","T1S R36W, Sec. 1,         NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 7-1","15-153-20968","3191 KB","Pioneer Energy Services","Microresistivity","3500","4501","123","Scanned","01/16/2014"
"1044726366","T1S R36W, Sec. 1,     E2 E2 NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 8-1","15-153-20970","3201 KB","Pioneer Energy Services","Microresistivity","3500","4506","121","Scanned","01/10/2014"
"1044726366","T1S R36W, Sec. 1,     E2 E2 NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 8-1","15-153-20970","3201 KB","Pioneer Energy Services","Microresistivity","3500","4506","121","Scanned","01/10/2014"
"1044730919","T1S R36W, Sec. 1,   E2 W2 NE SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Downing 'B' 1-1","15-153-20972","3222 KB","Pioneer Energy Services","Microresistivity","3500","4539","121","Scanned","01/05/2014"
"1044730919","T1S R36W, Sec. 1,   E2 W2 NE SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Downing 'B' 1-1","15-153-20972","3222 KB","Pioneer Energy Services","Microresistivity","3500","4539","121","Scanned","01/05/2014"
"1044753906","T1S R36W, Sec. 2,   NW SE NE SE","Berexco, LLC","BEREXCO LLC","Schwerdt 1-2","15-153-20976","3182 KB","Pioneer Energy Services","Microresistivity","3500","4619","124","Scanned","01/19/2014"
"1044753906","T1S R36W, Sec. 2,   NW SE NE SE","Berexco, LLC","BEREXCO LLC","Schwerdt 1-2","15-153-20976","3182 KB","Pioneer Energy Services","Microresistivity","3500","4619","124","Scanned","01/19/2014"
"1044759482","T1S R36W, Sec. 1,   NW NW SE NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Mary Ann 7-1","15-153-20980","3150 KB","Pioneer Energy Services","Microresistivity","3500","4520","121","Scanned","01/27/2014"
"1044759483","T1S R35W, Sec. 6,     NE NE SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Downing 1-6","15-153-20981","3169 KB","Pioneer Energy Services","Microresistivity","3450","4499","123","Scanned","02/46/2014"
"1044759483","T1S R35W, Sec. 6,     NE NE SW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Downing 1-6","15-153-20981","3169 KB","Pioneer Energy Services","Microresistivity","3450","4499","123","Scanned","02/46/2014"
"1045015808","T1S R36W, Sec. 2,   SE SE NW SE","BEREXCO LLC","BEREXCO LLC","Schwerdt 3-2","15-153-21135","3102 KB","Pioneer Energy Services","Microresistivity","3500","4405","120","Scanned","05/141/2015"
"1045015808","T1S R36W, Sec. 2,   SE SE NW SE","BEREXCO LLC","BEREXCO LLC","Schwerdt 3-2","15-153-21135","3102 KB","Pioneer Energy Services","Microresistivity","3500","4405","120","Scanned","05/141/2015"
"1045104928","T1S R36W, Sec. 1,   E2 NW SW SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 'A' 2-1","15-153-21171","3273 KB","Pioneer Energy Services","Microresistivity","3650","4585","122","Scanned","11/317/2015"
"1045104928","T1S R36W, Sec. 1,   E2 NW SW SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Walter 'A' 2-1","15-153-21171","3273 KB","Pioneer Energy Services","Microresistivity","3650","4585","122","Scanned","11/317/2015"
"1044854456","T1S R35W, Sec. 6,     SW SW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Ladenburger 1-6","15-153-21027","3210 KB","Pioneer Energy Services","Microresistivity","3400","4549","122","Scanned","06/177/2014"
"1044854456","T1S R35W, Sec. 6,     SW SW NW","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Ladenburger 1-6","15-153-21027","3210 KB","Pioneer Energy Services","Microresistivity","3400","4549","122","Scanned","06/177/2014"
"1044865043","T1S R36W, Sec. 2,   W2 NE NW NE","Berexco, LLC","BEREXCO LLC","Schwerdt 2-2","15-153-21031","3056 KB","Pioneer Energy Services","Microresistivity","3500","4381","120","Scanned","07/205/2014"
