KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Anhydrite","3114","3146","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Neva","3592","","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Red Eagle","3656","","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Foraker","3702","","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Topeka","3918","","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Oread","4032","","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Lansing-Kansas City","4135","4407","Completion Form","10/01/2021"
"1044580309","15-153-20929","-101.3154121","40.0018321","3181","KB","Stark Shale","4348","","Completion Form","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Anhydrite","3026","","Geological Report","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Neva","3507","","Geological Report","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Foraker","3616","","Geological Report","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Topeka","3828","","Geological Report","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Oread","3940","","Geological Report","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Lansing-Kansas City","4044","4318","Geological Report","10/01/2021"
"1044584705","15-153-20933","-101.3122359","40.0018191","3095","KB","Stark Shale","4262","","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Anhydrite","3065","","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Neva","3548","","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Foraker","3657","","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Topeka","3865","","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Oread","3979","","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Lansing-Kansas City","4081","4350","Geological Report","10/01/2021"
"1044591481","15-153-20939","-101.3098448","40.0018093","3133","KB","Stark Shale","4298","","Geological Report","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Red Eagle","3709","","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Foraker","3756","","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Topeka","3964","","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Lansing-Kansas City","4179","4444","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Stark","4389","","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Anhydrite","3154","3193","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Neva","3646","","Completion Form","10/01/2021"
"1044630867","15-153-20953","-101.299985","40.001769","3229","KB","Oread","4077","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Arbuckle","5012","","Geological Report","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Reagan Sand","5156","","Geological Report","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Granite Wash","5228","","Geological Report","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Anhydrite","3178","3210","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Neva","3657","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Red Eagle","3719","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Foraker","3767","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Topeka","3974","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Oread","4094","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Lansing-Kansas City","4193","4457","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Stark","4407","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Pawnee","4574","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Cherokee","4662","","Completion Form","10/01/2021"
"1044631665","15-153-20404-0001","-101.3063165","39.9931964","3237","KB","Mississippian","4865","","Completion Form","10/01/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Lansing-Kansas City","4187","4454","Geological Report","10/02/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Anhydrite","3156","","Geological Report","10/02/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Neva","3651","","Geological Report","10/02/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Foraker","3763","","Geological Report","10/02/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Topeka","3970","","Geological Report","10/02/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Oread","4083","","Geological Report","10/02/2021"
"1044634065","15-153-20956","-101.2969159","40.0017288","3229","KB","Stark Shale","4402","","Geological Report","10/02/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Anhydrite","3127","","Geological Report","10/01/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Neva","3604","","Geological Report","10/01/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Foraker","3713","","Geological Report","10/01/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Topeka","3920","","Geological Report","10/01/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Oread","4033","","Geological Report","10/01/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Lansing-Kansas City","4138","4404","Geological Report","10/01/2021"
"1044594022","15-153-20941","-101.3072299","40.0017986","3195","KB","Stark Shale","4352","","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Anhydrite","3047","","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Neva","3535","","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Foraker","3644","","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Topeka","3852","","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Oread","3962","","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Lansing-Kansas City","4066","4331","Geological Report","10/01/2021"
"1044598968","15-153-20944","-101.303661","40.001784","3117","KB","Stark Shale","4280","","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Anhydrite","3062","","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Neva","3547","","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Foraker","3655","","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Topeka","3863","","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Oread","3974","","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Lansing-Kansas City","4080","4334","Geological Report","10/01/2021"
"1044643479","15-153-20960","-101.3054576","40.0005973","3136","KB","Stark Shale","4294","","Geological Report","10/01/2021"
"1044643912","15-153-20961","-101.3019136","40.0005829","3142","KB","Foraker","3664","","Geological Report","10/01/2021"
"1044643912","15-153-20961","-101.3019136","40.0005829","3142","KB","Anhydrite","3068","3104","Geological Report","10/01/2021"
"1044643912","15-153-20961","-101.3019136","40.0005829","3142","KB","Neva","3554","","Geological Report","10/01/2021"
