KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044630867","15-153-20953","Walter","3-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," "," ","NE","NE","NE","-330","-330","NE","-101.299985","40.001769","Rawlins","10/07/2013","10/09/2013","11/01/2013","","OIL","Producing","4500","3229","KB","Lansing"
"1044914883","15-153-21066","Ladenburger 'A'","1-6","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","35","W","6"," "," ","S2","SW","SE","330","-1980","SE","-101.2879654","39.9886378","Rawlins","10/02/2014","10/30/2014","12/31/2014","","OIL","Producing","4542","3212","KB","Lansing-Kansas City"
"1044865043","15-153-21031","Schwerdt","2-2","Berexco, LLC","BEREXCO LLC","Scoda","1","S","36","W","2"," ","W2","NE","NW","NE","-330","-1900","NE","-101.3245676","40.0017219","Rawlins","07/02/2014","07/15/2014","10/07/2014","09/01/2022","OIL-P&A","Plugged and Abandoned","4380","3056","KB"," "
"1044598968","15-153-20944","Walter","2-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","E2","NE","NW","NE","-330","-1360","NE","-101.303661","40.001784","Rawlins","08/29/2013","09/02/2013","09/25/2013","","OIL","Producing","4432","3117","KB","Lansing"
"1044634065","15-153-20956","Walter Bros.","1-6","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","35","W","6"," ","SE","NW","NW","NW","-340","530","NW","-101.2969159","40.0017288","Rawlins","10/18/2013","10/24/2013","11/13/2013","","OIL","Producing","4550","3229","KB","Lansing-Kansas City"
"1044661385","15-153-20966","Mary Ann","5-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","NE","SE","NW","NW","-900","1075","NW","-101.313856","40.0002611","Rawlins","11/21/2013","11/27/2013","12/12/2013","","OIL","Inactive Well","4510","3177","KB","Lansing-Kansas City"
"1044584705","15-153-20933","Mary Ann","2-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","W2","NW","NE","NW","-330","1520","NW","-101.3122359","40.0018191","Rawlins","07/24/2013","07/30/2013","08/20/2013","","OIL","Producing","4420","3095","KB","Lansing"
"1044580309","15-153-20929","Mary Ann","1-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","E2","NW","NW","NW","-330","630","NW","-101.3154121","40.0018321","Rawlins","07/05/2013","07/16/2013","08/14/2013","","OIL","Producing","4475","3181","KB","Lansing"
"1044661384","15-153-20965","Mary Ann","4-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","NE","SW","NE","NW","-900","1855","NW","-101.3110723","40.0002497","Rawlins","11/21/2013","12/03/2013","12/17/2013","","OIL","Producing","4485","3161","KB","Lansing-Kansas City"
"1044631665","15-153-20404-0001","Walter 'A'","1-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","E2","W2","NW","SE","1980","-2080","SE","-101.3063165","39.9931964","Rawlins","10/09/2013","10/19/2013","11/08/2013","","OIL","Producing","5070","3237","KB","Lansing"
"1044643479","15-153-20960","Walter","4-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","NW","SE","NW","NE","-765","-1860","NE","-101.3054576","40.0005973","Rawlins","11/04/2013","11/06/2013","11/27/2013","","OIL","Producing","4440","3136","KB","Lansing-Kansas City"
"1044656072","15-153-20964","Mary Ann","6-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","NW","NE","SE","NW","-1470","2190","NW","-101.3099087","39.9986804","Rawlins","11/18/2013","11/20/2013","12/11/2013","","OIL","Producing","4520","3198","KB","Lansing-Kansas City"
"1044730919","15-153-20972","Downing 'B'","1-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","E2","W2","NE","SW","1980","1910","SW","-101.3110211","39.9932152","Rawlins","12/17/2013","01/02/2014","01/23/2014","","OIL","Inactive Well","4540","3222","KB","Lansing-Kansas City"
"1044854456","15-153-21027","Ladenburger","1-6","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","35","W","6"," "," ","SW","SW","NW","-2310","330","NW","-101.2976848","39.9963245","Rawlins","06/10/2014","06/18/2014","08/21/2014","","OIL","Inactive Well","4550","3210","KB","Lansing-Kansas City"
"1044753906","15-153-20976","Schwerdt","1-2","Berexco, LLC","BEREXCO LLC","Scoda","1","S","36","W","2"," ","NW","SE","NE","SE","1840","-380","SE","-101.3191183","39.9928305","Rawlins","01/06/2014","01/07/2014","03/11/2014","08/29/2022","OIL-P&A","Plugged and Abandoned","4620","3182","KB"," "
"1044666103","15-153-20967","Walter","6-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","E2","W2","W2","NE","-1320","-2270","NE","-101.3069364","39.9990799","Rawlins","11/26/2013","12/10/2013","12/30/2013","","OIL","Inactive Well","4480","3163","KB","Lansing-Kansas City"
"1044750213","15-153-20975","Mary Ann","8-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Unnamed - Rawlins","1","S","36","W","1"," ","SE","SW","NW","NW","3976","-4640","SE","-101.3153953","39.9987117","Rawlins","12/30/2013","01/29/2014","05/02/2014","","SWD","Authorized Injection Well","5075","3141","KB","Lansing-Kansas City"
"1044759482","15-153-20980","Mary Ann","7-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","NW","NW","SE","NW","-1470","1520","NW","-101.3122998","39.9986901","Rawlins","01/21/2014","01/24/2014","02/20/2014","","OIL","Producing","4521","3150","KB","Lansing-Kansas City"
"1044685912","15-153-20968","Walter","7-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," "," "," "," ","NE","-1320","-1320","NE","-101.3035459","39.9990661","Rawlins","12/03/2013","01/13/2014","01/29/2014","","OIL","Producing","4510","3191","KB","Lansing-Kansas City"
"1044759483","15-153-20981","Downing","1-6","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","35","W","6"," "," ","NE","NE","SW","2150","2140","SW","-101.2912537","39.9936336","Rawlins","01/21/2014","02/03/2014","04/25/2014","","OIL","Producing","4500","3169","KB","Lansing-Kansas City"
"1044874684","15-153-21039","Ladenburger 'B'","1-6","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","35","W","6"," "," ","NW","NW","NE","-330","-2310","NE","-101.2889431","40.0017228","Rawlins","07/16/2014","07/31/2014","08/08/2014","08/08/2014","D&A","Plugged and Abandoned","4535","3216","KB","Lansing-Kansas City"
"1045015808","15-153-21135","Schwerdt","3-2","BEREXCO LLC","BEREXCO LLC","Scoda","1","S","36","W","2"," ","SE","SE","NW","SE","1600","-1540","SE","-101.3233521","39.9922222","Rawlins","04/24/2015","05/15/2015","05/22/2015","05/22/2015","D&A","Plugged and Abandoned","4414","3102","KB"," "
"1045104928","15-153-21171","Walter 'A'","2-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","E2","NW","SW","SE","990","-2160","SE","-101.3066296","39.9904802","Rawlins","11/03/2015","11/05/2015","12/17/2015","","OIL","Producing","4585","3273","KB","Lansing-Kansas City"
"1044591481","15-153-20939","Mary Ann","3-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","W2","NE","NE","NW","-330","2190","NW","-101.3098448","40.0018093","Rawlins","08/06/2013","08/13/2013","09/03/2013","","OIL","Producing","4458","3133","KB","Lansing"
"1044643912","15-153-20961","Walter","5-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Wildcat","1","S","36","W","1"," ","NE","SW","NE","NE","-765","-867","NE","-101.3019136","40.0005829","Rawlins","11/05/2013","11/15/2013","12/04/2013","","OIL","Producing","4474","3142","KB","Lansing-Kansas City"
"1044594022","15-153-20941","Walter","1-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," ","W2","NW","NW","NE","-330","-2360","NE","-101.3072299","40.0017986","Rawlins","08/16/2013","08/22/2013","09/10/2013","","OIL","Producing","4520","3195","KB","Lansing"
"1044726366","15-153-20970","Walter","8-1","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Scoda","1","S","36","W","1"," "," ","E2","E2","NE","-1320","-330","NE","-101.3000126","39.9990516","Rawlins","12/13/2013","01/07/2014","01/28/2014","","OIL","Producing","4510","3201","KB","Lansing-Kansas City"
