"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1002947299","61321","2200","3800"
"1002947299","61322","3800","5100"
"1002947299","61323","5100","6350"
"1002947299","61318","5090","6350"
"1002947323","C1859","2500","3330"
"1002947323","C1860","3330","4550"
"1002947323","C1861","4550","6000"
"1002947323","C1853","6000","6300"
"1002947323","C1860","5990","6300"
"1002947457","B6580","2390","3000"
"1002947457","B6581","3000","4600"
"1002947457","C1817","4600","5800"
"1002947457","B6582","5800","6372"
"1002947488","F8314","2590","3520"
"1002947488","A3673","3520","3930"
"1002947488","A3674","3930","4380"
"1002947488","C1805","4380","5190"
"1002947488","C1803","5190","6070"
"1002947488","C1405","6070","6445"
"1002947546","B9343","2500","3500"
"1002947546","B9344","4400","5100"
"1002947546","67336","5500","6342"
"1002947667","B4622","2600","4100"
"1002947667","B4623","4100","6300"
"1005450943","B4282","3600","4300"
"1005450943","B4283","4300","6650"
"1006142783","B7176","2900","3750"
"1002947656","05902","2600","6600"
"1005827557","D4795","2600","6100"
"1005827557","D4796","6100","6600"
"1002947676","B4376","2500","5300"
"1002947676","B4377","5300","6410"
"1006142651","B6496","2900","4650"
"1006142651","B6497","4650","6473"
"1006142783","B7177","3750","5800"
"1006142783","B7178","5800","6555"
"1006142887","B7293","2900","4500"
"1006142887","B7294","4500","6000"
"1006142887","B7295","6000","6500"
"1006142905","F2884","2900","3550"
"1006142905","B7311","3550","5300"
"1006142905","B7312","5300","6602"
"1006143247","A4478","2800","5680"
"1006143247","A4479","5680","6330"
"1006143261","A4875","2610","4590"
"1006143261","A4874","4590","6400"
"1006143271","A5568","2600","3140"
"1006143271","A5569","3150","5200"
"1006143271","A5570","5210","6300"
"1006143277","A5528","2500","4000"
"1006143277","A5529","4000","5700"
"1006143277","A5579","5700","6370"
"1006143279","A5511","2600","3000"
"1006143279","A5512","3000","4900"
"1006143279","A5513","4900","5700"
"1006143297","A5986","2500","3100"
"1006143297","A5987","3100","4910"
"1006143297","A5988","4910","6357"
"1006143299","A5869","2500","2700"
"1006143299","A5870","2700","4610"
"1006143299","A5871","4610","6300"
"1006143307","G3573","2700","5200"
"1006143307","G3575","5200","6360"
"1006143313","03901","2500","4150"
"1006143313","05030","4150","5650"
"1006143313","07176","5650","6420"
