KID,LASFILE
"1001310988","1043686475.las"
"1001311077","1043689582.las"
"1001311173","1043689583.las"
"1002947656","1044882051.las"
"1002947656","1044882054.las"
"1006143205","1043689015.las"
"1006143313","1043688373.las"
"1006143383","1043686467.las"
"1006143397","1043686468.las"
"1006143489","1043686470.las"
"1006143509","1043686486.las"
"1006143621","1043686488.las"
"1006142909","1043689565.las"
"1006143365","1043689566.las"
"1006143399","1043689567.las"
"1006143531","1043689568.las"
"1006143557","1043689569.las"
"1006143247","1043685706.las"
"1006143615","1043689023.las"
"1006143261","1043689016.las"
"1006143335","1043689017.las"
"1006143393","1043689018.las"
"1006143441","1043689019.las"
"1006143453","1043689020.las"
"1006143589","1043689021.las"
"1006143277","1043453674.las"
"1006143503","1043453678.las"
"1006143277","1043453675.las"
"1006143279","1043453673.las"
"1006143333","1043453679.las"
"1006143279","1043453672.las"
"1006143333","1043453680.las"
"1006143351","1043686466.las"
"1006143483","1043686469.las"
"1006143503","1043688374.las"
"1006143387","1043686484.las"
"1006143599","1043686487.las"
"1006143503","1043453671.las"
"1006143585","1043689570.las"
"1006143625","1043686490.las"
"1006143629","1043688375.las"
"1006143631","1043688376.las"
"1006143641","1043688377.las"
"1006143671","1043688378.las"
"1006143673","1043689024.las"
"1006143687","1043688771.las"
"1006143731","1043689571.las"
"1006143763","1043689025.las"
"1006143783","1043453677.las"
"1006143783","1043453676.las"
"1006143783","1043686493.las"
"1006143795","1043689572.las"
"1006143823","1043685701.las"
"1006143827","1043688379.las"
"1006143829","1043686471.las"
"1006143833","1043688380.las"
"1006143835","1043688772.las"
"1006143837","1043689027.las"
"1006143841","1043688773.las"
"1006143875","1043688774.las"
"1006143879","1043685702.las"
"1006143881","1043688775.las"
"1006143894","1043688381.las"
"1006143894","1044882059.las"
"1006143896","1043688776.las"
"1006143898","1043686473.las"
"1006143908","1043689028.las"
"1006143918","1043688382.las"
"1006143920","1043688777.las"
"1006143922","1043689573.las"
"1006143926","1043688778.las"
"1006143928","1043689574.las"
"1006143936","1043686474.las"
"1006143946","1043689031.las"
"1006143970","1043689575.las"
"1006143972","1043688383.las"
"1006143986","1043689576.las"
"1006143994","1043689033.las"
"1006144054","1043689577.las"
"1006144126","1043688384.las"
"1006144170","1043685703.las"
"1006144271","1043689579.las"
"1006144295","1043689035.las"
"1006144299","1043686476.las"
"1006144303","1043689580.las"
"1006144347","1043689581.las"
"1006144911","1043685704.las"
"1006144913","1043688779.las"
"1006144955","1043688780.las"
"1006144979","1043689036.las"
"1006145108","1043688781.las"
"1006145544","1043453065.las"
"1006145544","1043453066.las"
"1006145544","1044881975.las"
"1006145544","1044882030.las"
"1006145560","1043689040.las"
"1006145582","1043686477.las"
"1006145600","1043686479.las"
"1026660540","1043685705.las"
"1026692473","1043689564.las"
"1043978217","1044642821.las"
"1006144273","1044913742.las"
"1006144273","1044913743.las"
"1006145544","1043453064.las"
"1006145588","1044253661.las"
"1006145588","1044913874.las"
"1006145588","1044913875.las"
