KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002947299","T33S R34W, Sec. 20,       NE SW","Panhandle Eastern Pipeline Company","Wynn-Crosby Operating, Ltd.","SHUCK 2-20","15-175-00001","2938 KB","Strip/Sample Logs","Kansas Sample Log Service","4000","6350","","Scanned","05/122/1955"
"1002947323","T33S R34W, Sec. 19,     S2 N2 NE","Panhandle Eastern Pipeline Co.","","GUTTRIDGE 2-19","15-175-00028","2940 KB","Strip/Sample Logs","Kansas Sample Log Service","2500","6300","","Scanned","08/239/1960"
"1006144979","T33S R34W, Sec. 15,       N2 NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","B & B ROYALTY 'A' 3","15-175-21316","2912 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","1640","6373","134","Scanned","06/157/1993"
"1006144911","T33S R34W, Sec. 10,   NE SE SE SE","Anadarko Petroleum Corp.","ELM III Operating Company LLC","HITCH UNIT 4-2","15-175-21280","2896 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","1618","6374","126","Scanned","10/300/1992"
"1006144913","T33S R34W, Sec. 3,   NW NW SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 'A' 1-11","15-175-21281","2872 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","1633","6328","128","Scanned","11/311/1992"
"1006145443","T33S R34W, Sec. 31,       NW NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","VAN AUKEN 'A' 1","15-175-21578","2962 KB","Atlas Wireline Services       ","Compensated Z-Densilog Comp Neutron Minilog Gamma Ray                ","1683","6518","153","Unscanned","11/323/1996"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","Micro Laterolog Gamma Ray                                            ","1660","6660","135","Unscanned","04/106/1994"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","SBT Gamma Ray                                                        ","4500","6601","","Scanned","04/106/1994"
"1006145479","T33S R34W, Sec. 20,       NW NW","Anadarko Petroleum Corp.","Wynn-Crosby Operating, Ltd.","SHUCK 'B' 2","15-175-21597","2930 GL","Atlas Wireline Services       ","SBT Gamma Ray                                                        ","4600","6291","","Scanned","03/74/1997"
"1006145600","T33S R34W, Sec. 27,       NW SE","Anadarko Petroleum Corp.","ELM III Operating Company LLC","SCHMITT 'A' 4","15-175-21665","2937 KB","Atlas Wireline Services       ","Acoustilog Compensated Neutron Gamma Ray                             ","1670","6568","137","Scanned","09/272/1997"
"1006144911","T33S R34W, Sec. 10,   NE SE SE SE","Anadarko Petroleum Corp.","ELM III Operating Company LLC","HITCH UNIT 4-2","15-175-21280","2896 KB","Atlas Wireline Services       ","Segmented Bond Log Gamma Ray CCL                                     ","5100","6318","126","Scanned","11/310/1992"
"1006144913","T33S R34W, Sec. 3,   NW NW SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 'A' 1-11","15-175-21281","2872 KB","Atlas Wireline Services       ","Segmented Bond Log Gamma Ray CCL                                     ","5050","6315","","Scanned","11/318/1992"
"1006145560","T33S R34W, Sec. 15,     W2 NW SW","Anadarko Petroleum Corp.","ELM III Operating Company LLC","KOCH 'A' 6","15-175-21641","2896 KB","Atlas Wireline Services       ","Segmented Bond Log Gamma Ray VDL CCL                                 ","4580","6299","","Scanned","07/204/1997"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","SBN Enhanced Deconvolution Dual Induction Focused Gamma Ray          ","1660","6660","135","Scanned","04/109/1994"
"1006144979","T33S R34W, Sec. 15,       N2 NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","B & B ROYALTY 'A' 3","15-175-21316","2912 KB","Atlas Wireline Services       ","Minilog Gamma Ray                                                    ","1640","6373","134","Scanned","06/157/1993"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","Minilog Gamma Ray                                                    ","1660","6660","135","Scanned","04/107/1994"
"1006144765","T33S R34W, Sec. 2,       SE NE","Anadarko Petroleum Corp.","Bear Petroleum, LLC","BLACK 'C' 2","15-175-21198","2889 KB","Atlas Wireline Services       ","Minilog Gamma Ray                                                    ","4000","6608","136","Scanned","09/262/1991"
"1006145429","T33S R34W, Sec. 33,       SE SW","Anadarko Petroleum Corp.","Pantera Energy Company","K. NIX 1","15-175-21571","2932 KB","Atlas Wireline Services       ","Minilog Gamma Ray                                                    ","4950","6548","138","Unscanned","10/295/1996"
"1006144765","T33S R34W, Sec. 2,       SE NE","Anadarko Petroleum Corp.","Bear Petroleum, LLC","BLACK 'C' 2","15-175-21198","2889 KB","Atlas Wireline Services       ","Prolog Field Analysis                                                ","4000","6500","","Scanned","09/262/1991"
"1006144913","T33S R34W, Sec. 3,   NW NW SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 'A' 1-11","15-175-21281","2872 KB","Atlas Wireline Services       ","Gamma Ray","1633","6328","128","Scanned","11/311/1992"
"1006144765","T33S R34W, Sec. 2,       SE NE","Anadarko Petroleum Corp.","Bear Petroleum, LLC","BLACK 'C' 2","15-175-21198","2889 KB","Atlas Wireline Services       ","Z-Densilog Compensated Neutron Gamma Ray Minilog                     ","4000","6608","136","Scanned","09/268/1991"
"1006144979","T33S R34W, Sec. 15,       N2 NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","B & B ROYALTY 'A' 3","15-175-21316","2912 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1640","6373","134","Scanned","06/157/1993"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1660","6660","135","Unscanned","04/106/1994"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1660","6660","135","Scanned","04/106/1994"
"1006144765","T33S R34W, Sec. 2,       SE NE","Anadarko Petroleum Corp.","Bear Petroleum, LLC","BLACK 'C' 2","15-175-21198","2889 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1656","6609","136","Scanned","09/262/1991"
"1006144913","T33S R34W, Sec. 3,   NW NW SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 'A' 1-11","15-175-21281","2872 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","1633","6328","128","Scanned","11/311/1992"
"1006144979","T33S R34W, Sec. 15,       N2 NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","B & B ROYALTY 'A' 3","15-175-21316","2912 KB","Atlas Wireline Services       ","Caliper Log Gamma Ray                                                ","1640","6373","134","Scanned","06/165/1993"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","Caliper Log Gamma Ray                                                ","1660","6660","135","Scanned","04/106/1994"
"1006144765","T33S R34W, Sec. 2,       SE NE","Anadarko Petroleum Corp.","Bear Petroleum, LLC","BLACK 'C' 2","15-175-21198","2889 KB","Atlas Wireline Services       ","Caliper Log Gamma Ray                                                ","1656","6609","136","Scanned","09/262/1991"
"1006145600","T33S R34W, Sec. 27,       NW SE","Anadarko Petroleum Corp.","ELM III Operating Company LLC","SCHMITT 'A' 4","15-175-21665","2937 KB","Atlas Wireline Services       ","Caliper Log Gamma Ray                                                ","1670","6497","137","Scanned","09/272/1997"
"1006145443","T33S R34W, Sec. 31,       NW NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","VAN AUKEN 'A' 1","15-175-21578","2962 KB","Atlas Wireline Services       ","Dual Phase Induction Log High Resolution Gamma Ray Log               ","1683","6518","153","Unscanned","11/323/1996"
"1006145443","T33S R34W, Sec. 31,       NW NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","VAN AUKEN 'A' 1","15-175-21578","2962 KB","Atlas Wireline Services       ","Digital Acoustilog Gamma Ray Log                                     ","1583","6518","153","Unscanned","11/323/1996"
"1006145429","T33S R34W, Sec. 33,       SE SW","Anadarko Petroleum Corp.","Pantera Energy Company","K. NIX 1","15-175-21571","2932 KB","Atlas Wireline Services       ","Z-Densilog Compensated Neutron Gamma Ray                             ","1670","6548","138","Unscanned","10/295/1996"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","Z-Densilog Compensated Neutron Spectralog                            ","1660","6660","135","Scanned","04/106/1994"
"1006144979","T33S R34W, Sec. 15,       N2 NE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","B & B ROYALTY 'A' 3","15-175-21316","2912 KB","Atlas Wireline Services       ","Segmented Bond Gamma Ray CCL                                         ","4200","5974","","Scanned","06/165/1993"
"1006145106","T33S R34W, Sec. 34,     SE SE SE","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","Malin 'A' 3","15-175-21388","2934 KB","Atlas Wireline Services       ","BHC Acoustilog Gamma Ray                                             ","1660","6660","135","Scanned","04/106/1994"
"1006145429","T33S R34W, Sec. 33,       SE SW","Anadarko Petroleum Corp.","Pantera Energy Company","K. NIX 1","15-175-21571","2932 KB","Atlas Wireline Services       ","BHC Acoustilog Gamma Ray                                             ","1670","6520","136","Unscanned","10/295/1996"
"1006145429","T33S R34W, Sec. 33,       SE SW","Anadarko Petroleum Corp.","Pantera Energy Company","K. NIX 1","15-175-21571","2932 KB","Atlas Wireline Services       ","High Resolution Dual Induction Focused Log Gamma Ray                 ","0","6548","136","Unscanned","10/295/1996"
"1006145600","T33S R34W, Sec. 27,       NW SE","Anadarko Petroleum Corp.","ELM III Operating Company LLC","SCHMITT 'A' 4","15-175-21665","2937 KB","Atlas Wireline Services       ","High Resolution Dual Induction Focused Log Gamma Ray                 ","1670","6497","137","Scanned","09/272/1997"
"1006145108","T33S R34W, Sec. 11,     SW SW NW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 3-3","15-175-21389","2882 KB","BPB Instruments               ","Borehole Compensated Sonic Integrated Transit Time Log               ","1610","6335","128","Scanned","04/94/1994"
"1006145108","T33S R34W, Sec. 11,     SW SW NW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 3-3","15-175-21389","2882 KB","BPB Instruments               ","Spectral Gamma Ray Log                                               ","5900","6338","128","Scanned","04/94/1994"
"1002947656","T33S R34W, Sec. 35,     SE SE SW"," ","ELM III Operating Company LLC","Cook 'A' 2","15-175-21767","2923 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","5050","6571","123","Scanned","11/326/1998"
"1006145108","T33S R34W, Sec. 11,     SW SW NW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 3-3","15-175-21389","2882 KB","BPB Instruments               ","Micro-Resistivity Log                                                ","1610","6369","128","Scanned","04/94/1994"
"1002947656","T33S R34W, Sec. 35,     SE SE SW"," ","ELM III Operating Company LLC","Cook 'A' 2","15-175-21767","2923 KB","BPB Instruments               ","Compensated Neutron Compensated Photo-Density Log                    ","1764","6559","123","Scanned","11/326/1998"
"1006145108","T33S R34W, Sec. 11,     SW SW NW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 3-3","15-175-21389","2882 KB","BPB Instruments               ","Compensated Neutron Compensated Photo-Density Log                    ","1610","6359","128","Scanned","04/94/1994"
"1002947656","T33S R34W, Sec. 35,     SE SE SW"," ","ELM III Operating Company LLC","Cook 'A' 2","15-175-21767","2923 KB","BPB Instruments               ","Long-Spaced Sonic Integrated Transit Time Log                        ","1764","6574","123","Scanned","11/326/1998"
"1002947656","T33S R34W, Sec. 35,     SE SE SW"," ","ELM III Operating Company LLC","Cook 'A' 2","15-175-21767","2923 KB","BPB Instruments               ","Array Induction Shallow Focused Electric Log                         ","50","6597","123","Scanned","11/326/1998"
"1006145108","T33S R34W, Sec. 11,     SW SW NW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","HITCH UNIT 3-3","15-175-21389","2882 KB","BPB Instruments               ","Array Induction Shallow Focused Electric Log                         ","0","6371","128","Scanned","04/94/1994"
"1002947656","T33S R34W, Sec. 35,     SE SE SW"," ","ELM III Operating Company LLC","Cook 'A' 2","15-175-21767","2923 KB","BPB Instruments               ","Micro Laterolog                                                      ","1764","6597","123","Scanned","11/326/1998"
"1002947546","T33S R34W, Sec. 17,         SW","PANHANDLE EASTERN PIPELINE","","MCMAINS 1-17","15-175-10202","2923 KB","Frontier Perforators, INC     ","Gamma Ray Neutron                                                    ","2800","6278","","Scanned","04/91/1959"
"1006143936","T33S R34W, Sec. 15,       S2 SE","ANADARKO PRODUCTION CO.","ELM III Operating Company LLC","HITCH UNIT was KOCH 'A' 5 9-5","15-175-20719","2902 KB","Gearhart                      ","Dual Induction Laterolog                                             ","1646","6352","134","Scanned","03/88/1984"
"1006143431","T33S R34W, Sec. 34,       SW SW","Anadarko Production Co.","Pantera Energy Company","CROW 'A' 1","15-175-20426","2921 GL","Gearhart                      ","Compensated Density Compensated Neutron Log                          ","2500","6349","126","Scanned","10/301/1979"
"1006143936","T33S R34W, Sec. 15,       S2 SE","ANADARKO PRODUCTION CO.","ELM III Operating Company LLC","HITCH UNIT was KOCH 'A' 5 9-5","15-175-20719","2902 KB","Gearhart                      ","Compensated Density Compensated Neutron Log                          ","4131","6350","134","Scanned","03/88/1984"
"1006144299","T33S R34W, Sec. 22,     SE NW SW","Anadarko Petroleum Corp.","Anadarko Petroleum Corporation","ETZOLD UNIT NORTH 3-6","15-175-20940","2908 KB","Gearhart                      ","Compensated Density Compensated Neutron Log                          ","4195","6420","135","Scanned","01/20/1987"
"1006143431","T33S R34W, Sec. 34,       SW SW","Anadarko Production Co.","Pantera Energy Company","CROW 'A' 1","15-175-20426","2921 GL","Gearhart                      ","Micro-Electrical Log                                                 ","5418","6349","126","Scanned","10/301/1979"
"1006143936","T33S R34W, Sec. 15,       S2 SE","ANADARKO PRODUCTION CO.","ELM III Operating Company LLC","HITCH UNIT was KOCH 'A' 5 9-5","15-175-20719","2902 KB","Gearhart                      ","Micro-Electrical Log                                                 ","4139","6351","134","Scanned","03/88/1984"
"1006143936","T33S R34W, Sec. 15,       S2 SE","ANADARKO PRODUCTION CO.","ELM III Operating Company LLC","HITCH UNIT was KOCH 'A' 5 9-5","15-175-20719","2902 KB","Gearhart                      ","Formation Tester with Repeat Pressure Test","1646","6352","134","Scanned","03/89/1984"
"1006143375","T33S R34W, Sec. 30, C     SE NE","ANADARKO PRODUCTION CO.","Anadarko Petroleum Corporation","GUTRIDGE 'E' 1","15-175-20398","2942 GL","Geologist's Report            ","Drilling Time and Sample Log                                         ","2510","6410","","Scanned","04/91/1979"
"1006143375","T33S R34W, Sec. 30, C     SE NE","ANADARKO PRODUCTION CO.","Anadarko Petroleum Corporation","GUTRIDGE 'E' 1","15-175-20398","2942 GL","Geologist's Report            ","Drilling Time and Sample Log                                         ","2510","6410","","Scanned","04/91/1979"
"1006143431","T33S R34W, Sec. 34,       SW SW","Anadarko Production Co.","Pantera Energy Company","CROW 'A' 1","15-175-20426","2921 GL","Geologist's Report            ","Drilling Time and Sample Log                                         ","4840","6352","","Scanned","10/300/1979"
"1006143541","T33S R34W, Sec. 30,     SE SE SE","Anadarko Production Co.","Anadarko Petroleum Corporation","HOWLAND 'B' 1","15-175-20483","2950 GL","Geologist's Report            ","Drilling Time and Sample Log                                         ","3850","6520","","Scanned","08/240/1980"
"1006143841","T33S R34W, Sec. 11,     NW NW SW","GULF EXPLORATION & PRODUCTION","Anadarko Petroleum Corporation","HITCH UNIT was ROBERT E. LEE 1-11 5-1","15-175-20659","2882 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2400","6380","","Scanned","12/360/1982"
"1006143879","T33S R34W, Sec. 11,       SE SW","Gulf Oil Exploration and Production Co.","Anadarko Petroleum Corporation","ROBERT E. LEE 2-11","15-175-20683","2873 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","4000","6400","","Scanned","04/104/1983"
"1006143881","T33S R34W, Sec. 11,     SW SW NW","Gulf Oil Corp.","Anadarko Petroleum Corporation","HITCH UNIT was ROBERT E. LEE 1-11 3-1","15-175-20684","2882 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","3400","6400","","Scanned","06/179/1983"
"1006143555","T33S R34W, Sec. 34,     E2 SE SW","ANADARKO PRODUCTION CO.","Anadarko Petroleum Corporation","CROW 'A' 2","15-175-20490","2924 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","3900","6465","","Scanned","10/305/1980"
"1006143643","T33S R34W, Sec. 34,       NE NE","Anadarko Production Co.","Bear Petroleum, LLC","MALIN 'A' 1","15-175-20539","2939 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","5000","6430","","Scanned","08/230/1981"
"1006145588","T33S R34W, Sec. 33,   SW SW NE SW","Anadarko Petroleum Corp.","Pantera Energy Company","G. FINCHAM 2","15-175-21657","2937 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2500","6600","","Scanned","09/257/1997"
