KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Middle Morrowan Limestone Bed","5690","","ELOG-BO","09/06/2000"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Mississippian System","5960","","ELOG-BO","09/06/2000"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Mississippian System","5952","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Middle Morrowan Limestone Bed","5679","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Council Grove Group","2966","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Chesteran Zone A Bed","6122","6307","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Chesteran Zone B Bed","6034","6122","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Chesteran Zone C Bed","5952","6034","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Chesteran Zone B Bed","6239","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Heebner Shale Member","4243","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Middle Morrowan Limestone Bed","5843","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Middle Morrowan Sandstone Bed","5933","5942","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Middle Morrowan Sandstone Bed","5934","5942","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Meramecian Stage","6307","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Upper Kearny Member","5679","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Ste. Genevieve Limestone Formation","6307","","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Winfield Limestone Formation","2718","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Altamont Limestone Formation","5105","5142","HUG ELOG-BO","07/01/2003"
"1001310988","15-175-20907","-101.0080749","37.1554812","2901","GL","Chesteran Zone B Bed","","6306","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Wabaunsee Group","3484","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Mound City Shale Member","5055","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Funston Formation","3005","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Speiser Shale Formation","2990","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Middleburg Limestone Member","3092","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Middle Morrowan Limestone Bed","5719","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Chesteran Zone B Bed","","6311","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Blue Rapids Shale Formation","3052","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Easly Creek Shale Formation","3086","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Eiss Limestone Member","3119","","HUG ELOG-BO","07/01/2003"
"1001311077","15-175-21001","-101.007504","37.1485495","2936","KB","Hooser Shale Member","3110","","HUG ELOG-BO","07/01/2003"
