KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1006159419","15-189-22149","MYRICK 'A'","2","Anadarko Petroleum Corp.","Pantera Energy Company","Shuck","33","S","35","W","25"," "," "," ","NW","NW","-660","660","NW","-101.0828035","37.1536739","Stevens","02/03/1997","03/25/1997","05/12/1997","","GAS","Inactive Well","6550","2988","KB","Mrw L"
"1006143946","15-175-20724","B & B ROYALTY 'A'","2","Anadarko Production Co.","Anadarko Production Company","Shuck","33","S","34","W","15"," "," ","E2","NE","NE","4620","-330","SE","-100.9958487","37.1827326","Seward","11/15/1983","11/22/1983","01/21/1984","","OIL","Recompleted","6335","2897","KB","Chst Sd"
"1006143625","15-175-20528","SPEAKMAN 'A'","1","ANADARKO PRODUCTION CO.","Pantera Energy Company","Shuck","33","S","34","W","2"," "," "," ","NW","NW","4684","-4609","SE","-100.992491","37.2117755","Seward","","03/24/1981","07/14/1981","","OIL","Producing","6315","2879","KB","Mississippian System"
"1002947299","15-175-00001","SHUCK","2-20","Panhandle Eastern Pipeline Company","Wynn-Crosby Operating, Ltd.","Shuck","33","S","34","W","20"," "," "," ","NE","SW","1980","1985","SW","-101.0421493","37.1607992","Seward","","03/16/1955","07/06/1955","","GAS","Producing","6350","2938","KB","Chase Group"
"1043695910","15-175-20707-0001","ETZOLD UNIT NORTH","1-5"," ","ELM III Operating Company LLC","Shuck","33","S","34","W","22"," "," ","NW","NW","SE","2310","-2307","SE","-101.0024916","37.1619533","Seward","","","","","EOR","Authorized Injection Well","6438","2895","GL"," "
"1030215554","15-175-20738-0001","COSGROVE 'A'","6"," ","Anadarko Petroleum Corporation","Shuck","33","S","34","W","22"," "," "," ","NW","NE","4620","-2161","SE","-101.002081","37.1682892","Seward","","","","","EOR","Injection Authorization Terminated","","2888","GL"," "
"1030215558","15-175-20966-0001","ETZOLD UNIT NORTH","2-5"," ","Glori Holdings, Inc.","Shuck","33","S","34","W","22"," "," ","E2","E2","NW","3964","-2730","SE","-101.00386","37.16648","Seward","","","","","EOR","Converted to Producing Well","6420","2890","GL"," "
"1006143541","15-175-20483","HOWLAND 'B'","1","Anadarko Production Co.","Anadarko Petroleum Corporation","Shuck","33","S","34","W","30"," "," ","SE","SE","SE","330","-330","SE","-101.0499648","37.1418073","Seward","","08/15/1980","08/28/1980","08/28/1980","D&A","Plugged and Abandoned","6520","2950","GL"," "
"1026090155","15-175-20683-0001","ROBERT E. LEE","2-11","CHEVRON USA","","Shuck","33","S","34","W","11","C"," "," ","SE","SW","660","1980","SW","-100.9879429","37.1863987","Seward","","12/15/1987","12/18/1987","","GAS"," ","6400","2873","KB"," "
"1006142651","15-175-10145","FINCHAM 'A'","2","Anadarko Production Co.","Pantera Energy Company","Shuck","33","S","34","W","29"," "," "," ","SW","NE","3330","-1978","SE","-101.0375252","37.1501026","Seward","","08/27/1963","10/08/1963","","GAS","Producing","6476","2925","GL","Mrw L"
