KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Kansas City","1748","1908","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Altamont","2039","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Pawnee","2070","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Fort Scott","2137","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Cherokee","2202","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Ardmore","2285","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Bartlesville","2384","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Bartlesville Sand","2397","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Burgess Sand","2554","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Mississippian","2560","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Mississippian Osage","2700","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Misener","2993","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Viola Dolomite","2997","","Geological Report","04/16/2023"
"1002917030","15-073-20989","-96.3060204","38.0219782","1490","KB","Viola Chert","2995","","Geological Report","04/16/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Cherokee","2064","","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Bonner Springs","1506","","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Kansas City","1620","1792","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Fort Scott","2004","","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Bartlesville Sand","2289","2366","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Mississippian","2414","","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Mississippian Osage","2538","","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Kinderhook","2756","","Geological Report","04/17/2023"
"1002917037","15-073-20996","-96.3731549","37.985332","1345","KB","Viola","2836","","Geological Report","04/17/2023"
"1002917164","15-073-21133","-96.3744858","37.9875272","1347","KB","Kansas City","1622","1892","Geological Report","04/17/2023"
"1002917164","15-073-21133","-96.3744858","37.9875272","1347","KB","Altamont","1912","","Geological Report","04/17/2023"
"1002917164","15-073-21133","-96.3744858","37.9875272","1347","KB","Pawnee","1926","","Geological Report","04/17/2023"
"1002917164","15-073-21133","-96.3744858","37.9875272","1347","KB","Fort Scott","2016","","Geological Report","04/17/2023"
"1002917164","15-073-21133","-96.3744858","37.9875272","1347","KB","Cherokee","2074","","Geological Report","04/17/2023"
"1002917164","15-073-21133","-96.3744858","37.9875272","1347","KB","Bartlesville Sand","2287","2327","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Bonner Springs","1508","","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Kansas City","1624","1740","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Altamont","1914","","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Pawnee","1948","","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Fort Scott","2014","","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Bartlesville Sand","2296","2332","Geological Report","04/17/2023"
"1002917174","15-073-21144","-96.3736998","37.9893123","1342","KB","Cherokee Shale","2070","","Geological Report","04/17/2023"
"1002917385","15-073-21398","-96.3592132","37.9953388","1390","GL","Lansing","1390","","Geological Report","04/17/2023"
"1002917385","15-073-21398","-96.3592132","37.9953388","1390","GL","Kansas City","1658","1814","Geological Report","04/17/2023"
"1002917385","15-073-21398","-96.3592132","37.9953388","1390","GL","Cherokee","2090","","Geological Report","04/17/2023"
"1002917385","15-073-21398","-96.3592132","37.9953388","1390","GL","Bartlesville Sandstone","2310","2340","Geological Report","04/17/2023"
"1002917552","15-073-21610","-96.3247951","38.017463","1433","GL","Bartlesville Sand","2285","2378","Geological Report","04/17/2023"
"1002917484","15-073-21511","-96.3433336","37.9983287","1370","KB","Marmaton","1942","","Geological Report","04/17/2023"
"1002917484","15-073-21511","-96.3433336","37.9983287","1370","KB","Cherokee","2098","","Geological Report","04/17/2023"
