KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1002918340","T23S R10E, Sec. 29,         S2","GLACIER PETROLEUM CO.","Jim Snyder, Inc.","THRALL UNIT 'B' 12","15-073-22759","1416 GL","Cornish                       ","Induction Electric Log                                               ","500","2402","","Scanned","05/123/1983"
"1002918343","T23S R10E, Sec. 29,   NE SE SW SE","Glacier Petroleum Co. Inc.","Jim Snyder, Inc.","THRALL UNIT 'B' 15","15-073-22762","1407 GL","Cornish                       ","Induction Electric Log                                               ","1000","2402","","Scanned","04/106/1983"
"1002918345","T23S R10E, Sec. 32,   SE NE NW NE","GLACIER PETROLEUM CO.","K.E. Snyder Co., LLC","THRALL 'B' 17","15-073-22764","1395 KB","Cornish                       ","Induction Electric Log                                               ","1200","2374","93","Scanned","06/173/1983"
"1002918348","T23S R10E, Sec. 28,   NW SW SW SW","GLACIER PETROLEUM CO.","Glacier Petroleum Co., Inc.","THRALL UNIT 'B' 20","15-073-22767","1421 GL","Cornish                       ","Induction Electric Log                                               ","1200","2386","","Scanned","06/177/1983"
"1002918350","T23S R10E, Sec. 28,     NE SW SW","GLACIER PETROLEUM CO.","Jim Snyder, Inc.","THRALL UNIT 'B' 22","15-073-22769","1428 GL","Cornish                       ","Induction Electric Log                                               ","1000","2400","","Scanned","05/140/1983"
"1002917484","T24S R10E, Sec. 6,         NE","SIMCO OIL","Phoenix Oil Corporation","TETER 2","15-073-21511","1370 KB","Cornish                       ","Radioactivity Log                                                    ","2050","2372","","Scanned","10/303/1979"
"1002917689","T24S R10E, Sec. 6,     W2 NW NW","SIMCO OIL","Phoenix Oil Corporation","TETER 3","15-073-21781","1363 GL","Cornish                       ","Radioactivity Log                                                    ","1230","2351","","Scanned","12/340/1980"
"1002917880","T24S R10E, Sec. 18,   NW NE NW NW","JACKSON BROS","Marshall Oil, LLC","DUSENBURY 5","15-073-22065","1328 KB","Cornish                       ","Radioactivity Log                                                    ","1542","2357","","Unscanned","05/126/1983"
"1002918024","T24S R10E, Sec. 19,     SW SW NE","SOULE RICHARD A","SX54, LLC","ERICKSON 1","15-073-22286","1271 KB","Cornish                       ","Radioactivity Log                                                    ","8","2206","","Unscanned","09/244/1982"
"1002918081","T23S R10E, Sec. 31,   NW SW SE SW","SNAP OIL CO.","Trimble & Maclaskey Oil LLC","MARTINDELL 'B' 3","15-073-22368","1374 KB","Cornish                       ","Radioactivity Log                                                    ","4","2390","","Scanned","12/349/1982"
"1002918131","T24S R9E, Sec. 11,   NE NW SE NE","BERENTZ DRILLING CO.","Marshall Oil, LLC","MARSHALL 1","15-073-22439","1321 KB","Cornish                       ","Radioactivity Log                                                    ","850","2343","","Scanned","11/312/1982"
"1002918222","T23S R10E, Sec. 32,     S2 N2 NW","GLACIER PETROLEUM CO.","Glacier Petroleum Co., Inc.","MCKEE, BESSIE  4","15-073-22571","1382 GL","Cornish                       ","Radioactivity Log                                                    ","3","2409","","Scanned","03/71/1983"
"1002918223","T24S R9E, Sec. 11,   SE NE NW SE","SOULE WILLIAM W","Olson-Anderson Lease","OLSON-ANDERSON 28","15-073-22572","1229 KB","Cornish                       ","Radioactivity Log                                                    ","8","2243","","Scanned","12/354/1982"
