KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1036122920","122467","North Lawrence","15","3","2","2339","2345.5","","2068-c"
"1036122920","122468","North Lawrence","15","3","2","2326.9","2333.1","","2068-c"
"1036122920","122469","North Lawrence","15","3","2","2320.3","2326.9","","2068-c"
"1036122920","122470","North Lawrence","15","3","2","2308","2314","","2068-c"
"1036122920","122471","North Lawrence","15","3","2","2333.1","2339","","2068-c"
"1036122920","122472","North Lawrence","15","3","2","2351.4","2356.5","","2068-c"
"1036122920","122473","North Lawrence","15","3","2","2345.5","2351.4","","2068-c"
"1036122920","122474","North Lawrence","15","3","2","2314.1","2320.3","","2068-c"
"1006820663","112793","North Lawrence","34","4","2","0","0","",""
"1006820663","112792","North Lawrence","34","4","2","0","0","",""
"1006820663","112794","North Lawrence","34","4","2","0","0","",""
"1006820663","112795","North Lawrence","34","4","2","0","0","",""
"1002919357","113813","North Lawrence","34","1","2","0","0","",""
"1002919357","113814","North Lawrence","34","1","2","0","0","",""
"1002919357","113815","North Lawrence","34","1","2","0","0","",""
"1002919357","113816","North Lawrence","34","1","2","0","0","",""
"1002919357","113818","North Lawrence","34","1","2","0","0","",""
