"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1002915626","C4688","1500","2247"
"1002915626","C4628","2247","2442"
"1002915641","C1944","1000","2247"
"1002915641","39394","2249","2294"
"1002915795","C5231","1450","2190"
"1002915819","B1550","1650","2495"
"1002915820","C5783","1000","1700"
"1002915820","J9654","1700","2120"
"1002915820","J9655","2120","2506"
"1002915858","24497","2100","2310"
"1002916293","63733","1600","2140"
"1002916294","F0230","1400","2102"
"1002916295","63789","1400","2125"
"1002916295","44655","1400","2139"
"1002916348","55555","1400","2083"
"1002916349","55539","1400","2135"
"1002916350","55642","600","2092"
"1002916351","55644","600","2170"
"1002916616","35546","1400","2103"
"1002916619","35583","1400","2110"
"1002916620","35566","1400","2093"
"1002916621","35735","1400","2196"
"1002916910","70984","1600","2488"
"1002917030","A0851","1700","3000"
"1002917037","A1024","1500","2850"
"1002917174","A2956","1500","2290"
"1002917252","A4815","1400","2735"
"1002917252","A4816","2735","2785"
"1002917406","J8120","2470","2532"
"1002917518","J7366","1500","2100"
"1002917518","J7367","2100","2289"
"1002917553","J9702","2050","2490"
"1002918009","B1982","2200","2420"
"1002918010","B1973","2200","2420"
"1002918334","B3418","1900","2385"
"1002918341","B3461","1250","2400"
"1002918351","B0177","2100","2416"
"1002918560","B4902","1500","2878"
"1002919270","63086","700","1200"
"1002919270","63087","1200","2275"
"1002919274","47473","1400","2091"
"1002919378","64584","1900","2290"
"1002919379","64635","1910","2260"
"1002919388","64416","1000","1400"
"1002919388","64417","1400","2340"
"1002919397","64296","1000","1500"
"1002919397","64297","1500","2345"
"1002919503","65106","100","2260"
"1002919539","53422","1500","2245"
"1002919606","63473","900","1400"
"1002919606","63474","1400","2090"
"1002919607","53937","1400","2080"
"1002919608","53914","900","2120"
"1002919618","41167","1000","2840"
"1042546859","E2820","2300","2380"
"1043458160","60507","700","2333"
"1050376842","27342","2250","3075"
"1050376842","25334","3075","3250"
