KID,LASFILE
"1002916311","1042094006.las"
"1002917030","1041875965.las"
"1002917030","1041875964.las"
"1002917037","1041468038.las"
"1002917148","1041513085.las"
"1002917385","1041468049.las"
"1002917552","1041513091.las"
"1002917553","1041513092.las"
"1002917689","1041513086.las"
"1002917696","1042094016.las"
"1002917807","1041468047.las"
"1002918004","1041513087.las"
"1002918005","1041513093.las"
"1002918006","1041771523.las"
"1002918010","1041468050.las"
"1002918081","1041468042.las"
"1002918106","1041468039.las"
"1002918219","1041468044.las"
"1002918220","1041875970.las"
"1002918221","1041513083.las"
"1002918222","1041875971.las"
"1002918238","1041513082.las"
"1002918334","1041468045.las"
"1002918335","1041513084.las"
"1002918340","1041875978.las"
"1002918340","1041875979.las"
"1002918340","1041875980.las"
"1002918341","1042094012.las"
"1002918342","1041468051.las"
"1002918343","1041875981.las"
"1002918343","1041875982.las"
"1002918343","1042094018.las"
"1002918344","1041771519.las"
"1002918345","1041875984.las"
"1002918345","1041513088.las"
"1002918345","1041875983.las"
"1002918346","1041513089.las"
"1002918347","1042094019.las"
"1002918348","1042094020.las"
"1002918348","1041875986.las"
"1002918348","1041875985.las"
"1002918349","1041513090.las"
"1002918350","1041875987.las"
"1002918350","1041875988.las"
"1002918351","1042094021.las"
"1002918817","1041513081.las"
"1002919089","1041771516.las"
"1002919090","1041771517.las"
"1037233005","1041875976.las"
"1037233005","1041875975.las"
"1037233005","1041875977.las"
"1042546859","1044235779.las"
