KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1043234069","T8S R19W, Sec. 33,   SE NE SE NE","Production Drilling, Inc.","Production Drilling, Inc.","Kay 1","15-163-23913","2002 KB","Perforators LLC","Radiation Guard","2900","3484","95","Scanned","01/08/2011"
"1043234069","T8S R19W, Sec. 33,   SE NE SE NE","Production Drilling, Inc.","Production Drilling, Inc.","Kay 1","15-163-23913","2002 KB","Perforators LLC","Dual Induction","1350","3486","95","Scanned","01/08/2011"
"1044195705","T8S R19W, Sec. 34,   E2 NW NW NW","Production Drilling, Inc.","Production Drilling, Inc.","Rome 6","15-163-24091","1980 KB","Perforators LLC","Compensated Density Neutron","2800","3429","106","Scanned","12/344/2012"
"1044195705","T8S R19W, Sec. 34,   E2 NW NW NW","Production Drilling, Inc.","Production Drilling, Inc.","Rome 6","15-163-24091","1980 KB","Perforators LLC","Compensated Density Neutron","2800","3429","106","Scanned","12/344/2012"
"1002942299","T8S R19W, Sec. 27,     NW SW SW","Peel-Hardman","","VEVERKA 11","15-163-01006","1999 KB","Alpha Wireline, Inc.          ","Correlation Log                                                      ","2900","3426","","Unscanned","10/294/1984"
"1031992297","T8S R19W, Sec. 27, C   NW SW SW","R.P. NIXON OPERATIONS","","VEVERKA 3","15-163-04285-0001","2001 KB","Alpha Wireline, Inc.          ","Correlation Log                                                      ","2900","3426","","Unscanned","10/294/1984"
"1033661909","T8S R19W, Sec. 28,     E2 NW SE","MONSANTO OIL CO","B-J Oil Co.","STICE 2","15-163-19158-0001","2024 KB","Digital Logging               ","Unknown                                                              ","1000","1450","","Unscanned","06/181/1979"
"1006126111","T8S R19W, Sec. 28,     SW NE NW","HIGH PLAINS OIL EXPL","","VEVERKA 1","15-163-21494","2056 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","0","3545","112","Unscanned","02/35/1982"
"1036442863","T9S R19W, Sec. 4,     N2 SW NW","PETROELUM, INC.","","ROSTICAL 'B' 2","15-163-19319","2035 KB","Electra Log Inc.              ","Radiation Log                                                        ","0","3490","103","Unscanned","08/242/1963"
"1051540306","T8S R19W, Sec. 27,   SW SW NW SE","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.","J.A. STICE 10","15-163-24409","1951 KB","Eli Wireline Services         ","Micro Log                                                            ","2800","3383","110","Scanned","03/67/2022"
"1033764449","T8S R19W, Sec. 33,     N2 SE NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Lowry 2","15-163-23502","2015 KB","Eli Wireline Services         ","Micro Log                                                            ","2800","3484","111","Scanned","01/05/2006"
"1033764449","T8S R19W, Sec. 33,     N2 SE NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Lowry 2","15-163-23502","2015 KB","Eli Wireline Services         ","Dual Receiver Cement Bond Log                                        ","1750","3434","","Scanned","01/18/2006"
"1051540306","T8S R19W, Sec. 27,   SW SW NW SE","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.","J.A. STICE 10","15-163-24409","1951 KB","Eli Wireline Services         ","Compensated Density Neutron Log                                      ","2800","3361","110","Scanned","03/68/2020"
"1033764449","T8S R19W, Sec. 33,     N2 SE NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Lowry 2","15-163-23502","2015 KB","Eli Wireline Services         ","Compensated Density/Neutron PE Log                                   ","2800","3462","111","Scanned","01/05/2006"
"1021019054","T8S R19W, Sec. 33,     NW SE SE","Zinszer Oil Co., Inc.","Production Drilling, Inc.","Amrein 1","15-163-23312","2005 KB","Eli Wireline Services         ","Radiation Guard Log                                                  ","2900","3435","104","Scanned","12/354/2000"
"1051540306","T8S R19W, Sec. 27,   SW SW NW SE","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.","J.A. STICE 10","15-163-24409","1951 KB","Eli Wireline Services         ","Dual Induction Log                                                   ","0","3383","110","Scanned","03/68/2020"
"1033764449","T8S R19W, Sec. 33,     N2 SE NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Lowry 2","15-163-23502","2015 KB","Eli Wireline Services         ","Dual Induction Log                                                   ","0","3484","111","Scanned","01/05/2006"
"1043342149","T8S R19W, Sec. 28,   E2 W2 NE SE","Tengasco, Inc.","Trans Pacific Oil Corporation","Veverka 'B' 4","15-163-23920","2006 KB","Geologist's Report            ","Mud Log                                                              ","2800","3524","","Scanned","02/52/2011"
"1043949947","T8S R19W, Sec. 34,   S2 NW NW SW","Tengasco, Inc.","Tengasco, Inc.","Amrein 1","15-163-23970","1967 KB","Geologist's Report            ","Mud Log                                                              ","3700","3490","","Scanned","08/240/2011"
"1043949947","T8S R19W, Sec. 34,   S2 NW NW SW","Tengasco, Inc.","Tengasco, Inc.","Amrein 1","15-163-23970","1967 KB","Geologist's Report            ","Mud Log                                                              ","3700","3490","","Scanned","08/240/2011"
"1044080379","T8S R19W, Sec. 33,     NW NE SW","Tengasco, Inc.","Tengasco, Inc.","Cerrow 4","15-163-24017","2017 KB","Geologist's Report            ","Mud Log                                                              ","2800","3484","","Scanned","04/106/2012"
"1037038364","T8S R19W, Sec. 28,     N2 SE SW","Tengasco, Inc.","Tengasco, Inc.","Veverka 1","15-163-23632","2041 KB","Geologist's Report            ","Geologic Report Log                                                  ","1460","3497","","Scanned","08/228/2007"
"1006129243","T8S R19W, Sec. 33,     E2 NW SE","Decab Co","Decab Company","Amrein 1","15-163-23201","1996 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3447","","Unscanned","05/128/1992"
"1006129298","T9S R19W, Sec. 4,     S2 NE NW","AFG Energy","AFG Energy, Inc.","Cerrow 'A' 8-4","15-163-23228","2012 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2700","3485","","Scanned","07/201/1993"
"1039084056","T8S R19W, Sec. 27,     NW NE NE","Black Diamond Oil, Inc.","Jaspar Co.","Green 'A' 3","15-163-23791","1938 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3520","","Scanned","03/90/2009"
"1039084063","T8S R19W, Sec. 27,   S2 E2 NE NE","Black Diamond Oil, Inc.","Jaspar Co.","Green 'A' 2","15-163-23790","1929 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2850","3525","","Scanned","01/12/2009"
"1043234069","T8S R19W, Sec. 33,   SE NE SE NE","Production Drilling, Inc.","Production Drilling, Inc.","Kay 1","15-163-23913","2002 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3486","","Scanned","01/08/2011"
"1043234376","T8S R19W, Sec. 21,     W2 E2 SE","Tengasco, Inc.","Trans Pacific Oil Corporation","Veverka 'D' 2","15-163-23914","2003 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3500","","Scanned","01/11/2011"
"1043234376","T8S R19W, Sec. 21,     W2 E2 SE","Tengasco, Inc.","Trans Pacific Oil Corporation","Veverka 'D' 2","15-163-23914","2003 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3500","","Scanned","01/11/2011"
"1043342148","T8S R19W, Sec. 28,   S2 NE SE NE","Tengasco, Inc.","Trans Pacific Oil Corporation","Veverka 'C' 3","15-163-23919","2012 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3525","","Scanned","02/45/2011"
"1043501336","T8S R19W, Sec. 28,   S2 SE NE NE","Tengasco, Inc.","Tengasco, Inc.","Veverka 'C' 4","15-163-23936","1997 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2700","3550","","Scanned","03/84/2011"
"1043924111","T8S R19W, Sec. 22,     SE SE SW","Black Diamond Oil, Inc.","Jaspar Co.","Green 'D' 2","15-163-23960","1960 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2850","3600","","Scanned","06/176/2011"
"1021019054","T8S R19W, Sec. 33,     NW SE SE","Zinszer Oil Co., Inc.","Production Drilling, Inc.","Amrein 1","15-163-23312","2005 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2900","3436","","Scanned","12/354/2000"
"1023967598","T9S R19W, Sec. 4,   E2 NW SW SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","McClellan Farms 1-4","15-163-23339","1983 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","1400","3490","","Scanned","12/350/2001"
"1026529822","T9S R19W, Sec. 9,     E2 NW NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Heroneme/Hogan 1-9","15-163-23341","2030 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","1450","3545","","Scanned","12/356/2001"
"1033764449","T8S R19W, Sec. 33,     N2 SE NW","Tengasco, Inc.","Trans Pacific Oil Corporation","Lowry 2","15-163-23502","2015 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3683","","Scanned","01/05/2006"
"1037335806","T8S R19W, Sec. 27,       W2 SW","Tengasco, Inc.","Trans Pacific Oil Corporation","Veverka 'A' 1","15-163-23652","1990 KB","Geologist's Report            ","Drilling Time and Sample Log                                         ","2800","3423","109","Scanned","10/291/2007"
