KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1043234370","223150","Lawrence","A","A","2","3710","3719","SLAB",""
"1043234370","223151","Lawrence","A","A","2","3719","3728","SLAB",""
"1043234370","403507","Lawrence","A","A","5","3767.7","3991.9","CUTTINGS","Cuttings at depths: 3767.70, 3777.50, 3789.15, 3795.30, 3804.90, 3832.15, 3837.10, 3856.10, 3861.20, 3867.90, 3870.60, 3876.90, 3884.60, 3893.90, 3896.20, 3902.80, 3912.90, 3915.90, 3922.40, 3925.90, 3930.10, 3937.45, 3940.20, 3945.80, 3954.90, 3967.80, 3969.90, 3979.30, 3988.20, 3991.90."
"1043234370","403508","Lawrence","A","A","5","4001.1","4195.1","SAMPLES","End trims at depths: 4001.10, 4009.15, 4013.00, 4026.70, 4029.90, 4035.90, 4052.30, 4065.20, 4066.90, 4072.90, 4077.20, 4083.63, 4094.10, 4097.30, 4111.60, 4119.10, 4121.10, 4123.50, 4135.85, 4152.40, 4157.20, 4159.70, 4160.50, 4174.55, 4176.10, 4178.90, 4184.75, 4187.20, 4193.30, 4195.10"
"1043234370","403509","Lawrence","A","A","5","4202.3","4465.75","SAMPLES","End trims at depths: 4202.30, 4207.10, 4212.60, 4213.80, 4221.90, 4225.70, 4230.30, 4235.90, 4243.00, 4247.00, 4252.50, 4262.60, 4280.40, 4299.10, 4308.10, 4342.50, 4365.80, 4379.10, 4388.80, 4394.60, 4399.85, 4406.35, 4410.90, 4431.60, 4441.00, 4443.80, 4446.00, 4451.90, 4460.80, 4465.75"
"1043234370","403510","Lawrence","A","A","5","4475.1","4794.1","SAMPLES","End trims at depths: 4475.10, 4496.10, 4504.00, 4507.85, 4514.30, 4519.00, 4523.10, 4534.70, 4543.40, 4550.90, 4557.10, 4570.10, 4598.30, 4609.90, 4626.90, 4632.90, 4640.60, 4645.90, 4649.10, 4683.40, 4728.60, 4732.40, 4743.90, 4748.25, 4755.95, 4772.30, 4778.30, 4759.65, 4790.10, 4794.10"
"1043234370","403511","Lawrence","A","A","5","4801.3","5176.9","SAMPLES","End trims at depths: 4801.30, 4815.60, 4903.80, 4906.35, 4906.35, 4913.35, 4916.60. 4923.70, 4925.70, 4929.10, 4937.05, 4949.40, 5078.10, 4985.75, 5085.80, 5104.90, 5108.10, 5127.00, 5117.00, 5142.65, 5142.65, 5170.90, 5176.90"
"1043234370","403506","Lawrence","A","A","5","3541.9","3762.6","CUTTINGS","Cuttings at depth: 3541.90, 3547.25, 3554.60, 3592.90, 3600.25, 3608.00, 3628.15, 3638.30, 3661.30, 3665.80, 3670.60, 3678.90, 3681.95, 3684.20, 3686.90, 3689.90, 3693.75, 3699.75, 3705.75, 3709.10, 3714.10, 3717.90, 3722.40, 3728.40, 3731.85, 3733.70, 3739.80, 3746.90, 3754.70, 3762.60."
"1006161071","105600","Lawrence","B","D","2","4104","4110","",""
"1006161071","105601","Lawrence","B","D","2","4086","4098","",""
