KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001327870","T31S R1W, Sec. 20,     SE SW SW","COOPERATIVE REFINING ASSOCIATION","","BEAM 1","15-191-71602","1266 KB","Strip/Sample Logs","Sample Log","3000","4072","","Scanned","11/305/1961"
"1001327915","T31S R1W, Sec. 28,     SW SW SW","SINCLAIR OIL & GAS CO","Kelso Casing Pulling, Inc.","KAMAS 1","15-191-10056","1258 DF","Strip/Sample Logs","Sample Log","141","3691","","Scanned","05/134/1930"
"1001327915","T31S R1W, Sec. 28,     SW SW SW","SINCLAIR OIL & GAS CO","Kelso Casing Pulling, Inc.","KAMAS 1","15-191-10056","1258 DF","Strip/Sample Logs","Sample Log","","1258","","Scanned","03/79/1930"
"1001327917","T31S R1W, Sec. 28,     SW NW SW","Sinclair Prairie Oil Co.","Pacific Enterprises Oil Co., USA","KAMAS 3","15-191-10044","1265 DF","Strip/Sample Logs","Sample Log","3400","3695","","Scanned","07/210/1935"
"1001327918","T31S R1W, Sec. 28,       S2 SW","Sinclair Prairie Oil Co.","","FRANK KAMAS 4","15-191-10051","1257 DF","Strip/Sample Logs","Sample Log","2995","3704","","Scanned","01/23/1936"
"1001327919","T31S R1W, Sec. 28,       N2 SW","Sinclair Prairie Oil Co.","","KAMAS 5","15-191-10052","1268 DF","Strip/Sample Logs","Sample Log","2885","3763","","Scanned","02/56/1936"
"1001327920","T31S R1W, Sec. 28,     SE SE SW","Sinclair Prairie Oil Co.","BEREXCO LLC","WELLINGTON UNIT, was KAMAS 6 32","15-191-10045","1246 DF","Strip/Sample Logs","Sample Log","3004","3676","","Scanned","03/65/1936"
"1001327921","T31S R1W, Sec. 28,     NE SE SW","Sinclair Prairie Oil Co.","BEREXCO LLC","WELLINGTON UNIT was Kamas 7 25","15-191-10054","1258 DF","Strip/Sample Logs","Sample Log","3020","3681","","Scanned","04/115/1936"
"1001327922","T31S R1W, Sec. 28,     SE NE SW","Sinclair Prairie Oil Co.","","KAMAS 8","15-191-10053","1267 DF","Strip/Sample Logs","Sample Log","3028","3686","","Scanned","04/120/1936"
"1001327923","T31S R1W, Sec. 28,     N2 S2 SW","Sinclair Prairie Oil Co.","BEREXCO LLC","WELLINGTON UNIT, was FRANK KAMAS 9 24","15-191-10055","1264 DF","Strip/Sample Logs","Sample Log","0","3707","","Scanned","01/16/1937"
"1001327923","T31S R1W, Sec. 28,     N2 S2 SW","Sinclair Prairie Oil Co.","BEREXCO LLC","WELLINGTON UNIT, was FRANK KAMAS 9 24","15-191-10055","1264 DF","Strip/Sample Logs","Sample Log","3040","3707","","Scanned","01/16/1937"
"1001327924","T31S R1W, Sec. 28,     NW NW SW","SINCLAIR PRAIRIE OIL CO.","","FRANK KAMAS 10","15-191-10048","1266 DF","Strip/Sample Logs","Sample Log","0","3694","","Scanned","02/33/1939"
"1001327925","T31S R1W, Sec. 28,     SW NW SE","THE OHIO OIL CO","","MARKLEY 1","15-191-10042","1257 DF","Strip/Sample Logs","Sample Log","3666","3689","","Scanned","08/228/1936"
"1001327925","T31S R1W, Sec. 28,     SW NW SE","THE OHIO OIL CO","","MARKLEY 1","15-191-10042","1257 DF","Strip/Sample Logs","Sample Log","0","3689","","Scanned","08/228/1936"
"1001327926","T31S R1W, Sec. 28,     SW SW SE","VICKERS PETROEUM CO.","","MARKLEY 1","15-191-10046","1257 DF","Strip/Sample Logs","Sample Log","3000","3683","","Scanned","01/28/1936"
"1001327927","T31S R1W, Sec. 28,     NW SW SE","VICKERS PETROLEUM","","MARKLEY 2","15-191-10047","1249 DF","Strip/Sample Logs","Sample Log","3000","3674","","Scanned","03/81/1936"
"1001327928","T31S R1W, Sec. 28,     SW SW NW","STELBAR OIL CORP INC","BEREXCO LLC","WELLINGTON UNIT was CURTIS 2 13","15-191-10049","1269 DF","Strip/Sample Logs","Sample Log","0","3698","","Scanned","03/77/1939"
"1001327929","T31S R1W, Sec. 29,     SE NE SE","E B SHAWVER","","W. I. GASKILL 1","15-191-10063","1274 DF","Strip/Sample Logs","Sample Log","0","3714","","Scanned","03/75/1935"
"1001327929","T31S R1W, Sec. 29,     SE NE SE","E B SHAWVER","","W. I. GASKILL 1","15-191-10063","1274 DF","Strip/Sample Logs","Sample Log","0","3714","","Scanned",""
"1001327929","T31S R1W, Sec. 29,     SE NE SE","E B SHAWVER","","W. I. GASKILL 1","15-191-10063","1274 DF","Strip/Sample Logs","Sample Log","0","3700","","Scanned","08/235/1930"
"1001327930","T31S R1W, Sec. 29,     SE SE SE","SHAWVER","","NEEL 1","15-191-10064","1264 DF","Strip/Sample Logs","Sample Log","0","3700","","Scanned","08/235/1930"
"1001327930","T31S R1W, Sec. 29,     SE SE SE","SHAWVER","","NEEL 1","15-191-10064","1264 DF","Strip/Sample Logs","Sample Log","0","3700","","Scanned","08/235/1930"
"1001327931","T31S R1W, Sec. 29,     NE SE SE","E B SHAWVER","","W. H. NEEL 2","15-191-10060","1268 DF","Strip/Sample Logs","Sample Log","3060","3706","","Scanned","06/165/1935"
"1001327931","T31S R1W, Sec. 29,     NE SE SE","E B SHAWVER","","W. H. NEEL 2","15-191-10060","1268 DF","Strip/Sample Logs","Sample Log","0","3706","","Scanned","06/165/1935"
"1001327932","T31S R1W, Sec. 29,     NE NE SE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was W. I. GASKILL 2 14","15-191-10061","1274 DF","Strip/Sample Logs","Sample Log","0","3704","","Scanned","12/347/1938"
"1001327941","T31S R1W, Sec. 29,     W2 SE NE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was LUDWIG 2 11","15-191-10074","1274 DF","Strip/Sample Logs","Sample Log","0","3702","","Scanned","08/230/1941"
"1001327942","T31S R1W, Sec. 29,     SE SE NE","STELBAR OIL CORP","","JOHN LUDWIG 1","15-191-10062","1276 DF","Strip/Sample Logs","Sample Log","0","3700","","Scanned","11/307/1938"
