KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1006162543","15-191-21610","Wellington Unit","147","Terra Resources","","Wellington","31","S","1","W","29"," "," ","SW","NW","NW","-990","330","NW","-97.4556839","37.3299277","Sumner","","11/13/1983","11/21/1983","11/21/1983","D&A","Plugged and Abandoned","3709","1255","KB"," "
"1001327874","15-191-10038","BEAM","1","STELBAR OIL CORP","","Wellington","31","S","1","W","20","C"," ","SE","SE","SW","330","-2970","SE","-97.4494215","37.3334065","Sumner","","06/22/1946","08/02/1946","03/23/1967","OIL-P&A","Plugged and Abandoned","3705","1283","DF"," "
"1001327932","15-191-10061","WELLINGTON UNIT, was W. I. GASKILL 2","14","STELBAR OIL CORP","BEREXCO LLC","Wellington","31","S","1","W","29"," "," ","NE","NE","SE","2310","-330","SE","-97.440403","37.3244208","Sumner","","11/16/1938","12/13/1938","","OIL","Producing","3704","1274","DF"," "
"1001327938","15-191-10070","Ludwig","5","Stelbar Oil Corp., Inc.","","Wellington","31","S","1","W","29"," "," ","W2","W2","NE","3960","-1980","SE","-97.4460432","37.3289869","Sumner","","11/24/1947","12/11/1947","","OIL","Recompleted","3694","1267","DF"," "
"1001327940","15-191-10073","LUDWIG","3","STELBAR OIL CORP","Manuel Corporation","Wellington","31","S","1","W","29"," "," ","S2","NE","NE","4290","-660","SE","-97.4414969","37.3298661","Sumner","","07/17/1944","08/05/1944","10/18/1994","OIL-P&A","Plugged and Abandoned","3710","1279","DF"," "
"1001327947","15-191-10067","WELLINGTON UNIT, was MILLER","17","LAURA JANE OIL CO","BEREXCO LLC","Wellington","31","S","1","W","29"," "," ","E2","NW","SE","1980","-1650","SE","-97.4449493","37.3235416","Sumner","","04/13/1950","04/27/1950","","OIL","Producing","3699","1268","KB"," "
"1002951455","15-191-00674","AMERICAN LEGION","1","RENFRO DRLG","","Wellington","31","S","1","W","35"," "," ","SE","SE","NE","2970","-330","SE","-97.3856067","37.3122592","Sumner","","04/25/1958","05/06/1958","05/06/1958","D&A","Plugged and Abandoned","3716","1267","KB"," "
"1036878287","15-191-00311-0001","Worden","1","SE-RO-BEE DRILLING CO. INC. / W. P. BRANCH & ASSOCIATES","","Wellington","32","S","1","W","10"," "," ","NW","SW","NW","3630","-4950","SE","-97.4199814","37.2843281","Sumner","","01/01/1958","05/12/1958","05/12/1958","D&A","Plugged and Abandoned","3735","1215","DF"," "
"1002951159","15-191-00395","WELLINGTON UNIT","136","SUNRAY DX OIL ETAL","","Wellington","31","S","1","W","33"," "," ","NW","NW","NW","-320","462","NW","-97.4377327","37.3171569","Sumner","","11/26/1956","12/12/1956","12/12/1956","OTHER-P&A","Plugged and Abandoned","2960","1261","KB"," "
"1002951263","15-191-00492","Etchison, M.","1","Texas Co.","","Wellington","32","S","1","W","8"," "," ","SW","SE","SW","330","-3630","SE","-97.4519496","37.2745149","Sumner","","06/12/1946","07/14/1946","07/16/1946","D&A","Plugged and Abandoned","4235","1258","DF"," "
"1024492573","15-191-10052-0001","Wellington Unit","15-INJ","BEREXCO LLC","BEREXCO LLC","Wellington","31","S","1","W","28"," "," ","NE","NW","SW","2342","-4096","SE","-97.43515","37.32412","Sumner","","","","","EOR","Inactive Well","3683","",""," "
