"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001291234","13924","2150","3335"
"1001291234","13925","3335","3565"
"1001291234","13923","1400","2150"
"1001291246","48214","2875","3437"
"1001291253","06008","2600","3250"
"1001291253","06009","3250","3418"
"1001291255","48206","3000","3410"
"1001291257","24676","3100","3458"
"1001291258","48223","3100","3432"
"1001291274","33180","2800","3381"
"1001291277","34836","0","600"
"1001291277","34837","600","3405"
"1001291279","06019","2900","3385"
"1001291279","06020","3385","3485"
"1001291287","09796","2800","3397"
"1001291289","C1429","1250","3190"
"1001291289","C1435","3190","3396"
"1001291290","06020","1380","3300"
"1001291290","06021","3300","3390"
"1001291295","44604","3100","3465"
"1001291295","29783","130","2440"
"1001291295","29371","2440","3465"
"1001291297","06021","3000","3450"
"1001291299","09590","2800","3410"
"1001291301","47297","3000","3478"
"1001291302","48247","3100","3485"
"1001291303","06021","3417","3417"
"1001291334","04799","3000","3426"
"1001291335","04071","3100","3461"
"1001291336","40382","1470","3250"
"1001291336","40383","3250","3439"
"1001291336","24950","3400","3439"
"1001291337","44792","2700","3434"
"1001291339","40207","2800","3415"
"1001291340","40031","2800","3422"
"1001291341","39949","2800","3420"
"1001291343","07240","2940","3447"
"1001291344","50067","3200","3467"
"1001291346","39964","2800","3424"
"1001291347","04382","3000","3418"
"1001291348","07806","2800","3509"
"1001291349","33772","3150","3800"
"1001291353","71372","3100","3398"
"1001291357","06879","3050","3285"
"1001291357","10064","3285","3440"
"1001291358","04069","3000","3382"
"1001291359","04153","2950","3406"
"1001292228","04164","3100","3486"
"1001292229","55322","3100","3456"
"1001292230","04148","3050","3413"
"1001292231","00683","3000","3429"
"1001292234","04070","3407","3410"
"1001292235","55296","2870","3425"
"1001292235","55297","3425","3583"
"1001292236","04154","3000","3444"
"1001292237","24627","3350","3467"
"1001292237","06114","3100","3469"
"1001292238","55297","2949","3428"
"1001292239","30090","3405","3512"
"1001292242","45312","3000","3423"
"1001292243","04069","3380","3402"
"1001292244","04069","3100","3440"
"1001292244","25038","3400","3432"
"1001292246","07250","2900","3450"
"1002941056","06006","130","1700"
"1002941056","06007","1700","3200"
"1002941056","06008","3200","3523"
"1002941057","05763","1300","3535"
"1002941084","31244","3145","3451"
"1002941084","48128","140","780"
"1002941084","48129","780","2970"
"1002941084","48130","2970","3451"
"1002941141","04070","3100","3390"
"1002941141","28297","3310","3456"
"1002941287","28238","3100","3493"
"1002941287","06022","1400","3493"
"1002941298","07879","2800","3550"
"1002941539","08899","2800","3275"
"1002941539","08917","3275","3480"
"1002941574","32172","3350","3548"
"1002942208","04769","3100","3432"
"1002942064","55311","2800","3447"
"1002942064","24937","3400","3447"
"1002942179","41100","3000","3408"
"1002942194","04373","3000","3390"
"1002942234","55322","2900","3450"
"1002942241","04071","2800","3425"
"1002942283","C1374","3100","3389"
"1002942298","04768","3000","3240"
"1005723370","07511","3000","3449"
"1005723386","01255","3400","3434"
"1005723419","54919","3155","3425"
"1005723419","28780","3350","3425"
"1006123805","55957","2900","3505"
"1006123909","56841","2900","3580"
"1006124023","67682","2900","3473"
"1006124179","70003","2900","3517"
"1006124243","71009","2900","3380"
"1006124243","71010","3380","3415"
"1006124333","A1193","2900","3485"
"1006124535","A3951","2800","3405"
"1006124667","A5301","1350","3398"
"1006124667","A5302","3395","3418"
"1006124972","J7927","3075","3441"
"1006125185","J8634","2900","3520"
"1006125430","F5488","2950","3484"
"1006125464","J9947","2900","3468"
"1006125553","F5191","2800","3442"
"1006125596","F9202","1400","3470"
"1006126057","55294","2800","3530"
"1006126057","55039","3531","3889"
"1006126314","A9039","2900","3495"
"1006126873","B2790","1360","3430"
"1006127720","37306","2950","3530"
"1006127872","38215","3672","3797"
"1006128832","C4748","2900","3456"
"1006129119","C9405","2800","3427"
"1006129123","C9129","2900","3490"
"1006129650","65165","2850","3379"
"1006129696","53526","2800","3507"
"1006792442","71238","2800","3466"
"1033439990","54592","3100","3382"
"1033439974","32214","1858","3490"
"1033439984","36050","3095","3405"
"1033661887","06003","1310","3475"
"1033661905","10523","2950","3300"
"1033661905","10448","3300","3468"
"1037039654","45211","1000","3090"
"1037039654","45212","3090","3481"
"1037039654","27110","3360","3790"
"1037335806","D7532","2900","3424"
"1038101631","D7629","2930","3428"
"1039084063","E0434","2900","3525"
"1043234069","E2619","2900","3480"
"1043234376","F6499","2900","3513"
"1043239092","E2612","3100","3500"
"1043239092","E2615","3500","3912"
"1043342148","F6494","2790","3525"
"1043342149","F6498","2790","3524"
"1043501336","F6502","2790","3535"
"1044026295","E3619","2900","3190"
"1044026295","E3623","3190","3493"
"1044063550","E4070","3090","3463"
"1044099705","E5776","2850","3300"
"1044099705","E5774","3300","3432"
"1044854175","E8706","2800","3550"
"1045093318","F2009","2900","3432"
"1036442849","51780","2800","3473"
"1036442863","51906","2395","3491"
"1036442892","58756","2800","3190"
"1037349083","D9602","2900","3417"
"1038456369","E0052","2800","3190"
"1038456369","E0055","3190","3848"
"1038462350","E0042","3320","3476"
"1038462350","E0041","2800","3320"
"1040727219","E0901","3050","3420"
"1040727219","E0891","2900","3050"
"1042375513","E1807","3100","3560"
"1042541710","E1833","2900","3475"
"1042760021","F6510","2810","3528"
"1043949947","F6519","2890","3490"
"1044044352","E3880","2950","3486"
"1044075105","E4147","2900","3530"
"1044080379","E4146","2900","3530"
"1052050792","G0687","3200","3500"
"1052050792","G0685","2880","3200"
