KID,LASFILE
"1038456369","1043804627.las"
"1038702514","1044095923.las"
"1038702525","1044095869.las"
"1038706945","1044096058.las"
"1039084056","1044095326.las"
"1039084063","1044095593.las"
"1040727219","1044094850.las"
"1040792861","1044094882.las"
"1041869743","1044165652.las"
"1042375513","1044165297.las"
"1042541710","1045146132.las"
"1042541710","1045146130.las"
"1043234069","1044222709.las"
"1043239092","1044230299.las"
"1044026295","1044781967.las"
"1044044352","1044819308.las"
"1044053440","1044798252.las"
"1044058007","1044798247.las"
"1044063550","1044818444.las"
"1044065205","1044818001.las"
"1044065205","1044817868.las"
"1044065205","1044819081.las"
"1044067009","1044817016.las"
"1044067010","1044817026.las"
"1044075105","1044817327.las"
"1044080379","1044817308.las"
"1044091557","1044817309.las"
"1044099705","1044831356.las"
"1044099705","1044831368.las"
"1044195705","1044937328.las"
"1044591482","1045018577.las"
"1044593686","1045063175.las"
"1044625648","1045052105.las"
"1044643480","1045055875.las"
"1044832433","1046075868.las"
"1044832433","1046075434.las"
"1044881822","1045662487.las"
"1045093318","1046113551.las"
"1052050792","1053428959.las"
"1052050792","1053429007.las"
