KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Arbuckle Group","3508","","ACO-1","04/15/1999"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Heebner Shale Member","3178","","ACO-1","04/15/1999"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Stone Corral Formation","1445","","ACO-1","04/15/1999"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Arbuckle Group","","3525","Drillers log","06/03/2005"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Stone Corral Formation","","1480","Drillers log","06/03/2005"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Topeka Limestone Formation","2976","","Drillers log","06/03/2005"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Toronto Limestone Member","3204","","Drillers log","06/03/2005"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Lansing Group","3217","","Drillers log","06/03/2005"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Kansas City Group","","3426","Drillers log","06/03/2005"
"1001291234","15-163-02537","-99.4470043","39.3568182","2015","KB","Pennsylvanian Conglomerate","3502","","Drillers log","06/03/2005"
"1001291253","15-163-01398","-99.4354246","39.3369683","1987","KB","Heebner Shale Member","3127","","ACO-1","04/15/1999"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Arbuckle Group","3432","","ACO-1","04/15/1999"
"1001291253","15-163-01398","-99.4354246","39.3369683","1987","KB","Arbuckle Group","3413","","ACO-1","04/15/1999"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Topeka Limestone Formation","2940","","ACO-1","04/15/1999"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Lansing Group","3178","","ACO-1","04/15/1999"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Stone Corral Formation","1400","","ACO-1","04/15/1999"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Heebner Shale Member","3144","","Drillers log","06/06/2005"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Dodge","3160","","Drillers log","06/06/2005"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Kansas City Group","","3366","Drillers log","06/06/2005"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Arbuckle Group","3436","","Drillers log","06/16/2005"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Dakota Sandstone Formation","","1360","Drillers log","06/06/2005"
"1001291246","15-163-03172","-99.4378317","39.3369616","2002","DF","Kansas City Group","","3233","Drillers log","06/06/2005"
"1001291253","15-163-01398","-99.4354246","39.3369683","1987","KB","Lansing Group","3172","","ACO-1","04/15/1999"
"1001291253","15-163-01398","-99.4354246","39.3369683","1987","KB","Stone Corral Formation","1405","","ACO-1","04/15/1999"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Arbuckle Group","3407","","ACO-1","04/15/1999"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Lansing Group","3163","","ACO-1","04/15/1999"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Heebner Shale Member","3118","","Drillers log","06/06/2005"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Dodge","3146","","Drillers log","06/06/2005"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Marmaton Group","3379","","Drillers log","06/06/2005"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Arbuckle Group","","3410","Drillers log","06/06/2005"
"1001291255","15-163-01399","-99.4354152","39.3387811","1976","DF","Stone Corral Formation","","830","Drillers log","06/06/2005"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Arbuckle Group","3449","","ACO-1","04/15/1999"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Heebner Shale Member","3158","","ACO-1","04/15/1999"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Lansing Group","3183","","ACO-1","04/15/1999"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Stone Corral Formation","1405","","ACO-1","04/15/1999"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Topeka Limestone Formation","2968","","ACO-1","04/15/1999"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Kansas City Group","3407","","ACO-1","04/15/1999"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Stone Corral Formation","","1455","Drillers log","06/06/2005"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Kansas City Group","","3407","Drillers log","06/06/2005"
"1001291257","15-163-01400","-99.4353774","39.3460319","2004","DF","Base Morrowan Member","","3430","Drillers log","06/06/2005"
"1001291258","15-163-01401","-99.4306995","39.3478521","1990","DF","Arbuckle Group","3428","","Drillers log","06/06/2005"
"1001291258","15-163-01401","-99.4306995","39.3478521","1990","DF","Topeka Limestone Formation","2950","","Drillers log","06/06/2005"
"1001291258","15-163-01401","-99.4306995","39.3478521","1990","DF","Heebner Shale Member","3138","","Drillers log","06/06/2005"
"1001291258","15-163-01401","-99.4306995","39.3478521","1990","DF","Brown Lime","3166","","Drillers log","06/06/2005"
"1001291274","15-163-03663","-99.431072","39.327899","1956","DF","Heebner Shale Member","3097","","ACO-1","04/15/1999"
