KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1044854175","15-163-24223","Amrein","3","Tengasco, Inc.","Tengasco, Inc.","Webster","8","S","19","W","34"," ","NE","SW","SE","SW","455","1975","SW","-99.4300287","39.3083999","Rooks","06/09/2014","07/08/2014","07/14/2014","07/14/2014","D&A","Plugged and Abandoned","3514","2005","KB","Arbuckle"
"1006124179","15-163-20513","VEVERKA","1","STERLING DRILLING CO & BEACON RESOURCES GROUP","","Webster","8","S","19","W","28"," "," ","SE","NE","NW","-1320","-2970","NE","-99.447261","39.3323909","Rooks","12/28/1973","02/09/1974","02/17/1974","02/17/1974","D&A","Plugged and Abandoned","3517","2047","KB"," "
"1044854174","15-163-24222","Stice","10","Empire Energy E&P, LLC","Empire Energy E&P, LLC","Webster","8","S","19","W","27"," ","SE","SE","NE","SW","1574","2635","SW","-99.4275836","39.3259171","Rooks","06/09/2014","","","","LOC","Cancelled API Number","","1957","GL","Arbuckle"
"1044856109","15-163-24228","Stice","9","Empire Energy E&P, LLC","Empire Energy E&P, LLC","Webster","8","S","19","W","27"," ","NE","SW","NW","SE","1622","-2021","SE","-99.4251853","39.3260451","Rooks","06/13/2014","06/26/2014","07/04/2014","07/04/2014","OIL-P&A","Plugged and Abandoned","3457","1942","KB","Arbuckle"
"1021019054","15-163-23312","Amrein","1","Zinszer Oil Co., Inc.","Production Drilling, Inc.","Webster","8","S","19","W","33"," "," ","NW","SE","SE","990","-990","SE","-99.4405088","39.3098947","Rooks","11/21/2000","12/12/2000","12/19/2000","","OIL","Producing","3436","2005","KB","Lansing-Kansas City"
"1023967598","15-163-23339","McClellan Farms","1-4","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","Webster","9","S","19","W","4"," ","E2","NW","SW","SE","1050","-2020","SE","-99.4442245","39.2955815","Rooks","11/20/2001","12/10/2001","12/16/2001","12/16/2001","D&A","Plugged and Abandoned","3490","1983","KB","Arbuckle, Lansing Kansas City"
"1001292239","15-163-03029","FRANK ROSTOCIL","1","SKELLY OIL CO","","Webster","9","S","19","W","4"," "," ","NE","NE","NW","4950","-2970","SE","-99.4475149","39.3062876","Rooks","","06/25/1948","07/30/1948","08/01/1961","OIL-P&A","Converted to SWD Well","3443","2011","DF"," "
"1044195705","15-163-24091","Rome","6","Production Drilling, Inc.","Production Drilling, Inc.","Webster","8","S","19","W","34"," ","E2","NW","NW","NW","-330","495","NW","-99.4352467","39.3206999","Rooks","11/20/2012","12/03/2012","12/09/2012","12/09/2012","D&A","Plugged and Abandoned","3450","1980","KB","Arbuckle"
"1042953552","15-163-23228-0001","Cerrow 'A'","8-4","Meridian Energy Inc.","Meridian Energy Inc.","Webster","9","S","19","W","4"," "," ","S2","NE","NW","4290","-3300","SE","-99.4486927","39.304473","Rooks","10/21/2010","11/09/2010","02/01/2011","","OIL","Producing","3462","2000","KB","Arbuckle"
"1044026295","15-163-23992","Veverka 'A'","3","Tengasco, Inc.","Trans Pacific Oil Corporation","Webster","8","S","19","W","27"," "," ","SE","SW","SW","330","990","SW","-99.4334755","39.3225098","Rooks","11/16/2011","12/18/2011","01/11/2012","","OIL","Producing","3494","1965","KB","Arbuckle"
"1038706945","15-163-23785","Veverka 'B'","2","Tengasco, Inc.","Trans Pacific Oil Corporation","Webster","8","S","19","W","28"," ","NW","SE","NE","SE","1650","-330","SE","-99.4380625","39.326139","Rooks","10/31/2008","11/05/2008","12/04/2008","","OIL","Producing","3436","2000","KB","Arbuckle"
"1033764449","15-163-23502","Lowry","2","Tengasco, Inc.","Trans Pacific Oil Corporation","Webster","8","S","19","W","33"," "," ","N2","SE","NW","-1650","1980","NW","-99.4484124","39.3171187","Rooks","11/30/2005","12/28/2005","01/26/2006","08/24/2022","OIL-P&A","Plugged and Abandoned","3483","2015","KB","Lansing, Arbuckle"
"1033439974","15-163-19140","DOUGHTY","1","SEELEY-BRUNEY & TWIN DRILLING CO.","","Webster","8","S","19","W","15"," "," ","SW","SW","SW","","","","-99.4353179","39.3514408","Rooks","","05/08/1934","08/22/1934","","D&A","Recompleted","3227","1991","DF"," "
"1043342148","15-163-23919","Veverka 'C'","3","Tengasco, Inc.","Trans Pacific Oil Corporation","Webster","8","S","19","W","28"," ","S2","NE","SE","NE","-1815","-330","NE","-99.4379536","39.3310698","Rooks","01/18/2011","02/07/2011","02/24/2011","","OIL","Producing","3530","2012","KB","Lansing"
