"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001327870","24107","1650","4072"
"1001327871","45899","3661","3705"
"1001327875","45900","1740","3325"
"1001327875","45901","3325","3707"
"1001327915","47491","3585","3691"
"1001327916","26440","250","2100"
"1001327916","27454","2100","3690"
"1001327917","05572","3600","3695"
"1001327918","05572","3608","3705"
"1001327919","05572","3600","3698"
"1001327920","05572","3400","3678"
"1001327922","01871","3600","3686"
"1001327923","05587","3000","3550"
"1001327923","05588","3550","3703"
"1001327924","B1018","3595","3694"
"1001327925","48345","3600","3689"
"1001327926","30828","3600","3683"
"1001327928","30103","3600","3698"
"1001327938","45857","2160","3667"
"1001327921","C5929","3000","3781"
"1001327936","45878","2500","3400"
"1001327936","45879","3400","3693"
"1001327937","45927","2700","3656"
"1001327933","45952","3656","3699"
"1001327938","45856","145","2160"
"1001327942","03222","3500","3666"
"1001327943","45898","2500","3550"
"1001327943","45899","3550","3687"
"1001327944","45950","3638","3674"
"1001327945","60773","3000","3759"
"1001327952","47467","0","1305"
"1001327952","47468","1305","2800"
"1001327952","47469","2800","3680"
"1001327952","24375","3000","3680"
"1001327952","28711","3550","3678"
"1001327953","45876","2500","3575"
"1001327953","45877","3575","3672"
"1001327960","08287","2930","3666"
"1001327961","04028","2950","3701"
"1001327963","45897","3654","3698"
"1001327968","45897","3657","3694"
"1001327969","03248","3000","3655"
"1001327970","46201","2600","3400"
"1001327970","46202","3400","3681"
"1001327972","45897","3663","3696"
"1001327975","03250","3010","3693"
"1001327976","03249","3040","3715"
"1001327989","46045","3669","3695"
"1001327994","46045","3628","3661"
"1001327998","46562","3674","3693"
"1001328000","46045","3642","3684"
"1001328000","46635","3684","3689"
"1001328008","02456","3638","3672"
"1001328010","A7352","3638","3680"
"1001328012","31457","3647","3668"
"1001328016","38676","3628","3670"
"1001328407","46051","2570","3470"
"1001328407","46052","3470","3698"
"1001328409","45771","2600","3739"
"1001328411","45847","155","1880"
"1001328411","45848","1880","3280"
"1001328411","45849","3280","3667"
"1001328412","05602","3000","3676"
"1001328417","48516","3225","3275"
"1001328421","45929","2950","3690"
"1001328422","46047","2550","3200"
"1001328422","46048","3200","3600"
"1001328423","45953","3647","3695"
"1001328424","45894","2700","3714"
"1001328432","28537","2900","3692"
"1001328439","44317","360","2640"
"1001328439","44318","2640","3670"
"1001328439","03244","3669","3710"
"1001328440","01462","3642","3682"
"1001328453","46066","2960","3644"
"1001328437","45949","3645","3691"
"1001328442","45894","3643","3646"
"1001328451","45251","3550","3678"
"1001328454","45225","2600","3657"
"1001328455","45221","3013","3671"
"1001328459","46067","2900","3647"
"1001328461","45933","2650","3700"
"1001328463","45850","135","1940"
"1001328463","45851","1940","3400"
"1001328463","45852","3400","3700"
"1001328465","45941","2500","3425"
"1001328465","45942","3425","3695"
"1001328471","02482","380","2300"
"1001328471","02483","2300","3750"
"1001328476","46065","2900","3630"
"1001328466","46072","3630","3665"
"1001328470","46036","2900","3649"
"1001328475","08441","2800","3645"
"1002950769","22355","2900","4193"
"1002950880","23902","3650","4086"
"1002950941","43309","1900","3400"
"1002950941","43310","3400","3650"
"1002951009","11716","2700","3200"
"1002951009","11717","3200","3795"
"1002951142","04702","2750","3500"
"1002951142","04703","3500","3659"
"1002951159","46631","2100","3500"
"1002951159","46632","3500","3698"
"1002951263","42035","10","2200"
"1002951263","42036","2200","3500"
"1002951263","42037","3500","4235"
"1002951455","17352","2550","3050"
"1002951455","17354","3050","3717"
"1002951591","62027","2700","4106"
"1002951603","01005","3560","4191"
"1002951710","42250","2975","3756"
"1002951727","25358","3600","4087"
"1002951740","45908","3650","3689"
"1002953273","64838","270","2500"
"1002953273","64839","2500","3670"
"1002953273","64840","3670","4062"
"1002953292","53552","500","2500"
"1002953292","53553","2500","3706"
"1002953292","01434","3635","3706"
"1006160923","A4780","1600","3570"
"1006161071","J7984","1700","3900"
"1006161071","J7985","3900","4285"
"1006161115","J6059","1700","2470"
"1006161115","J6060","2470","4220"
"1006161777","F5441","1200","3490"
"1006161777","F5438","3490","3780"
"1006161779","F5578","1000","1760"
"1006161779","F5577","3310","3810"
"1006161779","F5575","1760","3310"
"1006161891","F9287","1160","3340"
"1006161891","F9272","3340","3760"
"1006161893","F9356","1160","3400"
"1006162049","F2553","360","1560"
"1006162049","B2450","1560","4160"
"1006162417","A7303","1510","4000"
"1006162489","A9546","1200","3720"
"1006162489","A9547","3720","4076"
"1006162543","B5183","890","2300"
"1006162543","B5184","2300","3705"
"1006162545","B4576","1500","2290"
"1006162545","B4577","2290","3760"
"1006163181","C1827","2900","4040"
"1006163181","C1828","4040","4240"
"1031640168","D6611","1600","2400"
"1031640168","D6612","2400","4200"
"1037341020","62123","3000","3706"
"1037929226","00554","3620","3708"
"1039255090","46062","2550","3678"
"1044998939","E9646","3100","3860"
"1002950941","24603","3650","3427"
"1002951455","25029","3550","3714"
"1002951710","45953","2975","3746"
"1006160923","A4494","3570","3670"
"1006161115","C3459","4220","4520"
"1006161893","F9358","3400","3730"
"1006162441","F2583","1510","3600"
"1006162441","F2588","3600","4166"
"1042661966","E2016","2600","3770"
"1043234355","E2756","1550","2700"
"1043234370","E2644","2500","3450"
"1043234370","E2645","3450","4370"
"1043234370","E2646","4370","4960"
"1043234355","E2755","650","1550"
"1043234355","E2758","4070","5250"
"1043234370","E2647","4960","5240"
"1043234355","E2757","2700","4070"
"1043234370","E2642","613","1550"
"1043234370","E2643","1550","2500"
"1044998939","E9643","140","1100"
"1044998939","E9644","1100","2200"
"1044998939","E9645","2200","3100"
