KID,LASFILE
"1001327870","1042328916.las"
"1001327870","1042328915.las"
"1001327870","1042906733.las"
"1001327875","1042328917.las"
"1001327930","1042553211.las"
"1001327937","1042553208.las"
"1001327938","1042328927.las"
"1001327943","1042328928.las"
"1001327945","1042328939.las"
"1001327953","1042328921.las"
"1001327961","1042553212.las"
"1001327974","1042328937.las"
"1001327975","1042328932.las"
"1001327997","1042906791.las"
"1001328001","1042328920.las"
"1001328407","1042553205.las"
"1001328417","1042553203.las"
"1001328424","1042553222.las"
"1001327875","1042906641.las"
"1001328422","1042553249.las"
"1001327875","1044243166.las"
"1001327936","1044243168.las"
"1001327938","1044243169.las"
"1001327953","1044243171.las"
"1001327936","1042328924.las"
"1001327945","1044243178.las"
"1001328001","1044243173.las"
"1001327954","1042202821.las"
"1001327955","1042202822.las"
"1001328015","1042553214.las"
"1001328411","1042553221.las"
"1001328418","1042553216.las"
"1001328421","1042553219.las"
"1001328406","1042553220.las"
"1001328430","1042553218.las"
"1001328442","1044243175.las"
"1001328463","1044243176.las"
"1001328465","1042553206.las"
"1002951248","1042328933.las"
"1002951475","1042549129.las"
"1002951710","1042906638.las"
"1002951710","1042328926.las"
"1002953097","1042328938.las"
"1002953097","1044243177.las"
"1002953273","1042328922.las"
"1006160923","1042328925.las"
"1006161071","1042592261.las"
"1006161071","1044243181.las"
"1006161071","1044243182.las"
"1006161447","1042553234.las"
"1006161447","1044243183.las"
"1006161893","1042328929.las"
"1006161893","1042328930.las"
"1006162417","1044243187.las"
"1001328425","1042553217.las"
"1001328440","1042553224.las"
"1006162417","1042548401.las"
"1001328442","1042915141.las"
"1001328442","1042553225.las"
"1001328454","1042553227.las"
"1001328463","1042553228.las"
"1006161777","1042549682.las"
"1006161779","1042549683.las"
"1006161779","1042553236.las"
"1001328445","1042328943.las"
"1002950941","1042844523.las"
"1002951248","1042844530.las"
"1002953273","1042547302.las"
"1002953273","1044132809.las"
"1002953273","1044243198.las"
"1002953273","1044243204.las"
"1006161779","1044243184.las"
"1006161891","1044243185.las"
"1006162417","1044243186.las"
"1006161071","1042547301.las"
"1006161071","1042553232.las"
"1006161115","1042553233.las"
"1006161777","1042553235.las"
"1006161891","1042553237.las"
"1006162417","1042553238.las"
"1006161447","1042591269.las"
"1006162441","1042553239.las"
"1006162441","1044243188.las"
"1006162441","1044243189.las"
"1006162489","1044243190.las"
"1006162489","1044243191.las"
"1006162539","1044243192.las"
"1006162543","1044243193.las"
"1006162545","1042553243.las"
"1006162489","1042553240.las"
"1006162539","1042553241.las"
"1006162543","1042553242.las"
"1006162545","1044243194.las"
"1006163051","1042553244.las"
"1006163051","1044243162.las"
"1006163135","1042553245.las"
"1006163135","1044243195.las"
"1006163135","1044243196.las"
"1006163135","1044243197.las"
"1006297813","1042591270.las"
"1006297813","1042548400.las"
"1006297813","1042553230.las"
"1006817496","1042553251.las"
"1006817497","1042553250.las"
"1006817497","1044243203.las"
"1024492567","1042328940.las"
"1024492571","1042553194.las"
"1024492571","1042328941.las"
"1024492571","1044243167.las"
"1024492597","1042328936.las"
"1024492597","1042202827.las"
"1024492597","1044243170.las"
"1024492599","1042328945.las"
"1024492605","1042328935.las"
"1024492605","1042202826.las"
"1024492605","1044243172.las"
"1024492607","1042202824.las"
"1024492609","1042202825.las"
"1024492611","1042553213.las"
"1024492613","1042553196.las"
"1024492613","1042202828.las"
"1024492615","1042328942.las"
"1024492621","1042553215.las"
"1024492621","1044243174.las"
"1024492631","1042553197.las"
"1024492631","1042202820.las"
"1024492633","1042553198.las"
"1024492633","1042202829.las"
"1024492645","1042553226.las"
"1024492653","1044132807.las"
"1024492653","1044243160.las"
"1024492653","1044243161.las"
"1024492653","1044243179.las"
"1024492653","1044243180.las"
"1030279956","1044132808.las"
"1030279956","1044243200.las"
"1030279956","1044243201.las"
"1030279956","1044243202.las"
"1031331712","1042553200.las"
"1031640168","1042553247.las"
"1037341020","1042553231.las"
"1037929324","1042591267.las"
"1037929324","1042591268.las"
"1037929324","1044243165.las"
"1037929324","1044243199.las"
"1039255090","1042202819.las"
"1039255090","1042553229.las"
"1039255422","1042915348.las"
"1039255422","1044132806.las"
"1042375505","1042553207.las"
"1042661966","1044243163.las"
"1042661966","1044243164.las"
"1044088930","1042328934.las"
"1044998939","1046114302.las"
"1006163181","1044077583.las"
"1006163335","1042553246.las"
"1037929324","1042661280.las"
"1024492607","1042553195.las"
"1039255422","1042553199.las"
"1043234355","1044038216.las"
"1043234370","1044038215.las"
"1043234355","1044564845.las"
"1043234355","1044638993.las"
"1043234355","1044638992.las"
"1043234355","1044638995.las"
"1043234355","1044638996.las"
"1043234355","1044638979.las"
"1043234370","1044564846.las"
"1043234370","1044639682.las"
"1044998939","1045006615.las"
"1044998939","1045000217.las"
"1044998939","1045000218.las"
"1044998939","1046114328.las"
"1044998939","1046114330.las"
"1044998939","1046114331.las"
"1044998939","1046114346.las"
