KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001327870","15-191-71602","-97.4539617","37.3335131","1266","KB","Fort Scott Limestone Formation","3452","","","04/15/1999"
"1001327870","15-191-71602","-97.4539617","37.3335131","1266","KB","Mississippian System","3652","","","04/15/1999"
"1001327870","15-191-71602","-97.4539617","37.3335131","1266","KB","Simpson Group","4061","","","04/15/1999"
"1001327870","15-191-71602","-97.4539617","37.3335131","1266","KB","Kansas City Group","3273","","","04/15/1999"
"1001327871","15-191-10035","-97.4471514","37.3333531","1277","DF","Lansing Group","3036","","","04/15/1999"
"1001327871","15-191-10035","-97.4471514","37.3333531","1277","DF","Mississippian System","3662","","","04/15/1999"
"1001327872","15-191-10037","-97.4426113","37.3332464","1279","DF","Lansing Group","3045","","","04/15/1999"
"1001327872","15-191-10037","-97.4426113","37.3332464","1279","DF","Mississippian System","3686","","","04/15/1999"
"1001327874","15-191-10038","-97.4494215","37.3334065","1283","DF","Kansas City Group","3048","","","04/15/1999"
"1001327874","15-191-10038","-97.4494215","37.3334065","1283","DF","Mississippian System","3664","","","04/15/1999"
"1001327875","15-191-10036","-97.4505509","37.3352459","1282","DF","Mississippian System","3669","","","04/15/1999"
"1001327875","15-191-10036","-97.4505509","37.3352459","1282","DF","Lansing Group","3050","","","04/15/1999"
"1001327919","15-191-10052","-97.4346848","37.3243175","1268","DF","Mississippian System","3661","","","04/15/1999"
"1001327920","15-191-10045","-97.4312801","37.3188077","1246","DF","Lansing Group","3004","","","04/15/1999"
"1001327915","15-191-10056","-97.4380895","37.3189498","1258","DF","Mississippian System","3661","","","04/15/1999"
"1001327916","15-191-10043","-97.4380895","37.3207628","1259","DF","Kansas City Group","3030","","","04/15/1999"
"1001327916","15-191-10043","-97.4380895","37.3207628","1259","DF","Mississippian System","3650","","","04/15/1999"
"1001327917","15-191-10044","-97.4380895","37.3225757","1265","DF","Lansing Group","3038","","","04/15/1999"
"1001327918","15-191-10051","-97.4346848","37.3188788","1257","DF","Kansas City Group","3025","","","04/15/1999"
"1001327919","15-191-10052","-97.4346848","37.3243175","1268","DF","Lansing Group","3038","","","04/15/1999"
"1001327915","15-191-10056","-97.4380895","37.3189498","1258","DF","Lansing Group","3044","","","04/15/1999"
"1001327917","15-191-10044","-97.4380895","37.3225757","1265","DF","Mississippian System","3660","","","04/15/1999"
"1001327918","15-191-10051","-97.4346848","37.3188788","1257","DF","Mississippian System","3644","","","04/15/1999"
"1001327920","15-191-10045","-97.4312801","37.3188077","1246","DF","Mississippian System","3625","","","04/15/1999"
"1001327921","15-191-10054","-97.4312801","37.3206206","1258","DF","Kansas City Group","3027","","","04/15/1999"
"1001327921","15-191-10054","-97.4312801","37.3206206","1258","DF","Mississippian System","3647","","","04/15/1999"
"1001327922","15-191-10053","-97.4312801","37.3224335","1267","DF","Kansas City Group","3028","","","04/15/1999"
"1001327922","15-191-10053","-97.4312801","37.3224335","1267","DF","Mississippian System","3648","","","04/15/1999"
"1001327923","15-191-10055","-97.4346848","37.3206917","1264","DF","Mississippian System","3670","","","04/15/1999"
"1001327924","15-191-10048","-97.4380895","37.3243886","1266","DF","Kansas City Group","3045","","","04/15/1999"
"1001327924","15-191-10048","-97.4380895","37.3243886","1266","DF","Mississippian System","3656","","","04/15/1999"
"1001327925","15-191-10042","-97.4290103","37.3223861","1257","DF","Mississippian System","3666","","","04/15/1999"
"1001327926","15-191-10046","-97.4290103","37.3187603","1257","DF","Mississippian System","3646","","","04/15/1999"
