KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001276718","15-155-02041","PAINE","1","SIMPSON OIL CO","","Zenith-Peace Creek","24","S","10","W","5"," "," ","SW","NW","NE","4290","-2310","SE","-98.4433991","37.9960546","Reno","","10/04/1941","11/19/1941","12/07/1941","D&A","Plugged and Abandoned","3850","1790","DF"," "
"1001276725","15-155-02068","MCNICKLE","2","VIERSEN & COCHRAN","","Zenith-Peace Creek","24","S","10","W","5"," "," ","NW","SW","SW","990","-4950","SE","-98.4525713","37.986921","Reno","","10/18/1944","01/17/1945","01/17/1945","D&A","Plugged and Abandoned","3785","1794","DF"," "
"1001276748","15-155-02434","SAUER","1","Messman-Rinehart Oil Co.","","Zenith-Peace Creek","24","S","10","W","7"," "," ","NE","NW","SE","2310","-1650","SE","-98.459561","37.9760583","Reno","","12/18/1962","05/09/1963","02/01/1964","GAS-P&A","Plugged and Abandoned","3884","1782","KB"," "
"1001276749","15-155-03101","PORTER B","1","MAQUIRE INDUSTRIES","","Zenith-Peace Creek","24","S","10","W","7"," "," ","SW","NW","SE","1650","-2310","SE","-98.4618531","37.9742394","Reno","","05/25/1944","","11/01/1954","O&G-P&A","Plugged and Abandoned","3703","1776","DF"," "
"1031708431","15-185-21979-0001","McComb, Glenn","2","Case Oil and Gas","Case Oil & Gas","Zenith-Peace Creek","24","S","11","W","24"," "," ","SE","SW","NW","2970","-4290","SE","-98.4866291","37.9486332","Stafford","","08/03/1984","08/06/1984","08/06/1984","OTHER-P&A","Plugged and Abandoned","3833","1790","GL"," "
"1006813286"," ","Richardson, R. V.","4","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","10"," "," ","S2","S2","NW","2970","1320","SW","-98.522347","37.9774655","Stafford","","01/07/1941","02/05/1941","02/16/1952","OIL-P&A","Plugged and Abandoned","3792","1814","DF"," "
"1006153817","15-185-23059","Zenith Unit","42","Castle Resources","ZU, LLC","Zenith-Peace Creek","24","S","11","W","1"," "," "," ","SE","SE","677","-686","SE","-98.4742937","37.9859829","Stafford","09/12/1997","10/29/1997","11/04/1997","","OIL","Producing","3810","1813","KB"," "
"1006152656","15-185-22448","Zenith Waterflood Unit","38","Striker Petroleum Corp.","Castle Resources, Inc.","Zenith-Peace Creek","24","S","11","W","1"," "," ","W2","W2","SW","1320","-5180","SE","-98.4898947","37.9876972","Stafford","","07/22/1987","08/19/1987","10/03/1997","OIL-P&A","Plugged and Abandoned","3799","1805","KB"," "
"1001320230","15-185-10137","McNickle, L.","1","Skelly Oil Co.","","Zenith-Peace Creek","24","S","11","W","2","C"," ","S2","SW","SE","330","-1980","SE","-98.4970806","37.9849423","Stafford","","03/31/1940","04/30/1940","08/25/1945","OIL-P&A","Plugged and Abandoned","3764","1810","DF"," "
"1001275592","15-155-02136","SMISOR","5","MID CONTINENT PETR CORP","","Zenith-Peace Creek","22","S","9","W","30"," "," ","NE","SE","SW","990","-2970","SE","-98.3544544","38.1034762","Reno","","11/21/1949","12/30/1949","","OIL","Converted to SWD Well","3717","1729","DF"," "
"1001320452","15-185-72680","Martin, Emma","6","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","14","C"," ","W2","NE","NW","4620","-3630","SE","-98.5027975","37.9676476","Stafford","","01/10/1939","02/04/1939","01/01/1954","OIL-P&A","Plugged and Abandoned","3833","1818","DF"," "
"1001275644","15-155-02433","PEACE CREEK UNIT","704","CITIES SERVICE CO","Pioneer Oil Company, Inc.","Zenith-Peace Creek","22","S","10","W","36"," "," ","N2","S2","SW","990","-3960","SE","-98.376155","38.0887676","Reno","","04/04/1959","04/18/1959","","OIL","Producing","3746","1735","KB","Viol"
"1006151772","15-185-21963","Paulsen 'D'","1","Case Oil and Gas","Rama Operating Co., Inc.","Zenith-Peace Creek","24","S","11","W","26"," ","NW","NE","NW","NE","-315","-1962","NE","-98.4968632","37.9395226","Stafford","","03/07/1984","03/16/1984","12/01/2014","OIL-P&A","Plugged and Abandoned","3905","1796","KB"," "
"1001276233","15-155-02867","SNOWBARGER 'B'","2","REPUBLIC NATURAL GAS CO","","Zenith-Peace Creek","23","S","10","W","21"," "," ","SW","SW","NE","2970","-2310","SE","-98.42533","38.0359589","Reno","","08/09/1941","09/24/1941","07/17/1953","OIL-P&A","Plugged and Abandoned","3785","1780","KB"," "
"1043015338","15-155-21566","Peace Creek Unit","10-03","Pioneer Oil Co., Inc.","Pioneer Oil Company, Inc.","Zenith-Peace Creek","23","S","10","W","2"," "," "," ","SE","NW","-2323","2329","NW","-98.3910897","38.0795874","Reno","10/27/2010","12/05/2010","12/27/2010","","OIL","Producing","3723","1760","KB","Viola"
"1042907672","15-185-11307-0001","Richardson","1","King and Rowe Oil Co.","King & Rowe Oil Co.","Zenith-Peace Creek","24","S","11","W","22"," "," "," "," ","NW","2940","-3300","SE","-98.5198887","37.9483152","Stafford","","","","12/21/1987","EOR-P&A","Plugged and Abandoned","3888","1830","KB"," "
"1006813279","15-185-72550","Richardson, R. V.","2","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","10"," "," ","E2","SE","NW","","","","-98.5189227","37.9784561","Stafford","","07/21/1940","08/11/1940","10/01/1947","OIL-P&A","Plugged and Abandoned","3810","",""," "
"1006118163","15-155-21346","SAUER-COOK B","1","HONEY OIL","Honey Oil Co., Inc.","Zenith","24","S","10","W","17"," "," "," ","NW","NW","-660","660","NW","-98.4515481","37.9679176","Reno","12/20/1994","12/20/1994","12/28/1994","12/28/1994","D&A","Plugged and Abandoned","3820","1770","KB"," "
"1006117507","15-155-20992","ZENITH WATERFLOOD UNIT","23","STRIKER PETROLEUM CORP.","","Zenith-Peace Creek","24","S","10","W","6"," "," ","W2","SW","SW","660","100","SW","-98.4715657","37.9859453","Reno","","05/23/1984","06/30/1984","","OIL","Recompleted","3825","1807","KB"," "
"1001276740","15-155-01899","JOHNSON","1","SKELLY OIL CO","","Zenith-Peace Creek","24","S","10","W","6"," "," "," ","SW","NE","3300","-1980","SE","-98.4606703","37.9932344","Reno","","03/21/1943","04/11/1943","04/03/1972","OIL-P&A","Plugged and Abandoned","3736","1798","DF"," "
"1037335377","15-155-02735-0001","I. C. JOHNSON","1","STANOLIND","","Zenith-Peace Creek","23","S","10","W","31","C"," "," ","SW","SE","","","","-98.4606038","38.000462","Reno","","02/23/1948","03/03/1948","","D&A"," ","3719","1800","GL"," "
"1001275588","15-155-02045","LESLIE","1","PICKRELL DRILLING CO","","Zenith-Peace Creek","22","S","9","W","30"," "," ","SW","SE","NE","2970","-990","SE","-98.3475372","38.1089444","Reno","","01/11/1950","01/22/1950","01/22/1950","D&A","Plugged and Abandoned","3854","1725","KB"," "
"1001275590","15-155-02135","SMISOR","2","MID CONTINENT PETR CORP","","Zenith-Peace Creek","22","S","9","W","30"," "," ","SW","SW","SW","330","-4950","SE","-98.3613488","38.1016341","Reno","","06/29/1942","07/22/1942","08/29/1960","OIL-P&A","Plugged and Abandoned","3699","1735","DF"," "
"1001275596","15-155-03149","SCHWEIZER","1","STANOLIND OIL & GAS CO","","Zenith-Peace Creek","22","S","9","W","31"," "," ","S2","NW","NW","4290","-4620","SE","-98.3601795","38.0978971","Reno","","10/14/1942","11/02/1942","06/03/1950","OIL-P&A","Plugged and Abandoned","3711","1730","DF"," "
"1001275628","15-155-36624","BAILEY","1","TRANSWESTERN OIL CO","","Zenith-Peace Creek","22","S","10","W","26","C"," ","SE","NE","NE","4290","-330","SE","-98.3823366","38.1123863","Reno","","03/23/1943","","","OIL"," ","3701","1731","DF"," "
"1001275586","15-155-03148","LESLIE","1","PICKRELL DRILLING CO","","Zenith-Peace Creek","22","S","9","W","30"," "," ","NW","SW","SE","990","-2310","SE","-98.3521601","38.1034858","Reno","","04/15/1949","05/03/1949","01/25/1951","OIL-P&A","Plugged and Abandoned","3706","1728","DF"," "
"1001275643","15-155-70222","FAIR B","1","LEE PHILLIPS OIL CO.","","Zenith-Peace Creek","22","S","10","W","36","C"," ","SW","SE","NW","2970","-3630","SE","-98.3750308","38.0942114","Reno","","07/17/1959","07/31/1959","07/31/1959","D&A","Plugged and Abandoned","3722","1736","KB"," "
"1001275646","15-155-03155","BAILEY","1","AMERADA PETROLEUM CORP","","Zenith-Peace Creek","22","S","10","W","36"," "," ","SW","SE","NE","2970","-990","SE","-98.3658557","38.0942493","Reno","","06/01/1942","08/06/1942","01/01/1943","OIL-P&A","Plugged and Abandoned","3724","1732","DF"," "
"1001275651","15-155-03156","POTTER","1","PICKRELL DRILLING CO","","Zenith-Peace Creek","22","S","10","W","36"," "," ","SE","SE","SE","330","-330","SE","-98.3635317","38.0870068","Reno","","12/01/1948","01/07/1949","02/01/1951","OIL-P&A","Plugged and Abandoned","3717","1736","DF"," "
"1001276758","15-155-02317","UNION CENTRAL","4","ALF M. LANDON","","Zenith-Peace Creek","24","S","10","W","7"," "," ","S2","SW","NW","2970","-4620","SE","-98.4698651","37.9778453","Reno","","07/08/1941","","03/01/1954","OIL-P&A","Plugged and Abandoned","3755","1789","DF"," "
"1005740136","15-185-12534","Figger","2","Champlin Refining Co.","","Zenith-Peace Creek","24","S","11","W","9","C"," ","E2","NE","NE","4620","-330","SE","-98.528129","37.9819747","Stafford","","07/23/1941","08/03/1941","05/17/1948","OIL-P&A","Plugged and Abandoned","3800","1818","DF"," "
"1002939567","15-155-03195","MORGAN","1","CITIES SERVICE CO","","Zenith-Peace Creek","23","S","9","W","6","C"," ","SW","NW","SW","1650","-4950","SE","-98.3611616","38.0761157","Reno","","03/13/1943","05/26/1943","10/01/1958","OIL-P&A"," ","3749","1743","DF"," "
"1006116920","15-155-20651","MORGAN D","1","CITIES SERVICE CO","","Zenith-Peace Creek","23","S","9","W","6"," "," "," ","SW","SW","660","-4620","SE","-98.3599977","38.0734","Reno","05/15/1980","05/28/1980","01/16/1981","01/31/1981","D&A","Plugged and Abandoned","3670","1759","KB"," "
"1006117913","15-155-21214","WILLINGER","1-19","DEUTSCH OIL","Deutsch Oil Company","Zenith-Peace Creek","24","S","10","W","19"," "," "," ","SW","NW","3303","-4499","SE","-98.4693413","37.9496236","Reno","08/27/1992","08/27/1992","09/18/1992","","GAS","Producing","3880","1783","KB"," "
"1001276733","15-155-02307","FREEMAN","4","CITIES SERV OIL CO","","Zenith-Peace Creek","24","S","10","W","6"," "," "," ","SE","SE","660","-660","SE","-98.4561119","37.9859974","Reno","","09/11/1943","09/25/1943","10/12/1977","OIL-P&A","Plugged and Abandoned","3738","1797","DF"," "
"1001276738","15-155-02311","NEWT DARR","4","MAGNOLIA PETR CORP","","Zenith-Peace Creek","24","S","10","W","6"," "," "," ","NE","NW","4620","-3300","SE","-98.4652401","37.9968452","Reno","","02/28/1943","03/19/1943","05/19/1951","OIL-P&A","Plugged and Abandoned","3722","1806","DF"," "
"1001276064","15-155-02865","GREENWOOD HEIRS","1","H THOMAS ETAL","","Zenith-Peace Creek","23","S","9","W","6"," "," ","NE","NE","NE","4950","-330","SE","-98.3451658","38.0852338","Reno","","08/13/1936","09/09/1936","09/09/1936","D&A","Plugged and Abandoned","3937","1739","DF"," "
"1002949459","15-185-01175","McKibben","1","DERBY OIL CO.","","Zenith-Peace Creek","24","S","12","W","12"," "," ","SE","SE","NE","2970","-330","SE","-98.5829139","37.9773788","Stafford","","10/11/1944","11/28/1944","06/01/1954","OIL-P&A","Plugged and Abandoned","4008","1847","DF"," "
"1002948842","15-185-00610","Harbeson, R.","6","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","11"," "," ","N2","N2","NW","-330","1320","NW","-98.5040774","37.9830943","Stafford","","02/12/1940","03/16/1940","11/01/1950","OIL","Recompleted","3784","1814","DF"," "
"1002949575","15-185-01285","Vincent, J. W.","1","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","5"," "," ","E2","SW","SE","660","-1650","SE","-98.5511067","37.9856355","Stafford","","04/28/1942","06/24/1942","08/03/1942","D&A","Plugged and Abandoned","3949","1830","KB"," "
"1001320366","15-185-10227","Stewart, R. F.","7","E. H. Moore, Inc.","","Zenith-Peace Creek","24","S","11","W","12"," "," ","S2","NW","SE","1650","-1980","SE","-98.4788108","37.9741334","Stafford","","12/17/1940","01/07/1941","03/01/1970","OIL-P&A","Plugged and Abandoned","3733","1791","DF"," "
"1038097695","15-155-21488-0001","Johnson","1","Rama Operating Co., Inc.","Rama Operating Co., Inc.","Zenith-Peace Creek","24","S","10","W","6"," ","SE","SW","NW","NE","3969","-2067","SE","-98.4607061","37.9950556","Reno","","12/18/2007","12/18/2007","03/31/2022","GAS-P&A","Plugged and Abandoned","2410","1793","GL","Herington-Krider"
"1006149752","15-185-20878","STEWART","1","MELLAND FRANCIS G","","Zenith-Peace Creek","24","S","11","W","12","C"," "," ","E2","SW","1320","-3300","SE","-98.4833942","37.9731732","Stafford","","02/15/1978","12/20/1978","12/20/1978","D&A","Plugged and Abandoned","2000","1795","GL"," "
