KID,BARCODE,FACILITY,AISLE,COLUMN,ROW,TOP,BOTTOM,CORE_TYPE,COMMENTS
"1006154188","107344","North Lawrence","29","2","4","3828.5","3835","",""
"1006154188","107345","North Lawrence","29","2","4","3835","3842","",""
"1006154188","107346","North Lawrence","29","2","4","3842","3845","",""
"1001320574","200210","North Lawrence","3","2","7","3797","3802","",""
"1001320574","200211","North Lawrence","3","2","6","3785","3808","",""
"1001320574","200212","North Lawrence","3","2","6","3785","3808","",""
"1006154234","129640","North Lawrence","5","2","5","3791","3793","",""
"1006154234","129641","North Lawrence","5","2","5","3775","3786","",""
"1006154234","129642","North Lawrence","5","2","5","3760","3775","",""
"1006154188","129643","North Lawrence","11","2","7","3818","3836","",""
"1006154188","129644","North Lawrence","11","2","7","3836","3845","",""
"1006154188","129645","North Lawrence","11","2","7","3778","3794","",""
"1006154188","129646","North Lawrence","11","2","7","3761","3778","",""
"1006154188","129647","North Lawrence","11","2","7","3794","3818","",""
"1001320220","214133","North Lawrence","30","3","3","3704","3709","",""
"1001320220","214134","North Lawrence","30","3","3","3710","3714","",""
"1001320364","123454","North Lawrence","35","1","7","3779","3781","",""
"1001320364","123455","North Lawrence","35","1","7","3769","3778","",""
"1001320364","123456","North Lawrence","35","1","7","3375","3778","",""
"1001320367","123457","North Lawrence","35","1","7","3737","3921","",""
"1001320424","123458","North Lawrence","35","1","7","3789","3792","",""
"1001320365","123459","North Lawrence","35","1","7","3920","3729","",""
"1001320384","123463","North Lawrence","35","1","7","3724","3732","",""
"1001320384","123464","North Lawrence","35","1","7","3732","3733","",""
"1001320384","123465","North Lawrence","35","1","7","3767","3779","",""
"1001320415","123466","North Lawrence","35","1","7","2789","3798","",""
"1002949929","123467","North Lawrence","35","1","7","3777","3783","",""
"1002949929","123468","North Lawrence","35","1","7","3784","3809","",""
"1001320574","103455","North Lawrence","3","2","7","3803","0","",""
"1006154234","129656","Lawrence","O","B","7","3721","3757","",""
"1006154234","129657","North Lawrence","5","2","5","3775","0","",""
"1006154234","101534","North Lawrence","5","2","5","3706","3711","","box 1 of 2"
"1006154188","107339","North Lawrence","29","2","4","3788","3794","",""
"1006154188","107340","North Lawrence","29","2","4","3794","3800","",""
"1006154234","101535","North Lawrence","5","2","5","3711","3713","","box 2 of 2"
"1001320424","410023","Lawrence","B","C","4","91","908","SAMPLES","BILLETS AT: 91, 592, 908"
"1001320415","410024","Lawrence","B","C","4","97","390","SAMPLES","BILLETS AT: 97, 97, 390"
"1006154236","103424","North Lawrence","3","2","3","3726","3732","",""
"1006154236","103425","North Lawrence","3","2","3","3774","3783","",""
"1006154236","103426","North Lawrence","3","2","3","3732","3734.6","",""
"1006154236","103427","North Lawrence","3","2","3","3783","3787","",""
"1006154236","103428","North Lawrence","3","2","3","3788","3792","",""
"1001276718","107048","North Lawrence","36","4","1","3809","3815","",""
"1006154234","106326","North Lawrence","5","2","5","3756","3762","",""
"1006154234","106327","North Lawrence","5","2","5","3762","3767","",""
"1006154234","106328","North Lawrence","5","2","5","3767","3773","",""
"1006154234","106329","North Lawrence","5","2","5","3773","3779","",""
"1006154234","106330","North Lawrence","5","2","5","3779","3783","",""
"1001320220","410028","Lawrence","B","C","4","3705","3705","SAMPLES","BILLET AT 3705"
"1006154234","410032","Lawrence","B","C","4","3756","3784","SAMPLES","BILLETS AT: 3756, 3756.9, 3757.3, 3758.8, 3759.2, 3760.2, 3761, 3762.5, 3763, 3764.6, 3765, 3765.4, 3766.5, 3767.8, 3768.2, 3769.6, 3771.2, 3772.6, 3773.8, 3775, 3777.3, 3779, 3779.4, 3780.2, 3781.9, 3783.7, 3783.9"
"1001320497","217577","North Lawrence","W","K","J","1356","0","","10 PERMEABILITY PLUG IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320442","217578","North Lawrence","W","K","J","1338","0","","8 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1028016445","217568","North Lawrence","W","K","J","1331","0","","14 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320314","217569","North Lawrence","W","K","J","1409","0","","19 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320313","217570","North Lawrence","W","K","J","1372","0","","7 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320312","217571","North Lawrence","W","K","J","1298","0","","37 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320301","217572","North Lawrence","W","K","J","1323","0","","45 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320311","217573","North Lawrence","W","K","J","1253","0","","9 PERMEABILITY PLUGS IN 1PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320409","217574","North Lawrence","W","K","J","1297","0","","6 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320419","217575","North Lawrence","W","K","J","1330","0","","2 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1006813286","217576","North Lawrence","W","K","J","1240","0","","1 PERMEABILITY PLUG IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1006154188","410033","Lawrence","B","C","4","3764","3830","SAMPLES","BILLETS AT: 3764, 3765.7, 3768, 3769, 3770, 3784, 3790, 3791.8, 3793, 3798, 3799, 3811, 3815, 3824, 3826, 3830"
"1006148528","403572","Lawrence","B","C","4","3230","3740","CUTTINGS","Cuttings in glass vials at: 3230-3240, 3370-3380, 3735-3740"
"1006154188","104806","North Lawrence","26","4","4","3761","3765","",""
"1006154188","104807","North Lawrence","26","4","4","3767","3712","",""
"1006154188","214235","North Lawrence","26","2","6","3780","3786","",""
"1006154188","214233","North Lawrence","26","2","6","3787","3788","",""
"1006154188","214234","North Lawrence","26","2","6","3772","3780","",""
"1001320332","217579","North Lawrence","W","K","J","1325","0","","25 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1006154188","107341","North Lawrence","29","2","4","3800","3815","",""
"1006154188","107342","North Lawrence","29","2","4","3815","3822","",""
"1006154188","107343","North Lawrence","29","2","4","3822","3828.5","",""
"1001320495","217580","North Lawrence","W","K","J","1322","0","","12 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320331","217581","North Lawrence","W","K","J","1353","0","","5 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320355","217582","North Lawrence","W","K","J","1387","0","","8 PERMEABILITY PLUGS IN 1 PKGS--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320337","217584","North Lawrence","W","K","J","1370","0","","12 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1001320510","217585","North Lawrence","W","K","J","1467","0","","12 PERMEABILITY PLUGS IN 1 PKG--LOCATED IN 13-1-7 INSIDE ONE BOX MARKED PERMEABILITY PLUGS"
"1006154234","101556","North Lawrence","5","2","5","3719","0","",""
"1006154234","101557","North Lawrence","5","2","5","3711","3719","",""
"1001320384","403585","North Lawrence","35","1","7","0","0","SAMPLES","6 samples of varying depths.
67E, 77I, 92A, 89I"
"1006154234","129658","North Lawrence","5","2","5","3709","3724","",""
"1006154234","129659","North Lawrence","5","2","5","3724","3760","",""
