"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001320242","05804","3100","3833"
"1001320244","02493","3190","3778"
"1001320246","02496","3000","3768"
"1006149964","J8795","3100","3970"
"1002949575","67746","1800","3500"
"1006148936","69945","1500","2040"
"1001320263","49627","3250","3807"
"1002949625","42470","1000","2500"
"1001320268","05787","3000","3842"
"1001320269","B0988","290","2100"
"1001320267","04460","3350","3784"
"1005740136","49136","1700","3790"
"1001320277","59599","2800","3700"
"1005740139","49611","3000","3787"
"1006149104","70793","3200","3785"
"1001320283","A9763","3650","3812"
"1002949575","08672","290","810"
"1001320307","25395","3650","3809"
"1001320309","54225","3600","3833"
"1001320308","05005","3600","3809"
"1001320302","04957","3640","3832"
"1001320287","01426","500","3770"
"1001320292","29357","450","3450"
"1001320292","28210","3450","3778"
"1001320297","34929","300","3400"
"1001320310","31814","3400","3788"
"1001320300","34916","500","3817"
"1001320312","34742","300","1800"
"1001320313","34920","500","2500"
"1001320314","35129","460","2100"
"1001320337","35921","3350","3762"
"1001320330","35919","450","3771"
"1001320332","36056","480","2100"
"1001320335","34463","480","3773"
"1001320333","37767","480","3160"
"1001320356","32852","450","3811"
"1001320319","36109","480","3722"
"1001320350","32878","3100","3767"
"1001320343","34155","520","3716"
"1001320344","37766","500","3742"
"1001320320","37793","450","3787"
"1001320340","34702","470","3745"
"1001320355","38052","2200","3787"
"1001320354","29906","3650","3735"
"1028016443","48934","450","3819"
"1001320352","30754","3650","3801"
"1028016445","34239","470","3746"
"1001320349","37740","490","3750"
"1001320348","38822","3771","3809"
"1001320347","34446","1700","3745"
"1001320346","32965","3290","3756"
"1001320338","03728","250","1800"
"1001320338","03729","1800","3450"
"1001320338","03269","3450","3795"
"1001320322","36059","475","3725"
"1001320336","34463","470","3772"
"1001320323","38100","470","3789"
"1001320325","34710","470","3763"
"1001320326","34612","470","3770"
"1028016441","53457","1600","3725"
"1006154234","53386","1600","2470"
"1006154234","53388","3690","3820"
"1006152454","C0519","3200","3690"
"1001320375","36043","484","3811"
"1001320372","03333","3300","3792"
"1001320358","37767","470","3744"
"1001320387","37764","470","2100"
"1001320387","00122","3500","3764"
"1001320357","38117","400","2950"
"1001320362","A7393","3200","3795"
"1002949929","01096","3200","3809"
"1001320384","05017","3300","3751"
"1001320380","05011","3650","3750"
"1001320366","04990","3200","3732"
"1006152148","37541","3000","3850"
"1002949930","A9974","3650","3782"
