KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001320574","T24S R11W, Sec. 24,     SW NW NW","DERBY OIL CO.","","McComb, Glenn C. 5","15-185-32004","1799 DF","Strip/Sample Logs","Sample Log","0","3743","","Scanned","05/138/1938"
"1001320574","T24S R11W, Sec. 24,     SW NW NW","DERBY OIL CO.","","McComb, Glenn C. 5","15-185-32004","1799 DF","Strip/Sample Logs","Sample Log","0","3813","","Scanned","05/138/1938"
"1002939131","T24S R10W, Sec. 3,     NW NW NE","STEARNS PETROLEUM","","SCHULTZ 1","15-155-00143","1766 KB","Strip/Sample Logs","Kansas Sample Log Service","2600","4045","","Scanned","01/03/1954"
"1002939217","T23S R10W, Sec. 16,     SW SW NW","WILKINSON DRLG INC","","HINSHAW 1","15-155-00219","1781 KB","Strip/Sample Logs","Kansas Sample Log Service","2950","3817","","Scanned","11/333/1961"
"1001276138","T23S R10W, Sec. 10,     SW NE NW","CONTINENTAL OIL CO","","KESSLING, WALTER  1","15-155-02082","1770 KB","Strip/Sample Logs","Kansas Sample Log Service","","4020","","Scanned","04/111/1967"
"1006118191","T23S R10W, Sec. 1,   NE NE NE SW","Oxy USA, Inc.","Pioneer Oil Company, Inc.","Peace Creek Unit 1905","15-155-21360","1751 KB","Atlas Wireline Services       ","Micro Laterolog Gamma Ray                                            ","334","3708","115","Unscanned","08/237/1995"
"1006118027","T22S R10W, Sec. 35,     NE SE SE","Oxy USA, Inc.","Pioneer Oil Company, Inc.","PEACE CREEK UNIT 603","15-155-21275","1741 KB","Atlas Wireline Services       ","SBT Gamma Ray                                                        ","0","3684","","Scanned","08/236/1993"
"1006118122","T22S R10W, Sec. 35,     SE SW SE","Oxy USA, Inc.","Pioneer Oil Company, Inc.","PEACE CREEK UNIT 602","15-155-21326","1751 KB","Atlas Wireline Services       ","Linear Porosity Neutron Gamma Ray                                    ","2950","3752","","Unscanned","08/215/1994"
"1006118191","T23S R10W, Sec. 1,   NE NE NE SW","Oxy USA, Inc.","Pioneer Oil Company, Inc.","Peace Creek Unit 1905","15-155-21360","1751 KB","Atlas Wireline Services       ","Dual Induction Focused Log Gamma Ray                                 ","334","3708","115","Unscanned","08/238/1995"
"1006118191","T23S R10W, Sec. 1,   NE NE NE SW","Oxy USA, Inc.","Pioneer Oil Company, Inc.","Peace Creek Unit 1905","15-155-21360","1751 KB","Atlas Wireline Services       ","Z-Densilog Compensated Neutron Spectralog                            ","334","3708","115","Unscanned","08/237/1995"
"1006151846","T24S R11W, Sec. 13,     N2 N2 NE","Striker Petroleum Corp.","Hale, L.D.","Johnson 1-S","15-185-22006","1794 KB","Bluestem Wireline             ","Radioactivity Log                                                    ","70","468","","Scanned","08/215/1998"
"1006116869","T23S R10W, Sec. 12,     NW SW NW","CITIES SERVICE OIL COMPANY","Pioneer Oil Company, Inc.","HEYLUM 'D' 1","15-155-20622","1766 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron                             ","1400","3671","109","Unscanned","03/63/1980"
"1006116946","T23S R10W, Sec. 11,       SE SE","CITIES SERVICE CO","OXY USA Inc.","TONN 'A' 2","15-155-20669","1757 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron                             ","1650","3669","111","Unscanned","06/169/1980"
"1006117024","T23S R10W, Sec. 14,     NW SE NW","CITIES SERVICE CO","OXY USA Inc.","ESTEY 'A' 5","15-155-20723","1771 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron                             ","3000","3821","112","Unscanned","01/31/1981"
"1006116920","T23S R9W, Sec. 6,       SW SW","CITIES SERVICE CO","","MORGAN D 1","15-155-20651","1759 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron                             ","2500","3665","109","Unscanned","06/158/1980"
"1006116922","T23S R10W, Sec. 12,       SE NE","CITIES SERVICE OIL CO.","Pioneer Oil Company, Inc.","HEYLMUN 'E' 1","15-155-20652","1756 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron                             ","1650","3652","111","Unscanned","05/147/1980"
"1006117024","T23S R10W, Sec. 14,     NW SE NW","CITIES SERVICE CO","OXY USA Inc.","ESTEY 'A' 5","15-155-20723","1771 KB","Dresser Atlas                 ","Dual Induction Focused Log                                           ","295","3821","112","Unscanned","01/31/1981"
"1006117565","T23S R10W, Sec. 14,   SW NE NE NW","CITIES SERVICE OIL & GAS CORP.","Pioneer Oil Company, Inc.","ESTEY 'A' 6","15-155-21027","1764 KB","Dresser Atlas                 ","Dual Induction Focused Log Gamma Ray                                 ","336","3744","112","Unscanned","11/326/1984"
"1006116869","T23S R10W, Sec. 12,     NW SW NW","CITIES SERVICE OIL COMPANY","Pioneer Oil Company, Inc.","HEYLUM 'D' 1","15-155-20622","1766 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","3672","109","Unscanned","03/63/1980"
"1006116946","T23S R10W, Sec. 11,       SE SE","CITIES SERVICE CO","OXY USA Inc.","TONN 'A' 2","15-155-20669","1757 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","282","3670","111","Unscanned","06/169/1980"
"1006116920","T23S R9W, Sec. 6,       SW SW","CITIES SERVICE CO","","MORGAN D 1","15-155-20651","1759 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","278","3665","109","Unscanned","06/158/1980"
"1006116922","T23S R10W, Sec. 12,       SE NE","CITIES SERVICE OIL CO.","Pioneer Oil Company, Inc.","HEYLMUN 'E' 1","15-155-20652","1756 KB","Dresser Atlas                 ","Laterolog Gamma Ray Neutron                                          ","0","3652","111","Unscanned","05/147/1980"
"1001320560","T24S R11W, Sec. 23, C   NE SE NW","BRADEN DRILLING","","ZENITH WATER FLOOD UNIT 7","15-185-72794","1808 KB","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","2800","3810","","Unscanned","08/227/1969"
"1038695318","T23S R10W, Sec. 12,     SW SW NW"," ","Pioneer Oil Company, Inc.","PEACE CREEK 2301 W","15-155-02190-0001"," ","Dresser Atlas                 ","Gamma Ray Neutron                                                    ","2500","3751","","Unscanned","08/218/1979"
"1006148375","T24S R11W, Sec. 2,       NW SE","Braden-Zenith, Inc.","Castle Resources, Inc.","Zenith Waterflood Unit 5","15-185-20160","1810 KB","Dresser Atlas                 ","Acoustilog                                                           ","2100","3676","115","Unscanned","02/39/1969"
"1006117565","T23S R10W, Sec. 14,   SW NE NE NW","CITIES SERVICE OIL & GAS CORP.","Pioneer Oil Company, Inc.","ESTEY 'A' 6","15-155-21027","1764 KB","Dresser Atlas                 ","Compensated Densilog Compensated Neutron Gamma Ray                   ","3000","3742","112","Unscanned","11/326/1984"
"1006148375","T24S R11W, Sec. 2,       NW SE","Braden-Zenith, Inc.","Castle Resources, Inc.","Zenith Waterflood Unit 5","15-185-20160","1810 KB","Dresser Atlas                 ","Gamma Ray Neutron Laterolog                                          ","0","3685","115","Unscanned","02/39/1969"
"1001320383","T24S R11W, Sec. 12, C   NW NW NE","BRADEN DRLG","","ZENITH WATERFLOOD UNIT 6","15-185-72630","1800 KB","Dresser Atlas                 ","Correlation Log                                                      ","3550","3700","","Unscanned","08/232/1969"
"1002939536","T24S R10W, Sec. 8,     N2 NW SW","Raymond Oil Co., Inc.","Raymond Oil Company, Inc.","SAUER 1","15-155-01010-0001","1799 KB","Drill Stem Test               ","Drill Stem Test 1                                                    ","3690","3750","","Unscanned",""
"1006151571","T24S R11W, Sec. 8,       NE SW","Petroleum Energy, Inc.","Petroleum Energy, Inc.","Kelly 1","15-185-21857","1828 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","2900","3828","115","Unscanned","10/276/1983"
"1006151826","T24S R11W, Sec. 8,     NE SE NW","Alma, Inc.","Alma, Inc.","Figger, G. 1","15-185-21994","1831 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","3100","3976","115","Unscanned","05/140/1984"
"1006152054","T24S R11W, Sec. 16,     E2 NE NE","Natl. Petroleum Reserves, Inc.","National Petroleum Reserves, Inc.","Meyer 1","15-185-22122","1824 KB","Electra Log Inc.              ","Radiation Guard Log                                                  ","250","3880","114","Unscanned","11/335/1984"
"1006152772","T24S R11W, Sec. 22,     NE SE NE","Trans Pacific Oil Corp.","Trans Pacific Oil Corporation","Richardson 1","15-185-22510","1828 KB","Electra Log Inc.              ","Dual Induction Log                                                   ","0","3800","","Unscanned","04/118/1988"
"1006154197","T24S R11W, Sec. 15,     NW NW NW","Braden-Zenith, Inc.","Castle Resources, Inc.","Zenith Waterflood Unit ZU-4W","15-185-30363","1823 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3852","109","Unscanned","10/293/1966"
"1006148828","T24S R11W, Sec. 15,     NE NW NE","Braden-Zenith, Inc.","","Zenith Waterflood Unit 10","15-185-20393","1810 GL","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3786","108","Unscanned","12/339/1971"
"1006148828","T24S R11W, Sec. 15,     NE NW NE","Braden-Zenith, Inc.","","Zenith Waterflood Unit 10","15-185-20393","1810 GL","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3786","108","Unscanned","12/339/1971"
"1006154192","T24S R11W, Sec. 15,     SE SE NE","Braden-Zenith, Inc.","Castle Resources, Inc.","Zenith Waterflood Unit ZU-2W","15-185-30359","1816 KB","Electra Log Inc.              ","Radiation Accurlog                                                   ","0","3869","108","Unscanned","10/281/1966"
"1006152054","T24S R11W, Sec. 16,     E2 NE NE","Natl. Petroleum Reserves, Inc.","National Petroleum Reserves, Inc.","Meyer 1","15-185-22122","1824 KB","Electra Log Inc.              ","Compensated Density                                                  ","2850","3880","114","Unscanned","11/335/1984"
"1006152772","T24S R11W, Sec. 22,     NE SE NE","Trans Pacific Oil Corp.","Trans Pacific Oil Corporation","Richardson 1","15-185-22510","1828 KB","Electra Log Inc.              ","Compensated Density Compensated Neutron                              ","3100","3800","","Unscanned","04/118/1988"
"1006118033","T23S R10W, Sec. 19,     SE SE SW","WOODMAN-IANNITTI OIL CO","Woodman & Iannitti Oil Company","Colle 1","15-155-21278","1794 KB","Eli Wireline Services         ","Compensated Density Log                                              ","2640","3775","114","Unscanned","08/228/1993"
"1006118112","T23S R10W, Sec. 20,       S2 NW","Woodman-Iannitti Oil Co.","Woodman & Iannitti Oil Company","Siegrist-Purdy 1","15-155-21321","1791 KB","Eli Wireline Services         ","Compensated Density Log                                              ","1400","3747","119","Unscanned","06/158/1994"
"1006153821","T24S R11W, Sec. 1,         SW","Castle Resources","ZU, LLC","Zenith Unit 44","15-185-23061","1808 KB","Eli Wireline Services         ","Sonic Log                                                            ","3000","3878","114","Scanned","11/316/1997"
"1006153815","T24S R11W, Sec. 1,       SW SE","Castle Resources","ZU, LLC","Zenith Unit 41","15-185-23058","1805 KB","Eli Wireline Services         ","Sonic Log                                                            ","3000","3816","113","Scanned","11/322/1997"
