KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Viola Limestone Formation","3671","","","04/15/1999"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Heebner Shale Member","3106","","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Paola Limestone Member","","3441","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Pennsylvanian System","","3671","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Cement City Limestone Member","3454","","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Kansas City Group","","3436","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Quivira Shale Member","","3459","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Lansing Group","3292","","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Mississippian System","3671","","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Canville Limestone Member","","3514","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Winterset Limestone Member","3507","","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Bethany Falls Limestone Member","3542","","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001274073","15-155-20047","-98.459611","38.0095262","1798","KB","Block Limestone Member","","3475","STRATIGRAPHY.STRATMASTER 1718","06/18/2003"
"1001275588","15-155-02045","-98.3475372","38.1089444","1725","KB","Kinderhookian Stage","3556","","","04/15/1999"
"1001275590","15-155-02135","-98.3613488","38.1016341","1735","DF","Viola Limestone Formation","3670","","","04/15/1999"
