KID,LASFILE
"1006117352","1043563745.las"
"1006151736","1021084863.las"
"1006154188","1021084887.las"
"1006151836","1021084891.las"
"1006151734","1021084894.las"
"1006151796","1021084898.las"
"1006117501","1021084902.las"
"1006152112","1021084904.las"
"1006151894","1021084906.las"
"1006152264","1021084909.las"
"1006152458","1021084913.las"
"1006151766","1021084917.las"
"1006154196","1028091686.las"
"1006117860","1043696099.las"
"1044096974","1044817447.las"
"1044237187","1044984203.las"
"1044212857","1044931022.las"
"1044852520","1046076028.las"
"1046516471","1051310349.las"
"1028016441","1021084862.las"
"1006152454","1021084865.las"
"1006151838","1043691467.las"
"1043015338","1044571601.las"
"1044580611","1044984136.las"
"1044770280","1045113154.las"
"1044834333","1046076757.las"
"1006117507","1021084864.las"
"1001320393","1021084876.las"
"1006148828","1021084888.las"
"1006154234","1021084889.las"
"1006151828","1021084890.las"
"1006151832","1021084892.las"
"1006152128","1021084893.las"
"1006151750","1021084895.las"
"1006151768","1021084896.las"
"1006151770","1021084897.las"
"1006152110","1021084899.las"
"1006151846","1021084900.las"
"1006151812","1021084901.las"
"1006117505","1021084903.las"
"1006151892","1021084905.las"
"1006151960","1021084907.las"
"1006152250","1021084908.las"
"1006154192","1021084910.las"
"1006117622","1021084911.las"
"1006152654","1021084912.las"
"1006117666","1021084914.las"
"1006152470","1021084915.las"
"1006152732","1021084916.las"
"1006152973","1043563759.las"
