file,curve,unit,min,max,mean,count,scale_type,confidence
Downing_'B'_1-1.las,CNLS,PU,-50.0,42.5021,26.229173426110002,9054,UNKNOWN,LOW
Downing_1-6.las,CNLS,PU,-50.0,56.33,23.321128515712058,8974,UNKNOWN,LOW
Ladenburger_'A'_1-6.las,CNLS,NO_UNIT,-5.0961,100.0,28.100861636122765,9058,UNKNOWN,LOW
Ladenburger_'B'_1-6.las,CNLS,NO_UNIT,-50.0,42.502,26.694871223498232,9056,UNKNOWN,LOW
Ladenburger_1-6.las,CNLS,pu,-9.99,1.0,0.23352197235629665,9116,UNKNOWN,LOW
Mary_Ann_1-1.las,CNLS,pu,-9.99,0.425,0.20622452030343594,8964,UNKNOWN,LOW
Mary_Ann_2-1.las,CNLS,pu,-9.99,1.0,0.2187737627118644,8850,UNKNOWN,LOW
Mary_Ann_3-1.las,CNLS,pu,-9.99,0.5402,0.185117927484333,8936,UNKNOWN,LOW
Mary_Ann_4-1.las,CNLS,PU,-50.0,54.4211,25.546414340002237,8947,UNKNOWN,LOW
Mary_Ann_5-1.las,CNLS,pu,-9.99,1.0,0.22509535217487306,9058,UNKNOWN,LOW
Mary_Ann_6-1.las,CNLS,PU,-50.0,42.5021,26.47463119715176,8988,UNKNOWN,LOW
Mary_Ann_7-1.las,CNLS,PU,-50.0,42.502,25.961542007104793,9008,UNKNOWN,LOW
Mary_Ann_8-1.las,CNLS,PU,-4.715,100.0,27.855592893854748,8950,PERCENTAGE,MEDIUM
Walter_'A'_2-1.las,CNLS,PU,-5.1079,46.3268,27.25973841269841,9135,UNKNOWN,LOW
Walter_1-1.las,CNLS,PU,-50.0,42.5018,25.81935234713129,9011,UNKNOWN,LOW
Walter_2-1.las,CNLS,PU,-7.0215,54.4662,25.25046816636446,8824,UNKNOWN,LOW
Walter_3-1.las,CNLS,pu,-9.99,0.425,0.21368911308203992,9020,UNKNOWN,LOW
Walter_4-1.las,CNLS,pu,-9.99,0.5554,0.18086752328582648,8911,UNKNOWN,LOW
Walter_5-1.las,CNLS,PU,-3.2128,55.9991,24.575034730471813,8923,PERCENTAGE,MEDIUM
Walter_6-1.las,CNLS,PU,-50.0,56.5371,25.53846917947559,8848,UNKNOWN,LOW
Walter_7-1.las,CNLS,PU,-2.7129,56.112,23.378711045474812,8972,PERCENTAGE,MEDIUM
Walter_8-1.las,CNLS,pu,-9.99,1.0,0.20955492474546256,9036,UNKNOWN,LOW
Walter_Bros._1-6.las,CNLS,pu,-9.99,1.0,0.21030429541968,9126,UNKNOWN,LOW
Downing_'B'_1-1.las,DPOR,PU,-96.0614,205.5171,19.042046506502093,9074,EXTREME_VALUES,HIGH
Downing_1-6.las,DPOR,PU,-77.3329,197.2529,23.189497241992882,8992,EXTREME_VALUES,HIGH
Ladenburger_'A'_1-6.las,DPOR,NO_UNIT,-90.1438,213.6219,21.04661875963869,9078,EXTREME_VALUES,HIGH
Ladenburger_'B'_1-6.las,DPOR,NO_UNIT,-100.1615,159.8908,21.913556092992508,9076,EXTREME_VALUES,HIGH
Ladenburger_1-6.las,DPOR,pu,-9.99,2.4854,0.20805898420359806,9116,UNKNOWN,LOW
Mary_Ann_1-1.las,DPOR,pu,-9.99,2.3124,0.185425011155734,8964,UNKNOWN,LOW
Mary_Ann_2-1.las,DPOR,pu,-9.99,2.2877,0.1809226779661017,8850,UNKNOWN,LOW
Mary_Ann_3-1.las,DPOR,pu,-9.99,1.9446,0.17821658460161147,8936,UNKNOWN,LOW
Mary_Ann_4-1.las,DPOR,PU,-75.9944,241.0864,20.97642102621305,8965,EXTREME_VALUES,HIGH
Mary_Ann_5-1.las,DPOR,pu,-9.99,1.9746,0.16811781850298077,9058,UNKNOWN,LOW
Mary_Ann_6-1.las,DPOR,PU,-94.9431,184.7444,20.137235479573715,9008,EXTREME_VALUES,HIGH
Mary_Ann_7-1.las,DPOR,PU,-101.2643,233.9758,19.666697208684095,9028,EXTREME_VALUES,HIGH
Mary_Ann_8-1.las,DPOR,PU,-86.1125,240.7051,20.370518291322774,8966,EXTREME_VALUES,HIGH
Walter_'A'_2-1.las,DPOR,PU,-51.5996,235.746,24.186559397840078,9167,EXTREME_VALUES,HIGH
Walter_1-1.las,DPOR,PU,-98.2664,158.4795,21.085660668807442,9031,EXTREME_VALUES,HIGH
Walter_2-1.las,DPOR,PU,-74.1881,214.3706,21.39499029631305,8842,EXTREME_VALUES,HIGH
Walter_3-1.las,DPOR,pu,-9.99,1.9871,0.19952768292682924,9020,UNKNOWN,LOW
Walter_4-1.las,DPOR,pu,-9.99,1.7507,0.18000997643362138,8911,UNKNOWN,LOW
Walter_5-1.las,DPOR,PU,-65.2651,217.9547,21.339460489823306,8942,EXTREME_VALUES,HIGH
Walter_6-1.las,DPOR,PU,-82.3461,212.3702,28.841719287164448,8866,EXTREME_VALUES,HIGH
Walter_7-1.las,DPOR,PU,-86.0094,194.5833,21.16628872205539,8991,EXTREME_VALUES,HIGH
Walter_8-1.las,DPOR,pu,-9.99,2.4892,0.18936367861885786,9036,UNKNOWN,LOW
Walter_Bros._1-6.las,DPOR,pu,-9.99,1.7538,0.1963633683979838,9126,UNKNOWN,LOW
Downing_'B'_1-1.las,SPOR,PU,-35.0754,166.8658,38.90439594924921,8591,UNKNOWN,LOW
Downing_1-6.las,SPOR,PU,-35.4236,89.1623,38.259565640423034,8510,UNKNOWN,LOW
Ladenburger_'A'_1-6.las,SPOR,NO_UNIT,-35.0694,166.9048,38.6990384472122,8591,UNKNOWN,LOW
Ladenburger_'B'_1-6.las,SPOR,NO_UNIT,-35.0766,120.7813,38.329335164067956,8594,UNKNOWN,LOW
Ladenburger_1-6.las,SPOR,pu,-9.99,1.7046,-0.17855831505046066,9116,UNKNOWN,LOW
Mary_Ann_1-1.las,SPOR,pu,-9.99,1.3576,-0.06918443775100402,8964,UNKNOWN,LOW
Mary_Ann_2-1.las,SPOR,pu,-9.99,2.475,-0.0004799887005649783,8850,UNKNOWN,LOW
Mary_Ann_3-1.las,SPOR,pu,-9.99,1.4756,-0.2056020814682185,8936,UNKNOWN,LOW
Mary_Ann_4-1.las,SPOR,PU,-35.4248,92.2525,37.98724329289836,8491,UNKNOWN,LOW
Mary_Ann_5-1.las,SPOR,pu,-9.99,2.1501,-0.19919669905056292,9058,UNKNOWN,LOW
Mary_Ann_6-1.las,SPOR,PU,-35.069,89.3991,38.16505157771262,8525,UNKNOWN,LOW
Mary_Ann_7-1.las,SPOR,PU,-35.0762,98.8973,37.68629864786779,8653,UNKNOWN,LOW
Mary_Ann_8-1.las,SPOR,PU,-35.0773,138.9635,38.217417157671456,8486,UNKNOWN,LOW
Schwerdt_1-2.las,SPOR,PU,-35.4215,180.4614,38.40417545359991,8653,UNKNOWN,LOW
Walter_'A'_2-1.las,SPOR,PU,-35.0546,113.2388,37.85765486200071,8587,UNKNOWN,LOW
Walter_1-1.las,SPOR,PU,-35.0758,149.8524,41.85181421557166,8554,UNKNOWN,LOW
Walter_2-1.las,SPOR,PU,-35.4288,100.5541,37.98725128358208,8375,UNKNOWN,LOW
Walter_3-1.las,SPOR,pu,-9.99,0.973,-0.08287930155210649,9020,UNKNOWN,LOW
Walter_4-1.las,SPOR,pu,-9.99,1.3275,-0.20474356413421604,8911,UNKNOWN,LOW
Walter_5-1.las,SPOR,PU,-35.4234,161.2047,39.14336389938592,8468,UNKNOWN,LOW
Walter_6-1.las,SPOR,PU,-35.4288,163.5916,38.88204318074564,8476,UNKNOWN,LOW
Walter_7-1.las,SPOR,PU,-35.4249,90.3595,39.18011581573451,8618,UNKNOWN,LOW
Walter_8-1.las,SPOR,pu,-9.99,0.9466,-0.1980543492695882,9036,UNKNOWN,LOW
Walter_Bros._1-6.las,SPOR,pu,-9.99,1.2125,-0.17169341442033745,9126,UNKNOWN,LOW
