Curve,File,Scale_Type,Min,Max,Unit,Range,Needs_Manual_Review
CNLS,Downing_'B'_1-1.las,UNKNOWN,-50.0,42.5021,PU,92.5021,True
CNLS,Downing_1-6.las,UNKNOWN,-50.0,56.33,PU,106.33,True
CNLS,Ladenburger_'A'_1-6.las,UNKNOWN,-5.0961,100.0,NO_UNIT,105.0961,True
CNLS,Ladenburger_'B'_1-6.las,UNKNOWN,-50.0,42.502,NO_UNIT,92.50200000000001,True
CNLS,Ladenburger_1-6.las,UNKNOWN,-9.99,1.0,pu,10.99,True
CNLS,Mary_Ann_1-1.las,UNKNOWN,-9.99,0.425,pu,10.415000000000001,True
CNLS,Mary_Ann_2-1.las,UNKNOWN,-9.99,1.0,pu,10.99,True
CNLS,Mary_Ann_3-1.las,UNKNOWN,-9.99,0.5402,pu,10.5302,True
CNLS,Mary_Ann_4-1.las,UNKNOWN,-50.0,54.4211,PU,104.4211,True
CNLS,Mary_Ann_5-1.las,UNKNOWN,-9.99,1.0,pu,10.99,True
CNLS,Mary_Ann_6-1.las,UNKNOWN,-50.0,42.5021,PU,92.5021,True
CNLS,Mary_Ann_7-1.las,UNKNOWN,-50.0,42.502,PU,92.50200000000001,True
CNLS,Mary_Ann_8-1.las,PERCENTAGE,-4.715,100.0,PU,104.715,False
CNLS,Walter_'A'_2-1.las,UNKNOWN,-5.1079,46.3268,PU,51.4347,True
CNLS,Walter_1-1.las,UNKNOWN,-50.0,42.5018,PU,92.5018,True
CNLS,Walter_2-1.las,UNKNOWN,-7.0215,54.4662,PU,61.487700000000004,True
CNLS,Walter_3-1.las,UNKNOWN,-9.99,0.425,pu,10.415000000000001,True
CNLS,Walter_4-1.las,UNKNOWN,-9.99,0.5554,pu,10.5454,True
CNLS,Walter_5-1.las,PERCENTAGE,-3.2128,55.9991,PU,59.2119,False
CNLS,Walter_6-1.las,UNKNOWN,-50.0,56.5371,PU,106.53710000000001,True
CNLS,Walter_7-1.las,PERCENTAGE,-2.7129,56.112,PU,58.8249,False
CNLS,Walter_8-1.las,UNKNOWN,-9.99,1.0,pu,10.99,True
CNLS,Walter_Bros._1-6.las,UNKNOWN,-9.99,1.0,pu,10.99,True
DPOR,Downing_'B'_1-1.las,EXTREME_VALUES,-96.0614,205.5171,PU,301.5785,True
DPOR,Downing_1-6.las,EXTREME_VALUES,-77.3329,197.2529,PU,274.5858,True
DPOR,Ladenburger_'A'_1-6.las,EXTREME_VALUES,-90.1438,213.6219,NO_UNIT,303.76570000000004,True
DPOR,Ladenburger_'B'_1-6.las,EXTREME_VALUES,-100.1615,159.8908,NO_UNIT,260.0523,True
DPOR,Ladenburger_1-6.las,UNKNOWN,-9.99,2.4854,pu,12.4754,True
DPOR,Mary_Ann_1-1.las,UNKNOWN,-9.99,2.3124,pu,12.3024,True
DPOR,Mary_Ann_2-1.las,UNKNOWN,-9.99,2.2877,pu,12.2777,True
DPOR,Mary_Ann_3-1.las,UNKNOWN,-9.99,1.9446,pu,11.9346,True
DPOR,Mary_Ann_4-1.las,EXTREME_VALUES,-75.9944,241.0864,PU,317.0808,True
DPOR,Mary_Ann_5-1.las,UNKNOWN,-9.99,1.9746,pu,11.9646,True
DPOR,Mary_Ann_6-1.las,EXTREME_VALUES,-94.9431,184.7444,PU,279.6875,True
DPOR,Mary_Ann_7-1.las,EXTREME_VALUES,-101.2643,233.9758,PU,335.2401,True
DPOR,Mary_Ann_8-1.las,EXTREME_VALUES,-86.1125,240.7051,PU,326.81759999999997,True
DPOR,Walter_'A'_2-1.las,EXTREME_VALUES,-51.5996,235.746,PU,287.3456,True
DPOR,Walter_1-1.las,EXTREME_VALUES,-98.2664,158.4795,PU,256.7459,True
DPOR,Walter_2-1.las,EXTREME_VALUES,-74.1881,214.3706,PU,288.5587,True
DPOR,Walter_3-1.las,UNKNOWN,-9.99,1.9871,pu,11.9771,True
DPOR,Walter_4-1.las,UNKNOWN,-9.99,1.7507,pu,11.7407,True
DPOR,Walter_5-1.las,EXTREME_VALUES,-65.2651,217.9547,PU,283.2198,True
DPOR,Walter_6-1.las,EXTREME_VALUES,-82.3461,212.3702,PU,294.71630000000005,True
DPOR,Walter_7-1.las,EXTREME_VALUES,-86.0094,194.5833,PU,280.59270000000004,True
DPOR,Walter_8-1.las,UNKNOWN,-9.99,2.4892,pu,12.4792,True
DPOR,Walter_Bros._1-6.las,UNKNOWN,-9.99,1.7538,pu,11.7438,True
SPOR,Downing_'B'_1-1.las,UNKNOWN,-35.0754,166.8658,PU,201.9412,True
SPOR,Downing_1-6.las,UNKNOWN,-35.4236,89.1623,PU,124.58590000000001,True
