Curve,Status,Files_Present,Coverage_Percent,Unique_Units,Units_Found
Cali,MISSING,0,0.0,0,None
GR,INCONSISTENT,25,100.0,3,"GAPI, NO_UNIT, Unknown"
SP,INCONSISTENT,25,100.0,2,"MV, mV"
MN,INCONSISTENT,25,100.0,3,"OHM-M, NO_UNIT, Unknown"
MI,INCONSISTENT,25,100.0,3,"OHM-M, NO_UNIT, Unknown"
RILM,INCONSISTENT,23,92.0,3,"OHM-M, NO_UNIT, Unknown"
RILD,INCONSISTENT,23,92.0,3,"OHM-M, NO_UNIT, Unknown"
RLL3,INCONSISTENT,23,92.0,3,"OHM-M, NO_UNIT, Unknown"
RXORT,INCONSISTENT,23,92.0,2,"NO_UNIT, Unknown"
RHOB,INCONSISTENT,23,92.0,3,"G/CC, NO_UNIT, Unknown"
RHOC,INCONSISTENT,23,92.0,3,"G/CC, NO_UNIT, Unknown"
CILD,INCONSISTENT,23,92.0,3,"OHM-M, NO_UNIT, Unknown"
DPOR,INCONSISTENT,23,92.0,3,"PU, NO_UNIT, pu"
SPOR,INCONSISTENT,24,96.0,3,"PU, NO_UNIT, pu"
DT,INCONSISTENT,24,96.0,3,"USEC/FT, NO_UNIT, Unknown"
