File,Curve,Unit,Curve_Status
Downing_'B'_1-1.las,Cali,MISSING,MISSING
Downing_'B'_1-1.las,GR,GAPI,INCONSISTENT
Downing_'B'_1-1.las,SP,MV,INCONSISTENT
Downing_'B'_1-1.las,MN,OHM-M,INCONSISTENT
Downing_'B'_1-1.las,MI,OHM-M,INCONSISTENT
Downing_'B'_1-1.las,RILM,OHM-M,INCONSISTENT
Downing_'B'_1-1.las,RILD,OHM-M,INCONSISTENT
Downing_'B'_1-1.las,RLL3,OHM-M,INCONSISTENT
Downing_'B'_1-1.las,RXORT,NO_UNIT,INCONSISTENT
Downing_'B'_1-1.las,RHOB,G/CC,INCONSISTENT
Downing_'B'_1-1.las,RHOC,G/CC,INCONSISTENT
Downing_'B'_1-1.las,CILD,OHM-M,INCONSISTENT
Downing_'B'_1-1.las,DPOR,PU,INCONSISTENT
Downing_'B'_1-1.las,SPOR,PU,INCONSISTENT
Downing_'B'_1-1.las,DT,USEC/FT,INCONSISTENT
Downing_1-6.las,Cali,MISSING,MISSING
Downing_1-6.las,GR,GAPI,INCONSISTENT
Downing_1-6.las,SP,MV,INCONSISTENT
Downing_1-6.las,MN,OHM-M,INCONSISTENT
Downing_1-6.las,MI,OHM-M,INCONSISTENT
Downing_1-6.las,RILM,OHM-M,INCONSISTENT
Downing_1-6.las,RILD,OHM-M,INCONSISTENT
Downing_1-6.las,RLL3,OHM-M,INCONSISTENT
Downing_1-6.las,RXORT,NO_UNIT,INCONSISTENT
Downing_1-6.las,RHOB,G/CC,INCONSISTENT
Downing_1-6.las,RHOC,G/CC,INCONSISTENT
Downing_1-6.las,CILD,OHM-M,INCONSISTENT
Downing_1-6.las,DPOR,PU,INCONSISTENT
Downing_1-6.las,SPOR,PU,INCONSISTENT
Downing_1-6.las,DT,USEC/FT,INCONSISTENT
Ladenburger_'A'_1-6.las,Cali,MISSING,MISSING
Ladenburger_'A'_1-6.las,GR,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,SP,MV,INCONSISTENT
Ladenburger_'A'_1-6.las,MN,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,MI,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,RILM,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,RILD,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,RLL3,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,RXORT,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,RHOB,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,RHOC,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,CILD,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,DPOR,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,SPOR,NO_UNIT,INCONSISTENT
Ladenburger_'A'_1-6.las,DT,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,Cali,MISSING,MISSING
Ladenburger_'B'_1-6.las,GR,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,SP,MV,INCONSISTENT
Ladenburger_'B'_1-6.las,MN,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,MI,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,RILM,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,RILD,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,RLL3,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,RXORT,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,RHOB,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,RHOC,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,CILD,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,DPOR,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,SPOR,NO_UNIT,INCONSISTENT
Ladenburger_'B'_1-6.las,DT,NO_UNIT,INCONSISTENT
Ladenburger_1-6.las,Cali,MISSING,MISSING
