Curve,File,Unit,Min,Max,Mean,Std,Count,Range
GR,Downing_'B'_1-1.las,GAPI,0.0,640.8046,77.60330343836372,31.062649091913144,9045,640.8046
GR,Downing_1-6.las,GAPI,0.0,306.6435,85.0697563301729,31.953409832866566,8965,306.6435
GR,Ladenburger_'A'_1-6.las,NO_UNIT,0.0,851.6521,90.53662661584356,41.248814870142716,9051,851.6521
GR,Ladenburger_'B'_1-6.las,NO_UNIT,0.0,309.5785,92.52925191861108,35.38973464739319,9043,309.5785
GR,Ladenburger_1-6.las,Unknown,0.0,2140.5166,92.36907333186281,50.37990227228215,9067,2140.5166
GR,Mary_Ann_1-1.las,Unknown,0.0,1133.4067,80.56344525440862,38.39606216969172,8903,1133.4067
GR,Mary_Ann_2-1.las,Unknown,0.0,1252.3125,85.27692315130831,45.93025715444962,8790,1252.3125
GR,Mary_Ann_3-1.las,Unknown,0.0,410.1025,85.25048864353312,33.15475073930871,8876,410.1025
GR,Mary_Ann_4-1.las,GAPI,0.0,431.3031,86.36934187737751,33.17182292387973,8938,431.3031
GR,Mary_Ann_5-1.las,Unknown,0.0,783.985,100.9384159204533,41.224118479984334,9001,783.985
GR,Mary_Ann_6-1.las,GAPI,0.0,621.2084,93.72905757103065,38.169607192115315,8975,621.2084
GR,Mary_Ann_7-1.las,GAPI,0.0,1400.3682,79.9941084676075,50.149043042442315,8999,1400.3682
GR,Mary_Ann_8-1.las,GAPI,0.0,1086.8478,87.34942925383153,41.22657416722087,8939,1086.8478
GR,Schwerdt_1-2.las,GAPI,0.0,322.554,84.28469877442478,32.384846152831464,8649,322.554
GR,Schwerdt_3-2.las,NO_UNIT,0.0,575.5428,88.09804640682096,34.277136252713895,8210,575.5428
GR,Walter_'A'_2-1.las,GAPI,0.0,1256.2064,86.7332592308535,49.94750059142173,9127,1256.2064
GR,Walter_1-1.las,GAPI,0.0,1233.3043,84.76029281270827,40.70347255332556,9002,1233.3043
GR,Walter_2-1.las,GAPI,0.0,709.3192,87.76865327283042,39.26566009779051,8815,709.3192
GR,Walter_3-1.las,Unknown,0.0,1154.3147,82.92517742331287,46.866716215945786,8965,1154.3147
GR,Walter_4-1.las,Unknown,0.0,362.5937,84.24380082495198,32.42547376302568,8849,362.5937
GR,Walter_5-1.las,GAPI,0.0,512.2683,85.92238500280426,36.02484401481764,8915,512.2683
GR,Walter_6-1.las,GAPI,0.0,357.956,87.7074060866614,32.64803207222686,8839,357.956
GR,Walter_7-1.las,GAPI,0.0,315.7597,88.05773844265953,31.698953599708737,8964,315.7597
GR,Walter_8-1.las,Unknown,0.0,841.8207,93.63160600356429,43.44371652912828,8978,841.8207
GR,Walter_Bros._1-6.las,Unknown,0.0,739.0234,92.27303658025372,40.636936835159815,9065,739.0234
SP,Downing_'B'_1-1.las,MV,-499.625,205.5732,-108.31701082389178,41.05680187849362,9091,705.1982
SP,Downing_1-6.las,MV,-499.625,70.4922,-70.65149183129854,35.40852696460229,9010,570.1172
SP,Ladenburger_'A'_1-6.las,MV,-499.625,118.7783,-32.19107592511014,46.66531132573271,9080,618.4033
SP,Ladenburger_'B'_1-6.las,MV,-499.625,155.2964,-68.65226160184574,50.17658965201246,9102,654.9214
SP,Ladenburger_1-6.las,mV,-499.625,211.2545,-74.8697362349067,58.2314142960227,9110,710.8795
SP,Mary_Ann_1-1.las,mV,-499.625,119.7406,-90.26373781127862,46.52766125319801,8955,619.3656
SP,Mary_Ann_2-1.las,mV,-499.625,184.0964,-77.10899758913412,26.358627461463403,8835,683.7214
SP,Mary_Ann_3-1.las,mV,-499.625,100.2521,-35.23989100783874,41.942216282178904,8930,599.8771
SP,Mary_Ann_4-1.las,MV,-499.625,271.3827,-111.42933918076582,85.56472382977599,8984,771.0077
SP,Mary_Ann_5-1.las,mV,-499.625,104.3079,-48.08522016137947,48.82478588748719,9047,603.9329
SP,Mary_Ann_6-1.las,MV,-999.0,117.1611,-48.91356098937583,38.93947912071064,9036,1116.1611
SP,Mary_Ann_7-1.las,MV,-499.625,24.0271,-89.37138516349978,37.33671670655718,9052,523.6521
SP,Mary_Ann_8-1.las,MV,-499.625,49.897,-54.30870528894333,25.87567289201641,8981,549.522
SP,Schwerdt_1-2.las,MV,-156.2421,0.0529,-98.04592691064418,28.457567661855283,8662,156.295
SP,Schwerdt_3-2.las,MV,-150.7297,4.4054,-90.11003236973157,24.226964420806787,8233,155.13510000000002
SP,Walter_'A'_2-1.las,MV,-499.625,171.3447,-44.60171719891009,24.29572660713021,9175,670.9697
SP,Walter_1-1.las,MV,-499.625,137.1987,-69.23012808045087,30.40269034724395,9049,636.8237
SP,Walter_2-1.las,MV,-499.625,436.2991,-25.84353964156898,97.69724637397226,8872,935.9241
SP,Walter_3-1.las,mV,-499.625,242.9332,-100.80545047164577,54.61678113252641,9011,742.5581999999999
SP,Walter_4-1.las,mV,-499.625,113.1502,-117.21285709311468,42.6130342824187,8903,612.7752
SP,Walter_5-1.las,MV,-269.4304,167.7142,-44.79799449643494,33.25873417714027,8976,437.1446
SP,Walter_6-1.las,MV,-499.625,0.0,-94.48071609273015,31.955781128397845,8886,499.625
SP,Walter_7-1.las,MV,-275.2774,24.6186,-127.15118512689791,45.39677691079647,9023,299.896
SP,Walter_8-1.las,mV,-499.625,106.565,-64.23914221951489,32.67474742101141,9029,606.19
SP,Walter_Bros._1-6.las,mV,-186.1938,337.5613,-35.954458251150555,69.54606290094856,9126,523.7551000000001
MN,Downing_'B'_1-1.las,OHM-M,-0.9996,209.255,21.703037931034483,26.588535405202,2059,210.25459999999998
MN,Downing_1-6.las,OHM-M,-1.8446,109.9027,13.014357816257817,12.029384318982851,2079,111.7473
MN,Ladenburger_'A'_1-6.las,NO_UNIT,-1.9996,162.3566,13.97198344660194,16.93016974877748,2060,164.35619999999997
MN,Ladenburger_'B'_1-6.las,NO_UNIT,-0.3825,100.7222,12.173834854368932,12.373965475927095,2060,101.1047
MN,Ladenburger_1-6.las,Unknown,-1.9676,217.1604,16.036041655716165,20.45902007443911,2283,219.12800000000001
MN,Mary_Ann_1-1.las,Unknown,0.0,111.3932,11.808950208116547,12.345408209287209,1922,111.3932
MN,Mary_Ann_2-1.las,Unknown,-499.625,171.5973,9.811319464668093,21.10428141372261,4670,671.2223
MN,Mary_Ann_3-1.las,Unknown,-2.2398,98.5504,12.94040324427481,13.352476504057279,2096,100.7902
MN,Mary_Ann_4-1.las,OHM-M,-2.0386,113.5878,9.768427427184466,11.746352597391367,2060,115.6264
MN,Mary_Ann_5-1.las,Unknown,0.0,174.8149,14.853176846846848,18.15198257558614,2220,174.8149
MN,Mary_Ann_6-1.las,OHM-M,-0.6964,150.1085,14.212151054216866,16.68929229727235,1992,150.8049
MN,Mary_Ann_7-1.las,OHM-M,-1.9772,178.9236,16.48560272412085,24.628726128710728,2019,180.9008
MN,Mary_Ann_8-1.las,OHM-M,0.0,127.8646,13.616629694727104,16.430620931951665,2162,127.8646
MN,Schwerdt_1-2.las,OHM-M,-0.7492,108.043,10.237960693381359,10.199336307607764,2221,108.79220000000001
MN,Schwerdt_3-2.las,NO_UNIT,0.0,114.7549,10.597274158523344,12.164074392527954,1842,114.7549
MN,Walter_'A'_2-1.las,OHM-M,-2.3989,229.811,16.320830673854445,21.52977671135416,1855,232.2099
MN,Walter_1-1.las,OHM-M,0.0,105.751,12.22531335972291,11.689903308398776,2021,105.751
MN,Walter_2-1.las,OHM-M,-1.6758,64.7146,10.172787806072478,9.132017247952302,2042,66.3904
MN,Walter_3-1.las,Unknown,-0.9975,149.204,15.714786404494381,18.18264192290244,1780,150.2015
MN,Walter_4-1.las,Unknown,-1.1852,94.9837,12.473672025254979,12.350368213514422,2059,96.1689
MN,Walter_5-1.las,OHM-M,-3.5967,103.6508,10.753964899361806,11.34075730853132,2037,107.2475
MN,Walter_6-1.las,OHM-M,-1.2293,120.6523,10.602908731019525,12.345400959934679,1844,121.88159999999999
MN,Walter_7-1.las,OHM-M,-2.0421,82.4742,9.860244259818732,11.563516375409792,1986,84.5163
MN,Walter_8-1.las,Unknown,-0.5999,188.6701,16.730733400000002,25.175107081079208,2000,189.26999999999998
MN,Walter_Bros._1-6.las,Unknown,-1.5951,68.9934,10.796455990453461,9.489796067058506,2095,70.5885
MI,Downing_'B'_1-1.las,OHM-M,0.0,201.7936,22.61433467702768,24.061415890971226,2059,201.7936
MI,Downing_1-6.las,OHM-M,0.0,80.0391,13.802909716209715,11.24239651316748,2079,80.0391
MI,Ladenburger_'A'_1-6.las,NO_UNIT,-0.9997,166.3839,16.132014563106793,17.383461261504976,2060,167.3836
MI,Ladenburger_'B'_1-6.las,NO_UNIT,-0.4727,83.819,14.527971650485439,12.756483513969547,2060,84.2917
MI,Ladenburger_1-6.las,Unknown,-0.9471,143.7761,15.589061717038982,15.337583142624892,2283,144.72320000000002
MI,Mary_Ann_1-1.las,Unknown,0.0,102.6295,13.585626638917795,13.46193582002393,1922,102.6295
MI,Mary_Ann_2-1.las,Unknown,-499.625,156.9993,10.377875053533192,20.474832709405728,4670,656.6243
MI,Mary_Ann_3-1.las,Unknown,0.0,98.7557,14.81388540076336,13.741417020373888,2096,98.7557
MI,Mary_Ann_4-1.las,OHM-M,0.0,98.5302,10.251639611650486,10.493230254877547,2060,98.5302
MI,Mary_Ann_5-1.las,Unknown,0.0,193.0953,18.41266400900901,20.83644985342976,2220,193.0953
MI,Mary_Ann_6-1.las,OHM-M,0.0,141.7117,15.760154066265061,15.69136545436257,1992,141.7117
MI,Mary_Ann_7-1.las,OHM-M,-0.5702,150.1108,18.418576919266965,23.34444450407199,2019,150.681
MI,Mary_Ann_8-1.las,OHM-M,0.0,157.557,17.522052728954673,20.458756105417702,2162,157.557
MI,Schwerdt_1-2.las,OHM-M,0.0,87.8893,11.350351508329583,9.384209225302081,2221,87.8893
MI,Schwerdt_3-2.las,NO_UNIT,0.0,120.6861,11.832742833876223,13.09735726488078,1842,120.6861
MI,Walter_'A'_2-1.las,OHM-M,-0.5991,160.0881,16.983303881401618,19.00445007854955,1855,160.6872
MI,Walter_1-1.las,OHM-M,0.0,101.8969,12.236000346363188,10.741398171069058,2021,101.8969
MI,Walter_2-1.las,OHM-M,0.0,142.5586,17.317462144955925,21.40059583683476,2042,142.5586
MI,Walter_3-1.las,Unknown,0.0,131.775,17.231369438202247,18.380217532254882,1780,131.775
MI,Walter_4-1.las,Unknown,0.0,88.4953,13.406066148615833,12.646815740141665,2059,88.4953
MI,Walter_5-1.las,OHM-M,0.0,104.9296,12.20583613156603,11.45164758174411,2037,104.9296
MI,Walter_6-1.las,OHM-M,0.0,107.0774,12.214697668112798,13.256626901479597,1844,107.0774
MI,Walter_7-1.las,OHM-M,0.0,78.3987,11.301019637462236,11.663941579960532,1986,78.3987
MI,Walter_8-1.las,Unknown,0.0,113.9212,14.069809750000001,15.991081358425074,2000,113.9212
MI,Walter_Bros._1-6.las,Unknown,-1.2948,153.9535,17.44214014319809,18.882870226824874,2095,155.2483
RILM,Downing_'B'_1-1.las,OHM-M,-499.625,100000.0,1861.893435564116,13470.937591234338,9085,100499.625
RILM,Downing_1-6.las,OHM-M,-499.625,100000.0,5281.228344765183,22348.999586929844,9007,100499.625
RILM,Ladenburger_'A'_1-6.las,NO_UNIT,-499.625,106.6192,6.819222327529204,13.02979195678102,9074,606.2442
RILM,Ladenburger_'B'_1-6.las,NO_UNIT,-499.625,100000.0,1612.156546690853,12523.248526172962,9096,100499.625
RILM,Ladenburger_1-6.las,Unknown,-499.625,100000.0,5619.619160775484,23015.478927460594,9104,100499.625
RILM,Mary_Ann_1-1.las,Unknown,-499.625,100000.0,3217.0131469773155,17617.075640828658,8949,100499.625
RILM,Mary_Ann_2-1.las,Unknown,-499.625,100000.0,2483.322892970342,15480.481983185766,8834,100499.625
RILM,Mary_Ann_3-1.las,Unknown,-499.625,100000.0,5220.856129038763,22219.91922734897,8926,100499.625
RILM,Mary_Ann_4-1.las,OHM-M,-499.625,100000.0,2343.301216044984,15074.392274985139,8981,100499.625
RILM,Mary_Ann_5-1.las,Unknown,-499.625,100000.0,1930.933621059031,13696.433165032453,9046,100499.625
RILM,Mary_Ann_6-1.las,OHM-M,-499.625,100000.0,2762.9211759056166,16350.94444840134,9027,100499.625
RILM,Mary_Ann_7-1.las,OHM-M,-499.625,100000.0,1358.1683500442182,11533.79420469237,9046,100499.625
RILM,Mary_Ann_8-1.las,OHM-M,-499.625,100000.0,924.7486273537604,9464.04545971876,8975,100499.625
RILM,Walter_'A'_2-1.las,OHM-M,-499.625,100000.0,1181.0412610535502,10738.835441875779,9169,100499.625
RILM,Walter_1-1.las,OHM-M,-499.625,100000.0,1270.6180318367801,11155.78614977553,9043,100499.625
RILM,Walter_2-1.las,OHM-M,-499.625,100000.0,419.279964471013,6359.846742527144,8866,100499.625
RILM,Walter_3-1.las,Unknown,-499.625,100000.0,2368.3473458411995,15161.793908887588,9005,100499.625
RILM,Walter_4-1.las,Unknown,-499.625,100000.0,2363.001141319249,15118.524288390985,8899,100499.625
RILM,Walter_5-1.las,OHM-M,0.0,100000.0,2856.504170771116,16613.9451011782,8974,100000.0
RILM,Walter_6-1.las,OHM-M,-499.625,100000.0,1631.1613409096026,12527.789783167967,8883,100499.625
RILM,Walter_7-1.las,OHM-M,-499.625,100000.0,4607.632141819995,20924.363746856932,9022,100499.625
RILM,Walter_8-1.las,Unknown,-499.625,100000.0,5699.443771107171,23153.945500591264,9023,100499.625
RILM,Walter_Bros._1-6.las,Unknown,-499.625,100000.0,5767.658943357103,23296.12607044212,9115,100499.625
RILD,Downing_'B'_1-1.las,OHM-M,0.0,100000.0,3259.131284960422,17643.617711310475,9096,100000.0
RILD,Downing_1-6.las,OHM-M,0.0,100000.0,152.4786018413755,3794.5966627758303,9015,100000.0
RILD,Ladenburger_'A'_1-6.las,NO_UNIT,-499.625,100000.0,352.7664990647007,5830.9787456312415,9088,100499.625
RILD,Ladenburger_'B'_1-6.las,NO_UNIT,0.0,100000.0,257.590484473482,4934.5912520705815,9107,100000.0
RILD,Ladenburger_1-6.las,Unknown,0.0,100000.0,30.157481086121777,1481.2384366849326,9115,100000.0
RILD,Mary_Ann_1-1.las,Unknown,0.0,100000.0,1544.9452210913958,12267.992067285259,8961,100000.0
RILD,Mary_Ann_2-1.las,Unknown,0.0,100000.0,267.9946801040018,5092.056040209682,8846,100000.0
RILD,Mary_Ann_3-1.las,Unknown,0.0,100000.0,549.6930767681289,7317.442981521372,8936,100000.0
RILD,Mary_Ann_4-1.las,OHM-M,-499.625,100000.0,175.1887536981426,4080.9307602026415,8991,100499.625
RILD,Mary_Ann_5-1.las,Unknown,0.0,100000.0,443.68210123661254,6467.571605119061,9057,100000.0
RILD,Mary_Ann_6-1.las,OHM-M,0.0,100000.0,3639.9446495683933,18628.603570078427,9036,100000.0
RILD,Mary_Ann_7-1.las,OHM-M,0.0,100000.0,3896.7995447891362,19324.515595592344,9058,100000.0
RILD,Mary_Ann_8-1.las,OHM-M,0.0,100000.0,780.1745189162124,8727.841659916074,8987,100000.0
RILD,Walter_'A'_2-1.las,OHM-M,-499.625,100000.0,900.2316504138532,9290.675185512542,9182,100499.625
RILD,Walter_1-1.las,OHM-M,0.0,100000.0,1989.1104179237987,13881.764215587242,9055,100000.0
RILD,Walter_2-1.las,OHM-M,0.0,100000.0,802.0052168882379,8794.598470640089,8876,100000.0
RILD,Walter_3-1.las,Unknown,0.0,100000.0,4567.942185039371,20855.286508317025,9017,100000.0
RILD,Walter_4-1.las,Unknown,0.0,100000.0,267.12392701762263,5074.2316927054735,8909,100000.0
RILD,Walter_5-1.las,OHM-M,0.0,100000.0,429.6457965574866,6432.2722992598165,8976,100000.0
RILD,Walter_6-1.las,OHM-M,-241.4203,100000.0,357.4262451253795,5893.462446795601,8893,100241.4203
RILD,Walter_7-1.las,OHM-M,0.0,100000.0,396.25034249944605,6211.486388690279,9026,100000.0
RILD,Walter_8-1.las,Unknown,0.0,100000.0,578.1357610736027,7493.040339088537,9035,100000.0
RILD,Walter_Bros._1-6.las,Unknown,0.0,100000.0,261.9599862042516,5013.704007101967,9126,100000.0
RLL3,Downing_'B'_1-1.las,OHM-M,0.0,44800.9336,83.65993196035242,1452.7565996186102,9080,44800.9336
RLL3,Downing_1-6.las,OHM-M,0.0,100000.0,689.5861396865969,7748.751203608249,8998,100000.0
RLL3,Ladenburger_'A'_1-6.las,NO_UNIT,0.0,100000.0,454.1145104735683,6061.961220443252,9080,100000.0
RLL3,Ladenburger_'B'_1-6.las,NO_UNIT,0.0,29482.3574,55.0780319092711,834.6205654035132,9082,29482.3574
RLL3,Ladenburger_1-6.las,Unknown,0.0,100000.0,386.4077200989011,5631.480584717825,9100,100000.0
RLL3,Mary_Ann_1-1.las,Unknown,0.0,33746.6758,60.172426672633684,801.0671166795071,8938,33746.6758
RLL3,Mary_Ann_2-1.las,Unknown,0.0,100000.0,507.2831435112774,6807.269800936736,8823,100000.0
RLL3,Mary_Ann_3-1.las,Unknown,0.0,100000.0,668.0946279155911,7828.443884343564,8909,100000.0
RLL3,Mary_Ann_4-1.las,OHM-M,0.0,100000.0,314.6272279901906,5277.304670789233,8971,100000.0
RLL3,Mary_Ann_5-1.las,Unknown,0.0,100000.0,183.0017982067744,3750.678049399286,9034,100000.0
RLL3,Mary_Ann_6-1.las,OHM-M,0.0,37840.5156,77.07590267361881,1351.8125220732632,9014,37840.5156
